MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nHier sind wir – das Königreich Firene.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08リュール\nWelch ein schöner Ort.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nNicht wahr? Und keine Spur von den\nVerzerrten, das ist doch schon mal gut.\x0E\x04\x02\x00
MID_OP1_#004	Das war eine ganz schön lange Reise von\nLythos aus über das Meer hierher. Ich hoffe,\nIhr seid jetzt nicht völlig erschöpft.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0A\x08リュール\nEs geht mir gut.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nGut, gut. Hört zu, es tut mir leid, dass ich Euch\ngedrängt habe, mitzukommen.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x0A\x08リュール\nAlfred, keine Sorge. Ich wollte doch mitkommen.\x0E\x04\x02\x00
MID_OP1_#008	Wie wäre es, wenn Ihr mir auf dem Weg zum\nSchloss noch ein wenig von Eurem Königreich\nerzählt?\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nGerne. Also dann...\x0E\x04\x02\x00
MID_OP1_#010	Firene ist eine der vier Nationen von Elyos.\nEs liegt im Südwesten des Kontinents.\x0E\x04\x02\x00
MID_OP1_#011	Es wird regiert von meiner Mutter, Königin Ève.\nWir sind als ein Land des Wohlstands bekannt.\x0E\x04\x02\x00
MID_OP1_#012	Unser Volk schätzt Frieden mehr als alles\nandere. Wir haben seit Jahrhunderten keinen\nKrieg erlebt.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x0A\x08リュール\nIhr müsst von einer langen Linie fähiger\nHerrscher abstammen.\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x0E\x0Cアルフレッド\nDanke. Das ist freundlich von Euch. Es ist nicht\nimmer leicht, den Frieden zu bewahren.\x0E\x04\x02\x00
MID_OP1_#015	Mutter musste einen Nichtangriffspakt mit\nunseren Nachbarländern durchsetzen.\x0E\x04\x02\x00
MID_OP1_#016	Der Pakt besiegelt, dass es keinen Krieg\nzwischen uns, Solm und Brodia geben wird.\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x0A\x08リュール\nStimmt. Solm, das Königinreich der Freiheit, und\nBrodia, das Königreich der Krieger.\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\nExakt. Solm ist ein aufgeschlossenes Land und\nhatte schon immer gute Beziehungen zu Firene.\x0E\x04\x02\x00
MID_OP1_#019	Die Allianz mit Brodia dagegen bedurfte einiger\nÜberzeugungsarbeit. Der dortige König ist\nüberaus ehrgeizig.\x0E\x04\x02\x00
MID_OP1_#020	Immerzu greift er das Königreich Elusia an, um\nsein Territorium zu erweitern.\x0E\x04\x00\x00
MID_OP1_#021	\x0E\x03\x02\x0A\x08リュール\nAlso ist Elusia nicht Teil der Allianz.\x0E\x04\x00\x00
MID_OP1_#022	\x0E\x03\x02\x0E\x0Cアルフレッド\nNein. Ehrlich gesagt liegt es so weit entfernt\nvon uns, dass wir kaum etwas mit ihnen zu tun\nhaben.\x0E\x04\x02\x00
MID_OP1_#023	Wir wissen nur, dass ihr schneebedecktes\nLand lange Winter durchmacht und dass einige\nvon ihnen den Dämonendrachen verehren.\x0E\x04\x00\x00
MID_OP1_#024	\x0E\x03\x02\x0A\x08リュール\nDen Dämonendrachen?\x0E\x04\x00\x00
MID_OP1_#025	\x0E\x03\x02\x0E\x0Cアルフレッド\nDas ist beunruhigend, ich weiß. Aber... die\nLeute können glauben, woran sie wollen.\x0E\x04\x02\x00
MID_OP1_#026	Tut mir leid... Ich habe das nicht erwähnt, um\nEuch gegen Elusia aufzubringen.\x0E\x04\x00\x00
MID_OP1_#027	\x0E\x03\x02\x0A\x08リュール\nDas tue ich nicht – ich hasse den Dämonen-\ndrachen, nicht das Volk. Ihn und den Mörder\nmeiner Mutter.\x0E\x04\x02\x00
