MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nHIYAH!
MID_RELIANCE_C_#002	\x0E\x03\x00\x0A\x04ボネ\x021\n\x0E\x03\x02\x06\x04ボネ\nHm. Gut abgehackt.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x06\x04ボネ\nDiese Holzstücke sind absolut identisch.\nIch respektiere diese Kunstfertigkeit.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06アンナ\nHahaha, schön, dass du es erkennst.\nIm Holzhacken bin ich 'ne Wucht, das stimmt\nschon.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06アンナ\nIch benutze es als Rohmaterial für Holzarbeiten\noder Schnitzereien, die ich dann verkaufe.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04ボネ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x06\x04ボネ\nAnna. Ich möchte um einen Gefallen bitten.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06アンナ\nOh, bitte. Wir sind doch Freunde. Du darfst\nmich also ruhig Lady Anna nennen.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04ボネ\nHahaha. Lady Anna. Darf ich etwas von diesem\nHolz haben?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06アンナ\nHmm, kommt darauf an. Interessierst du dich\nauch für Holzarbeiten?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ボネ\nOh, nichts dergleichen. Es ist ja nicht für mich.\nSondern für meinen Ofen.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x06\x04ボネ\nMit solch einheitlich geformten Holzstücken\nwäre es leichter, die Temperatur präzise zu\nkontrollieren.\x0E\x04\x00\x00
