MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08リュール\nEs gelingt dir immer, mich aufzuheitern,\nMicaiah. Ich glaube, das liegt an dem sanften\nLächeln, welches du stets trägst.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nAm meisten lächle ich mit dir an meiner Seite.\nDeine Nähe spendet mir Wärme und Trost.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08リュール\nAus reiner Neugierde... Gibt es in deiner Welt\nebenfalls Drachen?\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nJa. Wir haben Wyvern – und Leute, die sich in\nDrachen verwandeln können. Die sind aber\nnicht göttlich, so wie du.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08リュール\nManchmal fürchte ich, dass meine eigene\nMacht nicht ausreichen wird. Würdest du für\nmich einen Blick in meine Zukunft werfen?\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nVor dir liegt eine strahlende Zukunft. Eine,\ndie du Seite an Seite mit all deinen Freunden\nschmieden wirst.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nDas weiß ich auch ohne hellseherische Kräfte.\nDu bist stark genug, um jedes Schicksal wenden\nzu können.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nIch danke dir. Vielleicht sollte ich nicht so sehr\nan mir zweifeln, hm? Ich glaube, ich kann es\nschaffen... wenn du mir hilfst.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nWas sollen wir bloß machen? \x0E\x0A\x008\x18Der Wyrmgott\x1CDie Wyrmgöttin\nstellt \x0E\x0A\x00\x16\nseine\x08ihre Bedürfnisse stets hinter die der\nanderen, ohne Rast und ohne Ruhe.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nIch weiß nicht... Diese Hingabe ist doch gerade\neine der großartigsten Eigenschaften\n\x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nMögt Ihr Äpfel, Milady Micaiah?\nIch könnte sie körbeweise essen.\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nOh, die sehen wirklich köstlich aus!\nIch wünschte, ich könnte davon kosten,\ndoch der Geruch allein ist bereits herrlich!\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nOh, Vander, Ihr habt etwas fallen lassen!\nIst das eine Stricknadel?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nAh, das... Nun, das ist mir jetzt schon ein\nklein wenig peinlich.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nIhr strickt? Wie fantastisch Ihr doch Eure\nFreizeit gestaltet. Ihr müsst mir unbedingt\netwas von Euren Werken zeigen!\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nAch, das mache ich doch nur, um mich zu\nbeschäftigen. Ich weiß Eure Begeisterung\njedoch zu schätzen.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nIch kann verstehen, weshalb du \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin\nso verehrst. Nur wenige Leute verfügen über\nsolchen Charme.\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nIn der Tat. Möchtet Ihr Euch vielleicht\ngemeinsam mit mir um \x0E\x0A\x00\x10\x06ihn\x06sie kümmern?!\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06クラン\nIch hab Euch neulich im Wald von Somniel\ngesehen, Milady Micaiah. Was habt Ihr denn\ndort gemacht?\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nIch habe dem Gesang der Vögel gelauscht.\nEr erinnert mich an einen alten Freund und\nlässt mich meine Sorgen vergessen.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nDu siehst traurig aus, Clanne.\nKann ich dir irgendwie helfen?\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06クラン\nIch hab nur gerade an \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin gedacht\nund, na ja, dabei ist mir ein bisschen schwer\nums Herz geworden.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クラン\nStellt Euch vor, wie das sein muss, nach einem\nso langen Schlaf aufzuwachen und zu erleben,\nwie sich ein Unheil ans nächste reiht.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nDas ist lieb. Wir beide werden dabei helfen,\ndiesen Krieg zu beenden, damit alle ein fried-\nliches Leben führen können.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nDu siehst immer so aus, als ob du eine Menge\nSpaß haben würdest, Framme.\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06フラン\nDas habe ich! Wie soll ich denn ein Lächeln\nins Gesicht \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin zaubern, wenn\nich sauertöpfisch dreinblicke?\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06フラン\nMilady Micaiah, worauf legt Ihr bei einem\nWeggefährten wert? Welche Eigenschaften\nhauen Euch so richtig aus den Socken?\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nAch, Framme. Du musst dich nicht ändern.\n\x0E\x0A\x008\x18Der Wyrmgott\x1CDie Wyrmgöttin mag dich so, wie du bist.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06フラン\nLady Micaiah! Egal, was andere behaupten, ICH\nbin die oberste Verehrerin \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin!\nStimmt's?!\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nWorauf willst du hinaus, Framme?\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06フラン\nNa ja, weil... Heutzutage gibt es so viele andere\nFans \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin. Was, wenn mir jemand\nmeinen Platz streitig macht?\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nHmm, verstehe. Soll ich einen Blick in deine\nZukunft riskieren? Vielleicht liefert dir das die\nArt von Rat, nach der du suchst.\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nIch bin überglücklich, Seite an Seite mit einem\nder Embleme zu kämpfen, das unser Königreich\nso lange in seiner Obhut hatte.\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nMir geht es genauso. Ich habe mich gefragt,\nwie Ihr wohl sein würdet – und Ihr seid genauso\ngroßartig, wie ich es mir erhofft hatte.\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nWie ich hörte, sollt Ihr die Gedanken anderer\nerahnen können. Tja, da habt Ihr bei mir\nschlechte Karten! Ich habe nämlich trainiert!\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nAch? Ihr scheint Euch ja ziemlich sicher zu sein.\nWieso unterziehen wir diese Behauptung nicht\neiner kleinen Probe?\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nIch trainiere und trainiere, und doch will es mir\nnicht gelingen, Muskeln aufzubauen. Habt Ihr\neine Idee, woran das liegen mag?\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nVielleicht liegt es ja an Eurer Konstitution?\nMein ältester Freund litt unter demselben\nProblem.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch hab's! Ich trage dem gesamten Königreich\nauf, sich etwas einfallen zu lassen, das mich\nmeine Grenzen überwinden lässt!\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nHui, Ihr scheint es wirklich ernst zu meinen.\nEs ist gut, sich für eine Sache zu engagieren,\naber achtet darauf, maßzuhalten.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nブシュロン\nAh, ähm... Micaiah, richtig? Dürfte ich Euch\nwohl bitten, mir meine Zukunft vorauszusagen?\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nBoucheron... Falls du dich verlaufen hast,\nkannst du mich ruhig nach der Richtung fragen.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nブシュロン\nOhoho, ich liebe das Angeln. Ist die Angelschnur\nausgeworfen, brauche ich nur dazusitzen und\nmuss mir um nichts Gedanken machen.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nIch weiß genau, was du meinst. So geht es mir\nauch, wenn ich mich im Wald im Schatten der\nBäume entspanne.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nDu siehst niedergeschlagen aus. Was ist los?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x0C\nブシュロン\nNun, Prinz Alfred teilte mir mal wieder mit,\nwie neidisch er auf meinen Körperbau sei.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x0C\nブシュロン\nEr wünschte, er könne „alles unterhalb des\nHalses“ mit mir tauschen. Und nun bekomme\nich dieses Bild nicht mehr aus meinem Kopf.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nHmhm. Ich kann seinen Wunsch schon\nnachvollziehen, aber ich finde, ihr beide\nseid perfekt, so wie ihr seid.\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nWas trinkst du da immer, nachdem du\ntrainieren warst? Alfred scheint dieses\nGetränk wohl auch zu schmecken.\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x0C\nエーティエ\nEs handelt sich um einen Trank, der mit einem\nrohen Ei verfeinert wurde. Wenn ich es richtig\nverstanden habe, hilft das beim Muskelaufbau!\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nWas für ein herrlicher Duft... und wie schön\ndie Blumen doch sind! Ist dein Heimatort nicht\nbekannt für seine Gärten?\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x0C\nエーティエ\nJa, ich lasse sie mir manchmal hierher liefern.\nIn letzter Zeit jedoch nicht so häufig, mit dem\nganzen Krieg und so...\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nHui, deine Bauchmuskeln sind wirklich...\ndefiniert. Das muss einiges an Anstrengung\ngekostet haben.\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x0C\nエーティエ\nJa, schätze schon. Ich zeig meinen\nBauchmuskeln gern, wo's lang geht.\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nWie meinst du das?\x0E\x04\x00\x00
