MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0C\nシトリニカ\nSeadall, stimmt es, dass du die Zukunft\nvorhersagen kannst?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08セアダス\nDas tut es.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08セアダス\nIch kann alles vorhersagen, von den Ereignissen\neines Tages bis hin zum Schicksal einer Person.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nシトリニカ\nWas für ein wundervolles Talent! In dem Falle...\nKönntest du für mich in die Zukunft Brodias\nblicken?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08セアダス\nBrodias Zukunft?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nシトリニカ\nBrodia ist meine Heimat. Ich liebe meine\nHeimat.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nシトリニカ\nSeit Beginn des Krieges bin ich um ihre Zukunft\nin Sorge.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08セアダス\nAh, du möchtest das Schicksal des Königreichs\nkennen.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08セアダス\nNun, es könnte sein, dass es nichts Gutes\nsein wird. Bist du sicher, dass ich das tun soll?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nシトリニカ\nJa. Ich bin auf die Wahrheit vorbereitet, wie\nauch immer sie aussehen mag.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08セアダス\nVerstanden. Dann lass uns beginnen.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08セアダス\nGeist der Karten! Lasse dein göttliches Licht\nleuchten und zeige mir das Schicksal, welches\nauf das große Brodia wartet.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セアダス\n...\x0E\x04\x00\x00
