MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06マロン\x021\n\x0E\x03\x02\x08\x06マロン\nIhr plant Strategien im Dienste eines Einzelnen.\nWerdet Ihr für sein Glück in den Kampf ziehen?\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x08\x06モーヴ\nIhr vertraut nur einer Einzigen. Ihr liebt und um-\nsorgt sie. Wollt Ihr, dass sie ganz Euch gehört?\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x08\x06マロン\nDas Land der Gesteine liegt in Ruinen.\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x08\x06モーヴ\nDas Land der Blumen ist verwelkt.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x08\x06マロン\nLass es gut sein. Einer kennt die Wahrheit.\x0E\x04\x02\x00
MID_OP1_#006	In dieser Welt gibt es keine Gnade.\nMein Verlangen existiert hier nicht.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\n青リュール\x021\n\x0E\x06\x00&\n青リュール\x18MPID_Unknown\n\x0E\x03\x00\x14\x0EE001_エル\x022\n\x0E\x03\x02\x0C\n青リュール\nNel! Nel!\x0E\x04\x02\x00
MID_OP2_#002	Sieh nur. Die Buschwindröschen stehen in voller\nBlüte.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x10\x0EE001_エル\nWunderschön. Ihr Anblick ist so erfrischend,\nselbst inmitten dieses grausamen Krieges.\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x0C\n青リュール\nLass uns welche mitnehmen und sie den\nanderen zeigen. Wir können dieses blaue und\ndas rote Buschwindröschen hier pflücken...\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x10\x0EE001_エル\nEs fühlt sich falsch an, sie zu pflücken.\nVielleicht sollten wir die anderen stattdessen\nhierher einladen.\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x0C\n青リュール\nHm, ich glaube, du hast recht. Das ist eine\nviel bessere Idee.\x0E\x04\x02\x00
MID_OP2_#007	Ich liebe es, wie du dich um alle sorgst, Nel.\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x10\x0EE001_エル\nIch folge nur Eurem Beispiel.\x0E\x04\x02\x00
MID_OP2_#009	Hihihi.\x0E\x04\x02\x00
MID_OP2_#010	\x0E\x03\x00\x14\x0EE004_エル\x022\n\x0E\x03\x02\x10\x0EE004_エル\n...\x0E\x04\x02\x00
MID_OP2_#011	Ein Traum.\x0E\x04\x02\x00
MID_OP2_#012	Solch eine Sentimentalität ziemt sich für mich\nnicht mehr.\x0E\x04\x02\x00
MID_OP2_#013	...\x0E\x04\x02\x00
MID_OP2_#014	Ich muss mir diese Narretei aus dem Kopf\nschlagen.\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE004_エル\x021\n\x0E\x03\x00\x14\x0EE004_イル\x022\n\x0E\x03\x00\x0E\x08リュール\x023\n\x0E\x03\x00\x1A\x14E004_グレゴリー\x024\n\x0E\x03\x02\x10\x0EE004_イル\nIm Königreich Elusia ist es wirklich frostig kalt.\x0E\x04\x00\x00
MID_OP3_#002	\x0E\x03\x02\x0A\x08リュール\nJa, und man kommt viel einfacher hinein als\nes bei Brodia der Fall ist. Ich bin fast schon\nenttäuscht.\x0E\x04\x00\x00
MID_OP3_#003	\x0E\x03\x02\x16\x14E004_グレゴリー\nDas war zu leicht, wenn Ihr mich fragt. Warum\nwaren die Grenzposten verlassen? Es fühlt\nsich... falsch an.\x0E\x04\x02\x00
MID_OP3_#004	Und auch beängstigend, wenn ich ehrlich sein\nsoll.\x0E\x04\x00\x00
MID_OP3_#005	\x0E\x03\x02\x10\x0EE004_イル\nEs ist seltsam, dass wir nur auf so wenige\nWachen gestoßen sind. Wie siehst du das, Nel?\x0E\x04\x00\x00
MID_OP3_#006	\x0E\x03\x02\x10\x0EE004_エル\n...\x0E\x04\x00\x00
MID_OP3_#007	\x0E\x03\x02\x0A\x08リュール\nGeht es dir gut? Du machst den Eindruck, als\nhättest du nicht viel geschlafen.\x0E\x04\x02\x00
MID_OP3_#008	Ich habe dich letzte Nacht gehört, als du zum\nLager zurückgekommen bist. Es war schon\nrecht spät.\x0E\x04\x00\x00
MID_OP3_#009	\x0E\x03\x02\x10\x0EE004_エル\nDas wird meine Leistung in der Schlacht nicht\nbeeinflussen. Und das ist das Einzige, das Euch\nzu interessieren hat.\x0E\x04\x00\x00
MID_OP3_#010	\x0E\x03\x02\x0A\x08リュール\nSie ist schlecht gelaunt.\x0E\x04\x00\x00
MID_OP3_#011	\x0E\x03\x02\x10\x0EE004_イル\nNur mürrisch, weil sie nicht genug Schlaf\nbekommen hat. Lassen wir sie ein wenig in\nRuhe.\x0E\x04\x02\x00
MID_OP3_#012	Ich frage mich allerdings, wo sie gestern Nacht\nhingegangen sein mag. Hoffentlich nirgend-\nwohin, wo es gefährlich war...\x0E\x04\x00\x00
MID_OP3_#013	\x0E\x03\x02\x16\x14E004_グレゴリー\nMadeline sollte uns bald treffen.\nSie spioniert in Elusia für uns.\x0E\x04\x02\x00
MID_OP3_#014	Es war vorgesehen, dass Zelestia sie vom\nTreffpunkt aus hierherbringt. Sie sollten jede\nMinute hier eintreffen...\x0E\x04\x00\x00
MID_OP3_#015	\x0E\x03\x02\x10\x0EE004_イル\nAh! Da sind sie ja! Hallo!\x0E\x04\x00\x00
MID_OP3_#016	\x0E\x03\x00\x1A\x14E004_マデリーン\x021\n\x0E\x03\x02\x16\x14E004_マデリーン\nHallo, Mylord Nil. Milady Nel. Ich hoffe, Eure\nReise war nicht zu beschwerlich. Gregory, du\nsiehst gut aus.\x0E\x04\x02\x00
MID_OP3_#017	Zelestia hat mich bereits darüber unterrichtet,\nwas alles geschehen ist. Ich nehme an, Ihr seid\nunser hochverehrter Gast.\x0E\x04\x00\x00
MID_OP3_#018	\x0E\x03\x02\x10\x0EE004_イル\nJa. Madeline, darf ich dir \x0E\x0A\x00\x10\x06den\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin aus\neiner anderen Welt vorstellen? \x0E\x04\x00\x00
MID_OP3_#019	\x0E\x03\x02\x16\x14E004_マデリーン\nUnglaublich... Wenn man vom Aussehen mal\nabsieht, fühlt es sich an, als sei \x0E\x0A\x00\x1A\x0Cunsere\nunser\n\x0E\x0A\x00(\x14Anführerin\x10Anführer wieder ins Leben zurückgekehrt.\x0E\x04\x02\x00
MID_OP3_#020	Was soll ich sagen? Mir fehlen die Worte...\x0E\x04\x00\x00
MID_OP3_#021	\x0E\x03\x00\x1C\x16E004_セレスティア\x024\n\x0E\x03\x02\x18\x16E004_セレスティア\nIch kann nachvollziehen, wie du dich fühlst,\nMadeline. Bei unserem ersten Treffen kamen\nmir die Tränen.\x0E\x04\x02\x00
MID_OP3_#022	Es ist in Ordnung. Lass es einfach raus.\x0E\x04\x00\x00
MID_OP3_#023	\x0E\x03\x02\x16\x14E004_マデリーン\nZelestia, ich werde nicht weinen. Würdest\ndu wohl aufhören, mich wie ein Kind zu\nbehandeln?\x0E\x04\x00\x00
MID_OP3_#024	\x0E\x03\x02\x18\x16E004_セレスティア\nOh, natürlich. Entschuldige, Liebes.\x0E\x04\x00\x00
MID_OP3_#025	\x0E\x03\x02\x16\x14E004_マデリーン\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, es freut mich, Euch kennenzulernen.\nIch bin Madeline von den Vier Winden.\x0E\x04\x02\x00
MID_OP3_#026	Ich mag die Jüngste in unserer Gruppe sein,\naber ich versichere Euch, dass ich genauso\nfähig bin wie die anderen.\x0E\x04\x02\x00
MID_OP3_#027	Und ich gelobe, Euch zu beschützen, komme,\nwas da auch kommen mag.\x0E\x04\x00\x00
MID_OP3_#028	\x0E\x03\x02\x0A\x08リュール\nVielen Dank, Madeline. Ich weiß deine Hilfe\nzu schätzen.\x0E\x04\x00\x00
MID_OP3_#029	\x0E\x03\x02\x16\x14E004_マデリーン\nEs freut mich, zu Diensten zu sein.\x0E\x04\x00\x00
MID_OP3_#030	\x0E\x03\x00\x1A\x14E004_グレゴリー\x024\n\x0E\x03\x02\x16\x14E004_グレゴリー\nDu warst so eine rotznasige kleine Göre, als wir\ndich zum ersten Mal trafen. Aber du bist richtig\nerwachsen geworden, Kind.\x0E\x04\x02\x00
MID_OP3_#031	Ich wette, auch Mauvier ist stolz auf dich.\nBesonders, da er es war, der dich rekrutiert\nhat.\x0E\x04\x00\x00
MID_OP3_#032	\x0E\x03\x02\x16\x14E004_マデリーン\nIch war niemals rotznasig!\x0E\x04\x02\x00
MID_OP3_#033	Aber selbstverständlich wäre ich erfreut, wenn\nich wüsste, dass ich Mauvier stolz gemacht\nhabe.\x0E\x04\x00\x00
MID_OP3_#034	\x0E\x03\x02\x0A\x08リュール\nMauvier? Ist er...\x0E\x04\x00\x00
MID_OP3_#035	\x0E\x03\x00\x1C\x16E004_セレスティア\x024\n\x0E\x03\x02\x18\x16E004_セレスティア\nJa, er ist ein weiteres Mitglied der Vier Winde,\nund mein Stellvertreter. Auch ist er ein begabter\nKämpfer.\x0E\x04\x02\x00
MID_OP3_#036	Mauvier diente einst als Ritter in Sombrons\nArmee. Als seine Vorgesetzte starb, wechselte\ner die Seiten.\x0E\x04\x00\x00
MID_OP3_#037	\x0E\x03\x02\x0A\x08リュール\nSeine Vorgesetzte... Nel, Nil, war das eine\nvon euren Geschwistern?\x0E\x04\x00\x00
MID_OP3_#038	\x0E\x03\x02\x10\x0EE004_イル\nDas war sie in der Tat, aber wir haben sie nie\nkennengelernt.\x0E\x04\x02\x00
MID_OP3_#039	Ich erinnere mich noch, wie überrascht ich war,\ndass Vater es einem seiner Kinder erlaubt hatte,\neinen Ritter in Dienst zu stellen.\x0E\x04\x00\x00
MID_OP3_#040	\x0E\x03\x00\x14\x0EE004_エル\x021\n\x0E\x03\x02\x10\x0EE004_エル\nGenau aus dem Grunde hatte ich zunächst den\nVerdacht, Mauvier könne ein Spion sein.\x0E\x04\x02\x00
MID_OP3_#041	Ich dachte, Sombron könne ihn damit beauf-\ntragt haben, Nil und mich aufzuspüren.\x0E\x04\x02\x00
MID_OP3_#042	Aber mein Verdacht erwies sich als unbe-\ngründet. Mauvier hat sich das rückhaltlose\nVertrauen \x0E\x0A\x00<\x1Cder Wyrmgöttin\x1Cdes Wyrmgottes verdient.\x0E\x04\x00\x00
MID_OP3_#043	\x0E\x03\x02\x18\x16E004_セレスティア\nIch kann es kaum erwarten, Euch ihm vorzu-\nstellen, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Mauvier war es, der die\nVier Winde einst gründete.\x0E\x04\x02\x00
MID_OP3_#044	Ich sah in ihm ja die erste Wahl als Anführer\nder Vier Winde, aber aus irgendeinem Grunde\nfiel mir die Rolle dann zu.\x0E\x04\x00\x00
MID_OP3_#045	\x0E\x03\x00\x1A\x14E004_グレゴリー\x022\n\x0E\x03\x02\x16\x14E004_グレゴリー\nIch wette, weil du so alt bist.\x0E\x04\x00\x00
MID_OP3_#046	\x0E\x03\x02\x18\x16E004_セレスティア\nEntschuldigung?!\x0E\x04\x00\x00
MID_OP3_#047	\x0E\x03\x02\x10\x0EE004_エル\nDas reicht. Madeline, bitte erstatte uns Bericht.\x0E\x04\x00\x00
MID_OP3_#048	\x0E\x03\x00\x1A\x14E004_マデリーン\x024\n\x0E\x03\x02\x16\x14E004_マデリーン\nBis gestern wurde das Schloss von Elusia fast\nvollständig geräumt. Nur ein paar Soldaten sind\ngeblieben.\x0E\x04\x02\x00
MID_OP3_#049	Die Königin und ihre königliche Wache sind\nzur Hasaude-Kathedrale gegangen, um dort\nirgendeine Art von Ritual durchzuführen.\x0E\x04\x00\x00
MID_OP3_#050	\x0E\x03\x02\x0A\x08リュール\nEin Ritual? Du meinst doch nicht...\x0E\x04\x00\x00
MID_OP3_#051	\x0E\x03\x02\x10\x0EE004_エル\nSie haben vor, Sombron wiederzuerwecken.\x0E\x04\x00\x00
MID_OP3_#052	\x0E\x03\x02\x16\x14E004_マデリーン\nDiese Schlussfolgerung wird richtig sein.\x0E\x04\x00\x00
MID_OP3_#053	\x0E\x03\x00\x14\x0EE004_イル\x022\n\x0E\x03\x02\x10\x0EE004_イル\nIch habe geahnt, dass so etwas passieren\nkönnte. Das Volk von Elusia ist unserem Vater\nschließlich sehr ergeben.\x0E\x04\x02\x00
MID_OP3_#054	Wir haben uns solch eine Mühe gegeben, uns\neinen Wyrmgott zu Hilfe zu holen. Ihre Er-\nwiderung darauf erscheint da nur logisch.\x0E\x04\x00\x00
MID_OP3_#055	\x0E\x03\x02\x10\x0EE004_エル\nIch würde es nicht als „logisch“ bezeichnen,\neine Leiche wiederzuerwecken.\x0E\x04\x00\x00
MID_OP3_#056	\x0E\x03\x02\x10\x0EE004_イル\nAber sie besitzen nicht unsere Fähigkeit, Hilfe\naus anderen Welten zu beschwören.\x0E\x04\x02\x00
MID_OP3_#057	Hmpf. Ich muss sagen, der Gedanke, Vater\nwiedersehen zu müssen, löst bei mir wider-\nsprüchliche Empfindungen aus...\x0E\x04\x00\x00
MID_OP3_#058	\x0E\x03\x02\x10\x0EE004_エル\nMir fällt gerade auf, dass wir seit Lythos nichts\nmehr von unserem mysteriösen Gegner gehört\nhaben.\x0E\x04\x02\x00
MID_OP3_#059	Vielleicht hielt ihn dieses Ritual beschäftigt.\x0E\x04\x00\x00
MID_OP3_#060	\x0E\x03\x00\x1C\x16E004_セレスティア\x024\n\x0E\x03\x02\x18\x16E004_セレスティア\nAh! Passt auf! Jemand auf einem Pferd nähert\nsich.\x0E\x04\x00\x00
MID_OP3_#061	\x0E\x03\x02\x0A\x08リュール\nElusianische Berittene?\x0E\x04\x00\x00
MID_OP3_#062	\x0E\x03\x00\x1A\x14E004_マデリーン\x024\n\x0E\x03\x02\x16\x14E004_マデリーン\nNein. Der Reiter ist...\x0E\x04\x02\x00
MID_OP3_#063	Mauvier? Mauvier!\x0E\x04\x00\x00
MID_OP3_#064	\x0E\x03\x00\x16\x10M011_モーヴ\x024\n\x0E\x03\x02\x12\x10M011_モーヴ\nMadeline, du bist unverletzt. Welch eine Er-\nleichterung. Und wie es aussieht, ist dieses\nGebiet immer noch sicher.\x0E\x04\x00\x00
MID_OP3_#065	\x0E\x03\x02\x10\x0EE004_イル\nWas für eine Überraschung, Mauvier. Wir haben\ngerade über dich gesprochen.\x0E\x04\x00\x00
MID_OP3_#066	\x0E\x03\x02\x12\x10M011_モーヴ\nWie schön, Euch zu sehen, Mylord Nil. Milady\nNel.\x0E\x04\x00\x00
MID_OP3_#067	\x0E\x03\x02\x10\x0EE004_エル\nWas tust du in Elusia? Deine Befehle lauteten,\nin Solm Informationen zu sammeln.\x0E\x04\x00\x00
