MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04グリ\x021\n\x0E\x03\x02\x06\x04グリ\nIn der tiefsten Finsternis der Einsamkeit...\nwürdet Ihr Euch das Licht zu eigen machen?\x0E\x04\x02\x00
MID_OP1_#002	Würdet Ihr einem Fremden antworten,\nder Euch hinter verschlossener Tür ruft?\x0E\x04\x02\x00
MID_OP1_#003	Die Stimme: verzweifelnd. Die Botschaft: düster.\nBerichte über gleißendes Erz: nachtfinster.\x0E\x04\x02\x00
MID_OP1_#004	Aber was spielt das für eine Rolle?\nEiner kennt die Wahrheit.\x0E\x04\x02\x00
MID_OP1_#005	In dieser Welt gibt es kein Mitgefühl.\nMein Schmerz existiert hier nicht.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0EE003_イル\x022\n\x0E\x03\x00\x14\x0EE003_エル\x023\n\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x10\x0EE003_イル\nWir sind nun schon sehr lange unterwegs.\nGeht es allen gut?\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x18\x16E003_セレスティア\nNatürlich. Auch wenn es ohne Zweifel einfacher\nwäre, wenn ich auf meinem Wyvern reiten\nwürde.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x0A\x08リュール\nUnser Ziel ist Brodia, nicht wahr? Warum\nfolgen wir nicht der Straße?\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x10\x0EE003_エル\nBrodia ist weithin bekannt dafür, dass es Krieg\nhasst. Sie hätten uns nicht gestattet, die Grenze\nzu überqueren.\x0E\x04\x02\x00
MID_OP2_#005	Ihre Grenzsicherung ist engmaschiger als die\njeder anderen Nation. Daher müssen wir das\nLand im Geheimen betreten.\x0E\x04\x02\x00
MID_OP2_#006	Aber um es auf den Punkt zu bringen: Wir\n„gehen“ nicht mehr nach Brodia. Wir sind\nbereits da.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x0A\x08リュール\nHä?\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x10\x0EE003_エル\nWir haben die Grenze zu Brodia bereits über-\nschritten. Wir befinden uns schon seit einiger\nZeit im Land.\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x0A\x08リュール\nUnd das hättest du nicht etwas eher erwähnen\nkönnen?\x0E\x04\x00\x00
