MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x02\x08\x06フラン\n„Mir geht es gut. Ist zu Hause alles in\nOrdnung?“\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nHallo, Framme. Schreibst wohl einen Brief, hm?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06フラン\nJa, an meine Eltern. Wenn ich ihnen nicht\nregelmäßig schreibe, machen sie sich sofort\nSorgen.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06フラン\nIst das zu fassen? In meinem Alter? Sind etwa\nalle Eltern so?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06カゲツ\nSind sie nicht. Deine Eltern schätzen dich\nbestimmt sehr.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06カゲツ\nWir sorgen uns um jene, die wir lieben. Also ist\nes eine gute Sache, dass sich deine Familie\nSorgen um dich macht!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06フラン\nNa ja... da ist wohl was dran.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06フラン\nDu kommst von weit, weit weg, nicht wahr? Da\nbedeuten dir Briefe von deiner Familie bestimmt\nbesonders viel.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06カゲツ\nKann ich nicht sagen. Ich bekomme keine Briefe.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06フラン\nWas? Wieso denn nicht?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06カゲツ\nSie können mir nicht schreiben, weil ich mein\nElternhaus verlassen habe, ohne überhaupt zu\nsagen, wo ich hingehe.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06カゲツ\nAber ich vermute, dass sie so wütend darüber\nsind, dass sie mir eh nicht schreiben würden,\nselbst wenn sie meine Adresse hätten.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06フラン\nDu bist also noch kein einziges Mal\nheimgekehrt, seit du weggelaufen bist?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06カゲツ\nSo ist es.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06フラン\nAber das ist ja furchtbar! Wenn ich Teil deiner\nFamilie wäre, würde ich mir schreckliche Sorgen\nmachen.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06フラン\nHey, ich hab doch Tinte und Papier hier. Du\nsolltest jetzt sofort einen Brief an deine Familie\nschreiben!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06フラン\nSie würden sich bestimmt freuen, von dir\nzu hören.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06カゲツ\nIch soll meiner Familie schreiben? Nein.\nNein, auf keinen Fall.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06フラン\nOch... Also ich finde, das ist eine gute Idee!\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06カゲツ\nEs ist nett von dir, dass du dich sorgst, aber das\nist eine Last, die ich selbst tragen muss.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06カゲツ\nTrotzdem, ich weiß deine Hilfsbereitschaft zu\nschätzen. Danke, kleine Freundin!\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x08\x06フラン\n„Kleine“?!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nHm, nein... So geht das nicht...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06カゲツ\nVielleicht, wenn ich...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x02\x08\x06フラン\nHallooo, Kagetsuuu!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06カゲツ\nAh!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06カゲツ\nFramme! Mein armes Herz...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06フラン\nHe, hast du etwa gerade irgendwas hastig\nvor mir versteckt? Was genau hast du hier\ngemacht?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06カゲツ\nNein. Ich doch nicht. Ich habe noch nie\nirgendetwas versteckt.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06フラン\nMann, bist du ein schlechter Lügner... Aber gut,\nwenn du nichts versteckst, hast du ja sicher\nnichts dagegen, dass ich mich mal umsehe.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06カゲツ\nNein! Framme, hör auf!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06フラン\nHm? Was ist das für ein Stück Papier...?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06フラン\nOh! Augenblick mal, ist das etwa ein Brief?!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06カゲツ\nJa.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06フラン\nGah, tut mir leid! Hier, nimm ihn zurück. Ich hab\nnichts gelesen!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06カゲツ\nIst schon in Ordnung. Ich habe noch nicht\nwirklich angefangen, also gibt es auch kaum\netwas zu lesen.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06フラン\nJetzt schreibst du also doch einen Brief? Zuletzt\nwarst du doch so vehement dagegen.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06カゲツ\nIch habe irgendwie... den Drang verspürt, Stift\nund Zettel zur Hand zu nehmen.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06カゲツ\nNur weiß ich jetzt überhaupt nicht, womit ich\nanfangen soll. Mir fällt nichts ein, was ich\nschreiben könnte.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06フラン\nAch, sei nicht albern!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06フラン\nSchreib einfach, was dir in letzter Zeit so\npassiert ist. Sie werden sich freuen zu erfahren,\ndass du noch lebst.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06フラン\nWenn du willst, kann ich dir helfen. Hauptsache,\ndu schreibst ihnen, ja?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06カゲツ\nFramme... du bist wirklich lieb.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06カゲツ\nDass du dich auf diese Weise um mich und\nmeine Familie sorgst, ist wirklich vorbildlich.\nDanke.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06カゲツ\nMit deiner federführenden Unterstützung werde\nich dieser leeren Seite entgegentreten und sie\nbesiegen.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06フラン\nHey, Kagetsu. Wieso machst du denn so ein\nlanges Gesicht?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06カゲツ\nHallo, Framme. Ah, du willst damit sagen, dass\nich traurig aussehe?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06フラン\nIst etwa immer noch keine Antwort auf deinen\nBrief eingetroffen?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06カゲツ\nIn der Tat.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06カゲツ\nMir scheint, meine Familie hat mich tatsächlich\naufgegeben.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06フラン\nNein! Bestimmt gab es nur ein Problem bei der\nAuslieferung des Briefes.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06カゲツ\nVielleicht gab es das. Und vielleicht wäre das\nsogar das Beste.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06カゲツ\nIch weiß nicht, ob ich mutig genug wäre, ihre\nAntwort zu lesen, sollte ich je eine erhalten.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06フラン\nHe, was ist aus dem Kagetsu geworden, der sich\nder leeren Seite gestellt und sie besiegt hat?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06フラン\nUnd es ist durchaus möglich, dass die Antwort\nnoch unterwegs ist. Du solltest nicht jetzt schon\naufgeben. Hab etwas mehr Vertrauen!\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06カゲツ\nVertrauen, hm...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06フラン\nWarte einfach noch ein bisschen, ja? Und dann\nschreiben wir gemeinsam zurück!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06カゲツ\nDu hast recht. Ich war zu ungeduldig.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06カゲツ\nKannst du mir vielleicht den Brief von deinen\nEltern einmal zeigen, während wir warten?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06フラン\nWas?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06カゲツ\nIch meine den Brief dort in deinen Händen.\nIst das nicht ein Brief von deinen Eltern?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06カゲツ\nIch bin neugierig zu sehen, was deine Eltern dir\nso schreiben. Natürlich nur, wenn es dir nichts\nausmacht.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06フラン\nOh, ähm, klar. Da steht vermutlich eh dasselbe\ndrin wie immer.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06フラン\nLass mich nur erst schauen, was so drinsteht...\nHmm... Mhm... Ah!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06カゲツ\nWieso bist du so erschrocken? Hmm, lass mich\nmal sehen...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06カゲツ\n„Wir haben von Vander gehört, dass...\nGib dir bitte mehr Mühe...\nDu musst mehr trainieren...“\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06カゲツ\nDas ist ja die reinste Schimpftirade!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06フラン\nAAAH! Hör sofort auf, den Brief zu lesen!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06カゲツ\nHm. Es sieht aus, als müsste ich dir bei deinem\nTraining unter die Arme greifen.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06フラン\nNein, musst du nicht!\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06カゲツ\nDu hast mir geholfen, meinen Brief zu\nschreiben. Das bin ich dir also schuldig.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06カゲツ\nWir helfen uns einfach gegenseitig als Freunde!\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06フラン\nMir hat das Ganze besser gefallen, als es noch\nbloß um deine Probleme ging...\x0E\x04\x00\x00
