MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08ロサード\nWas ist los, Louis? Kannst dich wohl nicht an\nmir sattsehen, was?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ルイ\nIn der Tat, Rosado. Ich finde dich äußerst\nentzückend.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ロサード\nWarte mal, was?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04ルイ\nJede Bewegung und jedes Wort von dir quillt\ngeradezu über vor Energie.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ルイ\nFür mich ist es jedes Mal ein exquisiter Anblick.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ロサード\nHahaha! Ich wollte eigentlich nur einen Scherz\nmachen, aber mir gefällt deine Ehrlichkeit!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ロサード\nIch dachte allerdings, es ginge dir immer nur\ndarum, das Miteinander anderer zu betrachten.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ロサード\nIst es da nicht was ganz anderes für dich, mich\nzu beobachten, wenn sonst niemand da ist?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04ルイ\nOh, so ein großer Unterschied besteht da gar\nnicht.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ルイ\nManche legen selbst dann ein grenzenloses\nÜbermaß an Energie an den Tag, wenn sie ganz\nallein sind.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ルイ\nNehmen wir an, du siehst ein Hündchen, das auf\nder Straße umherspringt. Fändest du es weniger\nliebreizend, bloß weil es keinen Gefährten hat?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ロサード\nNein, natürlich nicht.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04ルイ\nDamit wäre alles gesagt.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ロサード\nDu bist schon ein faszinierender Kerl, Louis.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ロサード\nWir haben uns bisher kaum unterhalten, aber\njetzt hab ich total Lust, dich besser\nkennenzulernen!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x06\x04ルイ\nDas beruht auf Gegenseitigkeit, Rosado.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x06\x04ルイ\nWie wäre es, wenn wir uns zu diesem Zwecke\neine gemeinsame Tasse Tee gönnen? Serviert in\neinem besonders charmanten Teeservice!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08ロサード\nKlingt super! Auf geht's!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08ロサード\nEcht? Die findest du nicht niedlich?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x06\x04ルイ\nProvoziere mich nicht, Rosado. Ich werde meine\nMeinung niemals ändern, was das betrifft.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ロサード\nAber sieh doch mal genauer hin. Sind sie nicht\nzumindest ein gaaanz klein wenig niedlich?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ルイ\nNicht im Geringsten. Sie enthalten nicht einmal\neinen Funken von Niedlichkeit.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ロサード\nKomisch! Ich weiß, dass du Trauben liebst,\ndarum dachte ich, du würdest diese kleinen\nDinger auch mögen.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ロサード\nAber gut, ich schätze Meerestrauben sind nicht\njedermanns Sache.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04ルイ\nVor allem handelt es sich bei ihnen um Algen,\nNICHT um TRAUBEN! Sie beflecken den Namen\nwahrer Trauben! Ich verabscheue sie!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04ルイ\nSie ähneln echten Trauben, sind dabei\njedoch SO SALZIG, dass sie mir wörtlich wie\nbildlich die Suppe versalzen!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ロサード\nHm. Na ja, ich mag sie jedenfalls.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ロサード\nFür mich sind sie wie kleine niedliche Bälle aus\ndem Ozean, die sogar nach dem Meer\nschmecken!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x06\x04ルイ\nA-ach, wirklich? Dann bitte ich um Verzeihung.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ロサード\nWofür entschuldigst du dich denn jetzt auf\neinmal?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x06\x04ルイ\nIch gebe mir Mühe, alle Dinge wertzuschätzen,\ndie meinen Freunden gefallen – zumindest\nso weit es mir eben möglich ist.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x06\x04ルイ\nAber! Bei Meerestrauben ziehe ich die Grenze!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ロサード\nIst schon gut, Louis! Wir beide können völlig\nunterschiedliche Dinge mögen und trotzdem\nFreunde bleiben.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x06\x04ルイ\nWirklich? Dann hättest du also nichts dagegen,\nwenn ich dich weiterhin betrachte?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04ルイ\nIch würde ungern den Anblick meines lieben\nRosado missen, wie er seinem Alltag nachgeht.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ロサード\nNatürlich hätte ich nichts dagegen! Mach dich\nbereit, meinen niedlichen Anblick in deine\nAugen einzubrennen!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ルイ\nMeine Augen sind bereit!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08ロサード\nHey, Louis, halt mal kurz still, ja?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04ルイ\nWas hast du da? Papier und Tusche? Zeichnest\ndu etwa ein Bild?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x06\x04ルイ\nSoweit ich mich erinnere, hast du ein Händchen\ndafür, hübsche Landschaften geschickt und\ngeschwind zu Papier zu bringen.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ロサード\nJepp! Aus dem Talent mach ich keinen Hehl.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x06\x04ルイ\nAber was ist dein Motiv hier? Die Szenerie,\ndie uns umgibt, erscheint mir doch eher öde.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ロサード\nDU bist mein Motiv, du Dummerchen! Ich werde\nDICH zeichnen.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ロサード\nIch möchte ein Bild von dir und mir zusammen.\nMich werde ich dann später hinzufügen.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ルイ\nAber wäre ein schlichtes Selbstporträt nicht im\nGroßen und Ganzen viel attraktiver? Das ist\nzumindest meine Meinung.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ロサード\nKann sein, darauf hab ich's jetzt aber nicht\nabgesehen. Bei dem Bild hier geht es mir nicht\num meine eigene Niedlichkeit.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x06\x04ルイ\nWie bitte?!\x0E\x04\x00\x00
