MID_MENU_YES	OK
MID_MENU_START	Start
MID_MENU_NO	Nein
MID_MENU_CANCEL	Zurück
MID_MENU_CANCEL_NO	Abbrechen
MID_MONETARY_UNIT	G
MID_MENU_UNIT_LIST	Einheiten
MID_MENU_UNIT_LIST_HELP	Sieh dir die Werte aller\nVerbündeten an.
MID_MENU_UNIT_LIST_TITLEHELP	Sieh dir die Werte aller Verb. an.
MID_MENU_ORDER	Auto-Kampf
MID_MENU_ORDER_HELP	Wähle eine Strategie und lasse\nEinheiten automatisch kämpfen.
MID_MENU_REWIND	Zeitkristall
MID_MENU_REWIND_HELP	Drehe die Zeit zurück, um\netwas anderes auszuprobieren.
MID_MENU_SYSTEM	System
MID_MENU_H_SYSTEM	Sieh dir das Tutorial an oder\npasse die Einstellungen an.
MID_MENU_TUTORIAL	Tutorial
MID_MENU_TUTORIAL_HELP	Wähle eine Kategorie.
MID_MENU_H_TUTORIAL	Rufe verschiedene\nTutorials auf.
MID_MENU_CONFIG	Einstellungen
MID_MENU_CONFIG_HELP	Verwalte deine Einstellungen.
MID_MENU_H_CONFIG	Nimm verschiedene\nEinstellungen vor.
MID_MENU_RESTART	Neuer Versuch
MID_MENU_RESTART_HELP	Beginne diesen Kampf noch\neinmal von vorn.
MID_MENU_RESTART_CONFIRM	Möchtest du diesen Kampf erneut beginnen?\n(Sämtlicher Fortschritt, inklusive bereits\ngesammelter Erf., wird hierbei zurückgesetzt.)
MID_MENU_RESTART_CONFIRM_YES	Erneut versuchen
MID_MENU_CONTINUEBATTLE_RESTART	Von Anfang an
MID_MENU_CONTINUEBATTLE_RESTART_HELP	Starte die Serie vom ersten\nKampf an neu.
MID_MENU_CONTINUEBATTLE_CONFIRM	Möchtest du die Serie neu starten?\n(Sämtlicher Fortschritt, inklusive bereits\ngesammelter Erf., wird hierbei zurückgesetzt.)
MID_MENU_RESET	Beenden
MID_MENU_RESET_HELP	Kehre zum Titelbildschirm\nzurück.
MID_MENU_RESET_CONFIRM	Zum Titelbildschirm zurückkehren?\nNicht gespeicherter Fortschritt geht verloren.
MID_MENU_RESET_CONFIRM_YES	Ja
MID_MENU_TEMPORARY_SAVE	Lesezeichen
MID_MENU_TEMPORARY_SAVE_HELP	Fortschritt speichern und\ndas Spiel aussetzen.
