MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x10\nスフォリア\x023\n\x0E\x03\x00\x10\nミスティラ\x024\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nKönigin Seforia!\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nNa endlich. Ihr habt ja auch lange genug\ngebraucht.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0C\nミスティラ\nLasst sie frei.\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nTja, ich denke eher nicht. Und wagt es nicht,\nauch nur einen Schritt näher zu treten.\x0E\x04\x02\x00
MID_OP1_#005	Ich habe einen Emblem-Ring. Es wäre so\neinfach, sie abzumurksen.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0C\nミスティラ\n...\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x0C\nスフォリア\nEs tut mir leid. Ich habe nicht erkannt, dass sie\nnoch immer auf der Seite Elusias war.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x0A\x08リュール\nIch sehe keine anderen Soldaten. Bist du ganz\nallein hier eingedrungen?\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nMhm. Ich habe den Wachen erzählt, ich hätte\nIvy verloren, und sie haben mich einfach\neingelassen.\x0E\x04\x02\x00
MID_OP1_#010	Jetzt habt Ihr die Wahl. Her mit den Ringen,\noder ich töte die Königin.\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x01\x0C\nミスティラ\n\x0E\x03\x00\x0E\x08アイビー\x024\n\x0E\x03\x02\x0A\x08アイビー\nHortensia. Tu das nicht.\x0E\x04\x00\x00
