MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x00\x10\nヴェロニカ\x023\n\x0E\x03\x02\x0A\x08リュール\nIst es zu glauben? Eine weitere Insel in den\nWolken.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x06\x04チキ\nIch kann einen weiteren Armring spüren. Ich bin\nmir sicher, dass er ganz in der Nähe ist.\x0E\x04\x02\x00
MID_OP1_#003	Ah, da ist er ja! Der Armring der einsamen\nErbin!\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x0A\x08リュール\nIch hoffe, das Emblem in seinem Inneren ist\nuns freundlich gesinnt. Nun, dann finden wir\nes mal heraus.\x0E\x04\x02\x00
MID_OP1_#005	Hört unser Rufen, Emblem der Helden!\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nIch bin Veronica, kaiserliche Prinzessin von\nEmbla. Nennt mir Euren Namen.\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x0A\x08リュール\nHallo, Emblem Veronica. Ich bin \x0E\x0A\x00\x10\x06der\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin\n\x0E\x06\x03\x00.\x0E\x04\x02\x00
MID_OP2_#003	Es ist mir eine Ehre.\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x0C\nヴェロニカ\nEine Ehre. Welch seltsame Aussage.\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x0A\x08リュール\nIch fühle mich geehrt, mit so einem bedeuten-\nden Emblem zu sprechen. Daran ist gar nichts\nseltsam.\x0E\x04\x02\x00
MID_OP2_#006	Hinzu kommt, dass wir dringend Verbündete\nbenötigen. Würdet Ihr es wohl in Betracht\nziehen, Euch uns anzuschließen?\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x0C\nヴェロニカ\nMich Euch anschließen? Als Verbündete?\x0E\x04\x02\x00
MID_OP2_#008	Ihr seid auf einem Irrweg. Ihr seid es, \x0E\x0A\x00\x10\x06der\x06die sich\nder Emblanischen Armee anschließen wird.\x0E\x04\x02\x00
MID_OP2_#009	Na schön, ich akzeptiere. Ihr dürft Euch den\nHelden anschließen, die ich aus den anderen\nWelten beschworen habe.\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x0A\x08リュール\nSo etwas könnt Ihr?\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x02\x0C\nヴェロニカ\nJa. Dort, wo ich herkomme, gehört diese Macht\njemandem, der Beschwörer genannt wird.\x0E\x04\x02\x00
MID_OP2_#012	Als ich zu einem Emblem wurde,\nerlangte ich dieselbe Fertigkeit.\x0E\x04\x02\x00
MID_OP2_#013	Nun versammle ich Helden aus anderen Welten\num mich herum, um mit ihrer Hilfe das König-\nreich von Askr zu zerstören.\x0E\x04\x00\x00
