MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06セピア\x021\n\x0E\x03\x00\x0C\x06マロン\x022\n\x0E\x03\x00\x0A\x04グリ\x023\n\x0E\x03\x00\x0C\x06モーヴ\x024\n\x0E\x03\x02\x08\x06セピア\nWas?\x0E\x04\x02\x00
MID_OP1_#002	Ihr habt ihnen zwei unserer Ringe überlassen?\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x08\x06モーヴ\nIch bitte um Verzeihung.\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x08\x06マロン\nWir... Wir dachten, wenn wir ein paar Ringe\nstehlen, wärst du stolz auf uns...\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x06\x04グリ\nEs bringt nichts, ihre zu stehlen, wenn wir\nunsere ständig verlieren, ihr Schwachköpfe!\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x08\x06マロン\nEs tut mir ja leid.\x0E\x04\x02\x00
MID_OP1_#007	Aber Lord Sombron wird es verstehen. Wir sind\nschließlich seine Lieblinge.\x0E\x04\x02\x00
MID_OP1_#008	Er wird uns keine Standpauke halten, nur weil\nwir ein paar Ringe verloren haben.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x08\x06セピア\nMarni.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x08\x06マロン\nJa?\x0E\x04\x02\x00
MID_OP1_#011	AU! Das hat wehgetan!\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x08\x06セピア\nDu hättest meinem Befehl folgen sollen – nicht\nmehr und nicht weniger. Diesmal kann ich dich\nnicht beschützen.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x08\x06マロン\nMich? Es war dein Fehler, dass wir den Ring\ndes Heiligen Ritters verloren haben!\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x08\x06セピア\nIch habe Milady Veyles Befehle ausgeführt.\nWillst du etwa sagen, dass sie schuld ist?\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x08\x06マロン\nNein, das nicht, aber...\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x02\x08\x06モーヴ\nIch werde mich nicht herausreden. Wenn eine\nStrafe fällig ist, erteile sie mir.\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x08\x06セピア\nDir?\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x02\x08\x06モーヴ\nMarni hatte es nur auf dein Lob abgesehen. Ich\nbin schuld. Ich hätte sie aufhalten müssen.\x0E\x04\x00\x00
MID_OP1_#019	\x0E\x03\x02\x08\x06セピア\nWie selbstlos. Dass du dich für einen anderen\nBluthund einsetzt... Ich bin gerührt.\x0E\x04\x02\x00
MID_OP1_#020	Oder hast du vielleicht Angst davor, was ich\nMilady Veyle antue, wenn ich wütend bin?\x0E\x04\x00\x00
MID_OP1_#021	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_OP1_#022	\x0E\x03\x02\x08\x06セピア\nLeider ist es zu spät. Ich habe den Zauber\nbereits gewirkt.\x0E\x04\x00\x00
MID_OP1_#023	\x0E\x03\x02\x08\x06モーヴ\nWas?! Du hast versprochen, bis zu unserer\nRückkehr zu warten!\x0E\x04\x00\x00
MID_OP1_#024	\x0E\x03\x02\x08\x06セピア\nDas wollte ich, wirklich. Doch dann ist der\nFehlgriff aufgewacht. Ich hatte keine Wahl.\x0E\x04\x02\x00
MID_OP1_#025	Und erzähle mir nichts von Versprechen. Du\nhast Verrat an Lord Sombron begangen.\x0E\x04\x02\x00
MID_OP1_#026	Als Oberhaupt dieser Familie muss ich meine\nKinder bestrafen, wenn sie ungezogen sind.\x0E\x04\x00\x00
MID_OP1_#027	\x0E\x03\x02\x08\x06マロン\nBestrafen? Was hast du vor?\x0E\x04\x00\x00
MID_OP1_#028	\x0E\x03\x02\x08\x06モーヴ\nMarni, flieh!\x0E\x04\x00\x00
MID_OP1_#029	\x0E\x03\x02\x08\x06セピア\nIch glaube nicht.\x0E\x04\x00\x00
MID_OP1_#030	\x0E\x03\x02\x08\x06マロン\nAAAH!\x0E\x04\x00\x00
MID_OP1_#031	\x0E\x03\x02\x08\x06モーヴ\nUff!\x0E\x04\x00\x00
MID_OP1_#032	\x0E\x03\x01\x08\x06マロン\n\x0E\x03\x01\x08\x06モーヴ\n\x0E\x03\x01\x06\x04グリ\n\x0E\x03\x00\x0A\x04グリ\x022\n\x0E\x03\x02\x06\x04グリ\nSieh einer an. Beide bewusstlos. Scheint\nschmerzhaft gewesen zu sein.\x0E\x04\x00\x00
MID_OP1_#033	\x0E\x03\x02\x08\x06セピア\nHör auf zu sabbern. Du hast etwas zu erledigen\nund ich gehe.\x0E\x04\x00\x00
MID_OP1_#034	\x0E\x03\x02\x06\x04グリ\nWas soll ich mit ihnen machen?\x0E\x04\x00\x00
MID_OP1_#035	\x0E\x03\x02\x08\x06セピア\nAch, die kommen schon zurückgekrochen. Sie\nhaben nirgendwo einen Platz, außer bei mir.\x0E\x04\x02\x00
MID_OP1_#036	Ich gehe davon aus, dass du dich nicht von der\nAufgabe ablenken lässt, die ich dir gegeben\nhabe.\x0E\x04\x02\x00
MID_OP1_#037	Auch wenn sie dir Schmerzen zufügen, bleib\nwachsam. Es darf nicht den geringsten Zweifel\ngeben.\x0E\x04\x00\x00
MID_OP1_#038	\x0E\x03\x02\x06\x04グリ\nIch weiß. Ich muss sichergehen, dass \x0E\x0A\x00\x1A\x0Cdieser\ndiese\n\x0E\x0A\x00(\x10Versager\x14Versagerin Lord Sombrons \x0E\x0A\x00\x1A\x08Sohn\x0ETochter ist.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\nWir sind da. Schloss Elusia.\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x0A\x08リュール\nSombron ist vermutlich hinter diesen Mauern.\nVeyle auch.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x0A\x08アイビー\nJa.\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x0A\x08リュール\nIch hoffe, sie ist in Sicherheit. Aber es besteht\ndie Möglichkeit, dass sie uns als Feindin\ngegenübertritt statt als Freundin.\x0E\x04\x02\x00
MID_OP2_#005	Seid wachsam. Beim ersten Anzeichen von\nGefahr sollten wir die Flucht ergreifen.\x0E\x04\x02\x00
MID_OP2_#006	...!\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x01\x0A\x08アイビー\n\x0E\x03\x00\x12\x0Cアルフレッド\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nWas ist los?\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x0A\x08リュール\nDiese Worte – das sind Marths Worte.\x0E\x04\x02\x00
MID_OP2_#009	Dasselbe hat er mir vor der Destinea-Kathedrale\ngesagt, bevor... Bevor ich ihn verlor.\x0E\x04\x02\x00
MID_OP2_#010	Wir haben uns immer noch nicht von unserer\nNiederlage an jenem Tag erholt. Was, wenn es\nwieder passiert?\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x02\x0E\x0Cアルフレッド\nDas wird es nicht. Wir sind stärker als je zuvor.\x0E\x04\x02\x00
MID_OP2_#012	Ihr seid gut in Eure göttliche Rolle\nhineingewachsen.\x0E\x04\x00\x00
MID_OP2_#013	\x0E\x03\x02\x0A\x08リュール\nBin ich das?\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x0E\x0Cアルフレッド\nJa. Deswegen weiß ich, dass wir die Embleme\nzurückholen werden.\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02\x0A\x08リュール\nDas ist das größte Lob, das Ihr mir machen\nkönnt.\x0E\x04\x02\x00
MID_OP2_#016	Lasst uns gehen.\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08リュール\nIst Schloss Elusia immer so ruhig?\x0E\x04\x00\x00
MID_OP3_#002	\x0E\x03\x02\x0A\x08アイビー\nNein. Ich hätte zumindest erwartet, dass\nkönigliche Soldaten Wache halten.\x0E\x04\x00\x00
MID_OP3_#003	\x0E\x03\x00\x12\x0Cディアマンド\x023\n\x0E\x03\x02\x0E\x0Cディアマンド\nVielleicht hat Sombron... sich um sie\ngekümmert.\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x00\x10\nミスティラ\x024\n\x0E\x03\x02\x0C\nミスティラ\nIhr meint, er hat sie in Verzerrte verwandelt?\x0E\x04\x00\x00
MID_OP3_#005	\x0E\x03\x02\x0A\x08リュール\nNein...\x0E\x04\x00\x00
MID_OP3_#006	\x0E\x03\x01\x0A\x08リュール\n\x0E\x03\x01\x0A\x08アイビー\n\x0E\x03\x01\x0E\x0Cディアマンド\n\x0E\x03\x01\x0C\nミスティラ\n\x0E\x03\x00\x0A\x04グリ\x021\n\x0E\x03\x02\x06\x04グリ\nWer braucht schon langweilige Soldaten, wenn\nihr stattdessen mich haben könnt?\x0E\x04\x00\x00
MID_OP3_#007	\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nGriss.\x0E\x04\x00\x00
MID_OP3_#008	\x0E\x03\x02\x06\x04グリ\nLange nicht gesehen, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche! Willkommen.\nDu musst müde sein nach dieser langen Reise.\x0E\x04\x02\x00
MID_OP3_#009	Oh, und sieh an, die verschollene Prinzessin!\nHast du etwa Heimweh bekommen?\x0E\x04\x00\x00
MID_OP3_#010	\x0E\x03\x00\x0E\x08アイビー\x024\n\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_OP3_#011	\x0E\x03\x02\x06\x04グリ\nIch muss euch gratulieren – zwei weitere Ringe\nin eurer Tasche. Nicht schlecht.\x0E\x04\x02\x00
MID_OP3_#012	Aber für eine vollständige Sammlung braucht\nihr mehr. Zum Beispiel... diesen hier.\x0E\x04\x00\x00
MID_OP3_#013	\x0E\x03\x02\x0A\x08リュール\nDer Ring der gütigen Prinzessin!\x0E\x04\x00\x00
MID_OP3_#014	\x0E\x03\x02\x06\x04グリ\nEs ist sogar das Original. Ich werde es\nbeweisen.\x0E\x04\x00\x00
MID_OP3_#015	\x0E\x03\x00\x0C\x06セリカ\x023\n\x0E\x03\x02\x08\x06セリカ\n...\x0E\x04\x00\x00
MID_OP3_#016	\x0E\x03\x01\x0A\x08アイビー\n\x0E\x03\x00\x12\x0Cアルフレッド\x024\n\x0E\x03\x02\x0E\x0Cアルフレッド\nCelica!\x0E\x04\x00\x00
MID_OP3_#017	\x0E\x03\x02\x06\x04グリ\nIch gebe sie zurück. Ihr müsst mich lediglich\nbesiegen.\x0E\x04\x00\x00
MID_OP3_#018	\x0E\x03\x02\x0A\x08リュール\nWas soll das?\x0E\x04\x00\x00
MID_OP3_#019	\x0E\x03\x02\x06\x04グリ\nNichts. Denkst du etwa, Lord Sombron würde\nauftauchen?\x0E\x04\x00\x00
MID_OP3_#020	\x0E\x03\x02\x0A\x08リュール\nDu stehst allein gegen viele. Wir werden dich\nvernichtend schlagen.\x0E\x04\x00\x00
MID_OP3_#021	\x0E\x03\x02\x06\x04グリ\nHmm, du verstehst es, die richtigen Worte zu\nfinden.\x0E\x04\x02\x00
MID_OP3_#022	Entspann dich. Es kommt niemand. Wenn ich\nfalschliege, beiße ich mir die Zunge ab und\nersticke an meinem Blut.\x0E\x04\x00\x00
MID_OP3_#023	\x0E\x03\x02\x0A\x08リュール\nWas wird hier gespielt?\x0E\x04\x00\x00
MID_OP3_#024	\x0E\x03\x02\x06\x04グリ\nWenn du Antworten willst, musst du sie aus mir\nherausprügeln.\x0E\x04\x00\x00
MID_OP3_#025	\x0E\x03\x02\x0A\x08リュール\nNa gut. Ich weiß nicht, was du vorhast, aber wir\nwerden uns diese Gelegenheit nicht entgehen\nlassen.\x0E\x04\x02\x00
MID_OP3_#026	Mach dich bereit, Griss. Wir sorgen dafür, dass\ndu diesen Ring zurückgibst.\x0E\x04\x00\x00
MID_OP3_#027	\x0E\x03\x02\x06\x04グリ\nDas will ich sehen. Versuch es doch, Drache!\x0E\x04\x02\x00
MID_OP3_#028	Reiß mich in Stücke, in Stücke, in Stücke...\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EM020_グリ\x02b\n\x0E\x05\x01\x1C\x0EM020_グリ\nSmile\n\x0E\x03\x02\x10\x0EM020_グリ\nDer Spaß geht weiter. Ich lasse euch hart dafür\narbeiten.\x0E\x04\x00\x00
