MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0C\nシトリニカ\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ヴェイル\nOh, ähm, wieso siehst du mich so an?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nシトリニカ\nIch bin nur neugierig.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ヴェイル\nNeugierig? Auf was?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nシトリニカ\nEs ist so... schlicht.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ヴェイル\nI-ich verstehe nicht.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nシトリニカ\nIhr seid eine Prinzessin, dennoch tragt Ihr\nkeine Juwelen oder anderen Putz.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nシトリニカ\nEure Kleidung ist einfach... schlicht!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ヴェイル\nWas geht dich das denn überhaupt an? Es\nwar mir eben nicht beschieden, viele raffinierte\nDinge zu besitzen.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nシトリニカ\nNatürlich. Ich verstehe.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nシトリニカ\nUnd dennoch – oh, wie sag ich es nur – fühle\nich einen tiefen Drang, Eure innere Erhabenheit\naus ihrem Versteck hervorzuholen.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ヴェイル\nTut mir leid, wenn meine... Schlichtheit... dich\nstört.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nシトリニカ\nOje. Verzeiht, Milady Veyle. Ich hoffe, Ihr\nwisst, dass ich Euch nicht beleidigen wollte.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nシトリニカ\nLehnt Euch einfach zurück und überlasst alles\nmir.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ヴェイル\nAlles überlassen... Warte, was meinst du denn\ndamit?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nシトリニカ\nMal sehen... Ich denke, es ist am besten, wenn\nwir mit der Grundausstattung anfangen.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nシトリニカ\nOh, aber der Stil von jemandem wird direkt von\nseinem Lebensstil beeinflusst, also dann\nvielleicht... Hmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x01\x0C\nシトリニカ\n\x0E\x03\x02\x0A\x08ヴェイル\nWas war das denn? ...Ich glaube, ich will es gar\nnicht wissen.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nIch kann es nicht fassen, mit wie vielen seltenen\nEdelsteinen dieses Kleid besetzt wurde. Es\nglitzert unglaublich.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nシトリニカ\nHallo, Milady Veyle! Gefällt Euch Eure\nneue Kleidung?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ヴェイル\nMEINE Kleidung? Oh, das kann ich auf keinen\nFall behalten. Das ist doch viel zu wertvoll.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nシトリニカ\nOh? Echt? Ich war mir sicher, dass es Euch\nstehen würde...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ヴェイル\nWieso gibst du mir diese Urkunde, die sagt,\ndass mir „eine einsame Insel umgeben von\nwunderschönem Sandstrand“ gehört?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nシトリニカ\nAußerdem steht da „Privatvilla inklusive.“\nEin schönes Kleid verdient einen schönen\nRückzugsort, meint Ihr nicht?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ヴェイル\nVermutlich... Aber ich kann weder eine einsame\nInsel noch ein mit Edelsteinen besetztes Kleid\nannehmen.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nシトリニカ\nDann vielleicht einfach nur diese Krone? Ich\nhabe sie nur für Euch anfertigen lassen,\nMilady Veyle.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ヴェイル\nOh, ist die schön!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ヴェイル\nMoment, nein! Ich kann nicht! Ich brauche so\netwas nicht!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nシトリニカ\nAber... Aber... Oh, würdet Ihr bitte wenigstens\neines dieser Dinge annehmen?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nシトリニカ\nUm meinetwillen?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ヴェイル\nUm deinetwillen? Was heißt das?\x0E\x04\x00\x00
