MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\n♪Spaß, Spaß, Spaß für jeden! Singe, singe,\nsinge, auf dass die Kasse klingle!♪\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nミスティラ\n♪Kann es kaum erwarten, all die Leute draußen\nzu sehen... Ich werde tanzen, meine Haare im\nWinde wehen, wehen, wehen!♪\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nHallo, Prinzessin Timerra. Klingt, als hättet\nIhr Spaß.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nミスティラ\nHahaha, wie seid Ihr denn darauf gekommen?\nEigentlich bin ich unterwegs in den Ort.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nGanz allein? Ohne Wache oder Eskorte?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nミスティラ\nJa, ja! Ich bin inkognito. Wisst Ihr, Ihr seid mehr\nals willkommen, mich zu begleiten!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nVielen Dank, aber ich verzichte. Ich war dabei,\nmich meinem täglichen Training zu widmen.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nミスティラ\nOch! Wie schade.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nミスティラ\n♪ Wäre lustig gewesen, abzuhängen mit\nPrinzchen D... aber er trainiert lieber seinen\ngroßen Zeh!♪\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nHmm.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nIch will mich ja nicht in die Belange anderer\nKöniglicher einmischen, aber...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nWenn Ihr Zeit habt, auf dem Weg in den Ort\nzu singen und zu tanzen, hättet Ihr wohl auch\nZeit für das Training.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nミスティラ\nIch finde nicht, dass sich diese beiden Dinge\ngegenseitig ausschließen.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nミスティラ\nAbgesehen davon... Die Zeit mit echten Leuten\nzu verbringen, macht aus mir eine bessere\nPrinzessin.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nミスティラ\nSo wie EUCH das Training zu einem besseren\nPrinzen macht. Seht Ihr, was ich meine?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nIch glaube nicht. Ich trainiere, um stärker zu\nwerden, damit ich mein Volk besser beschützen\nkann.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nミスティラ\nDas ist dann für uns ein und dasselbe. Ich\nhänge mit dem Volk im Ort ab, damit ich es\nbeschützen kann.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nミスティラ\nDenn wie soll man jemanden beschützen,\nwenn man nicht mal weiß, wer er ist?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nVerstehe...\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nDas ist ein interessanter Standpunkt. Ich werde\ndarüber auf jeden Fall nachdenken... während\nich trainiere.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\n♪Hm hm-hm! Hm-hm hm-hmm...♪\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x02\x0E\x0Cディアマンド\nAmüsiert Ihr Euch wieder, Prinzessin Timerra?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nミスティラ\nJepp! Massig. Lasst mich raten... Ihr habt\ngerade trainiert?\x0E\x04\x00\x00
