MID_PLACE_Filene	Firene
MID_PLACE_Brodia	Brodia
MID_PLACE_Ircion	Elusia
MID_PLACE_Solum	Solm
MID_PLACE_Lithos	Lythos
MID_PLACE_Gradron	Gradlon
MCID_M000_PREFIX	Prolog
MCID_M000	Die Embleme
MCID_M000_PLACE	Schloss Lythos
MCID_M001_PREFIX	Kapitel 1
MCID_M001	Endlich erwacht
MCID_M001_PLACE	Grasebene von Lythos
MCID_M002_PREFIX	Kapitel 2
MCID_M002	Königin Lumera
MCID_M002_PLACE	Schlosspark Lythos
MCID_M003_PREFIX	Kapitel 3
MCID_M003	Feindseligkeiten
MCID_M003_PLACE	Ringkammer
MCID_M004_PREFIX	Kapitel 4
MCID_M004	Ein blühendes Land
MCID_M004_PLACE	Floramühlstadt
MCID_M005_PREFIX	Kapitel 5
MCID_M005	Rückeroberung
MCID_M005_PLACE	Schloss Firene
MCID_M005_OUTLINE	Die Gruppe erfährt, dass Elusia\nSchloss Firene infiltriert hat, und\neilt Königin Ève zur Hilfe.
MCID_M006_PREFIX	Kapitel 6
MCID_M006	Der gestohlene Ring
MCID_M006_PLACE	Bergsiedlung
MCID_M006_OUTLINE	Die Gruppe macht sich auf den\nWeg zu dem Schrein, der den Ring\nder Tochter des Lichts beherbergt.
MCID_M007_PREFIX	Kapitel 7
MCID_M007	Dunkles Emblem
MCID_M007_PLACE	Viadukt
MCID_M007_OUTLINE	Die Gruppe versucht, die Grenze\nBrodias zu überqueren. Das König-\nreich bewahrt ebenfalls einen Ring.
MCID_M008_PREFIX	Kapitel 8
MCID_M008	Reich der Krieger
MCID_M008_PLACE	Schloss Brodia
MCID_M008_OUTLINE	Die Truppen \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin weh-\nren einen Angriff der Elusianer ab\nund erreichen Schloss Brodia.
MCID_M009_PREFIX	Kapitel 9
MCID_M009	Ein Kräftemessen
MCID_M009_PLACE	Grenzfestung
MCID_M009_OUTLINE	Gemeinsam mit König Morion stellt\nsich die Armee \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin\nKönig Hyacinths Herausforderung.
MCID_M010_PREFIX	Kapitel 10
MCID_M010	Dämonendrache Sombron
MCID_M010_PLACE	Destinea-Kathedrale
MCID_M010_OUTLINE	Die Armee \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin eilt zur\nDestinea-Kathedrale, um König\nMorion zu retten.
MCID_M011_PREFIX	Kapitel 11
MCID_M011	Rückzug
MCID_M011_PLACE	Schattenmoor
MCID_M012_PREFIX	Kapitel 12
MCID_M012	Die Wächter
MCID_M012_PLACE	Wüste Tullah
MCID_M012_OUTLINE	Nachdem sie die Ringe an Veyle\nverloren hat, sammelt sich die\nGruppe im Königinreich Solm.
MCID_M013_PREFIX	Kapitel 13
MCID_M013	Helden der Oase
MCID_M013_PLACE	Oasendorf
MCID_M013_OUTLINE	Auf der Suche nach Timerra und\ndem Ring des strahlenden Helden\nerreicht die Gruppe eine Oase.
MCID_M014_PREFIX	Kapitel 14
MCID_M014	Der Kampf um Solm
MCID_M014_PLACE	Palast von Solm
