MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x08\x06モーヴ\nSo. Jetzt müssen wir sie nur noch\nzusammenpacken und wegräumen.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nラファール\nSei gegrüßt. Benötigst du Unterstützung?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06モーヴ\nVielen Dank, Mylord Rafal, aber nein.\nDie Werkzeuge sind bereits säuberlich geordnet.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nラファール\nAls Nächstes willst du die Waffen sortieren,\nnicht wahr? Vielleicht kann ich dabei zur Hand\ngehen.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06モーヴ\nMacht Euch keine Mühe.\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Ihr habt ganz offensichtlich etwas auf dem\nHerzen. Kann ich Euch irgendwie behilflich\nsein?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nラファール\nIch sehe, dass meine Bemühungen, unter-\nstützend zu erscheinen, vergeblich sind. Reib\nes mir nicht auch noch unter die Nase.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06モーヴ\nAber nein. Ihr seid immer noch neu in dieser\nWelt. Wenn ich die Eingewöhnung irgendwie\nerleichtern kann, will ich das gerne tun.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nラファール\nIm Moment benötige ich gar nichts.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06モーヴ\nGut. Wenn sich das ändern sollte, gehe ich\ndavon aus, dass Ihr wisst, wo Ihr mich findet.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nラファール\nDieses Angebot erwidere ich. Ich weiß, dass du\ndazu tendierst, dich zu überarbeiten.\x0E\x04\x02\x00
MID_RELIANCE_C_#012	Achte darauf, dich genügend auszuruhen.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06モーヴ\nHabt Dank für Eure Sorge.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x08\x06モーヴ\nUff. Noch drei Mal hin und her, dann sollte es\nreichen.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nラファール\nSind wir wieder mit Kistenschleppen\nbeschäftigt? Gestatte mir, dir zur Hand zu\ngehen.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06モーヴ\nIch weiß das Angebot zu schätzen, Mylord\nRafal, doch es ist vollkommen unnötig.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nラファール\nAuch wenn mein Erscheinungsbild etwas\nanderes ausdrückt, so verfüge ich doch über\nmehr als ausreichende Stärke für diese Aufgabe.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06モーヴ\nDessen bin ich mir bewusst.\x0E\x04\x02\x00
MID_RELIANCE_B_#006	Warum seid Ihr so sehr darauf erpicht, mir zu\nassistieren?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nラファール\nSind meine helfenden Bemühungen lästig?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06モーヴ\nNein, aber durchaus irritierend.\x0E\x04\x02\x00
MID_RELIANCE_B_#009	Wenn Ihr die Gründe dahinter erläutern würdet,\nkönnte es mir leichter fallen, Euer Angebot\nanzunehmen.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nラファール\nSeufz!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06モーヴ\nDas scheint Euch schwerzufallen.\x0E\x04\x02\x00
MID_RELIANCE_B_#012	Ich werde das Thema nicht weiter forcieren.\nWann immer Ihr zu sprechen wünscht, bin ich\nda, um zuzuhören.\x0E\x04\x02\x00
MID_RELIANCE_B_#013	Und nun kehre ich zu meiner Arbeit zurück.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nラファール\nSeufz. Ich hätte wissen müssen, dass er es\nbemerkt.\x0E\x04\x02\x00
MID_RELIANCE_B_#015	Ich muss mich entscheiden, wie viel ich ihm\nmitteilen will.\x0E\x04\x02\x00
MID_RELIANCE_B_#016	Das ist keine leichte Entscheidung. Aber ich\nmuss mir sicher sein, bevor ich das nächste\nGespräch mit ihm suche.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0C\nラファール\nMauvier. Sprich einen Moment mit mir.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06モーヴ\nSehr gern. Worüber?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nラファール\nUnsere kürzliche Konversation. Es gibt etwas,\ndas du wissen solltest.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06モーヴ\nGeht es darum, warum Ihr mich mit solch\nsichtbarem Eifer unterstützen wolltet?\x0E\x04\x00\x00
