MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nHey, Lindon! Meine Schwester will dich\nsprechen.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リンデン\nAh. Danke, Prinzessin Hortensia. Es tut mir leid,\ndass Ihr Euch meinetwegen bemühen musstet.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nSchon gut. Ich hatte ohnehin was zu tun, und du\nlagst sozusagen auf dem Weg. Oh, was für ein\nschönes Gemälde!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nDie Dame ist ja bezaubernd. Ist das deine\nTochter?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リンデン\nDieses wunderschöne Gemälde zeigt meine\nnoch wunderschönere Frau.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nJa, wahrlich eine Augenweide. Du bist ein\nGlückspilz!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リンデン\nWenn sie jetzt hier wäre, würde es sie sehr\nfreuen, dass Ihr so etwas sagt.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nDu musst uns unbedingt einander vorstellen,\nwenn sie wieder in der Nähe ist. Ich will sie\nunbedingt kennenlernen.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リンデン\nLeider ist das nicht möglich. Sie ist vor einiger\nZeit verstorben.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nOh... Oh nein. Das wusste ich nicht. Es tut mir\nso leid.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リンデン\nHm-hm, es ist schon gut, Prinzessin Hortensia.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リンデン\nWir haben drei Kinder gemeinsam großgezogen.\nJetzt sind sie alle schon erwachsen, leben ihre\neigenen Leben.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リンデン\nIch hatte die Gesellschaft der Magier, die ich\nausgebildet habe, und ich bin mir sicher, dass\nsie in Frieden ruht.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nDu hast so viel geleistet. Ich bin sicher, wenn sie\nhier wäre, würde sie dir sagen, wie stolz sie auf\ndich ist.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nSag, Lindon... Magst du mir auch Unterricht\ngeben? Ich kann bestimmt viel von dir lernen.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リンデン\nEuer Vorschlag schmeichelt mir, doch in unser\nbeider Interesse muss ich ablehnen.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cオルテンシア\nWieso das denn?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08リンデン\nIch habe einfach nicht mehr die Ausdauer, um\nzu unterrichten.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch verstehe. Du hast Schlachten zu schlagen.\nIch sollte dich nicht bedrängen.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08リンデン\nSchmollt nicht. Sicherlich gibt es irgendwo\neinen rüstigen Magier, der sich hervorragend\nals Lehrer eignen würde.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nLindon, können wir reden?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch hatte gehofft, du könntest... noch mal\ndarüber nachdenken, mir Unterricht zu geben.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リンデン\nWie bereits erwähnt, Prinzessin Hortensia,\nich habe nicht mehr die Kraft, um unterrichten\nzu können.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リンデン\nAußerdem kam mir zu Ohren, dass Ihr bereits\nKlassenbeste in der elusianischen Akademie\nseid, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リンデン\nUnd darüber hinaus gibt es auch keinen Grund,\nEure Ausbildung zu beschleunigen. Nehmt Euch\nZeit für Euer Wachstum.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nMein Vater hat nicht lange genug gelebt, um zu\nerleben, wie ich es allein schaffe.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nDeswegen beeile ich mich so. Ich will solche\nReue nicht mehr spüren.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リンデン\nAh, natürlich.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch will, dass mein Vater in dem Wissen ruht,\ndass ich auf mich selbst aufpassen kann. So\nwie deine Kinder.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nDamit kannst du mir doch helfen, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リンデン\nIch verstehe Euch. Wirklich. Aber... ich habe\nnoch mehr Gründe für meine Ablehnung.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\nWas meinst du damit?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リンデン\nSeit dem abrupten Ableben von König Hyacinth\nbefindet Elusia sich in einer Krise.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リンデン\nIn einer solchen Zeit könnte selbst ein kleiner\nZwischenfall unser Königreich aus dem\nGleichgewicht bringen.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リンデン\nUm mein geliebtes Elusia zu schützen, muss ich\nall meine Kraft unserem Wiederaufbau widmen.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リンデン\nUnter diesen Bedingungen habe ich schlicht\nkeine Zeit für Euch zu erübrigen, Prinzessin\nHortensia.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cオルテンシア\nDeswegen also hat Ivy nach dir geschickt...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nEs tut mir leid, Lindon. Ich war egoistisch.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch habe nur an meine eigene Ausbildung\ngedacht, während du und Ivy so hart für Elusia\narbeitet.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08リンデン\nNein, nein. Ihr müsst Euch für nichts\nentschuldigen.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08リンデン\nEs ist nichts Falsches daran, auf sich selbst zu\nachten, Prinzessin Hortensia.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cオルテンシア\nVielleicht hast du recht. Danke.\x0E\x04\x00\x00
