MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0A\x08リュール\nWas ist das? Da hinten... Ist das ein Thron?\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x08\x06ベレト\nEs sieht hier aus wie in der heiligen Gruft.\nEin Ort aus meiner Welt.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08リュール\nWas ist die heilige Gruft?\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x08\x06ベレト\nDer Ort, an dem die Göttin Sothis schläft.\nEs ist der heiligste Ort für die Kirche der Seiros.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x08\x06ベレト\nUm das Grab zu schützen, wurde darüber ein\nKloster errichtet.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0A\x08リュール\nGut, aber warum ist dieser Ort dann hier?\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x08\x06ベレト\nNur eine Handvoll Auserwählter weiß von der\nLegende über Seiros und die heilige Gruft.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x08\x06ベレト\nEs heißt, die Göttin habe der Heiligen Seiros\nMacht offenbart und eine heilige Aufgabe\nverliehen.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x08\x06ベレト\nSie sollte die Einwohner Fódlans erretten und\nihre Kraft weise einsetzen, um sie zu leiten.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x08\x06ベレト\nVielleicht war es unvermeidlich, dass wir hierher\ngeleitet wurden.\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x0A\x08リュール\nWarum sagt Ihr das?\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x08\x06ベレト\nWenn die Bande zwischen uns stärker werden\nsollen, müsst Ihr Euch einer Prüfung unter-\nziehen.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x0A\x08リュール\nIch verstehe. Möchtet Ihr, dass ich gegen Euch\nkämpfe, Byleth?\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x08\x06ベレト\nZeigt mir, ob Ihr imstande seid, die auf Eurer\nbisherigen Reise gewonnene Kraft weise\neinzusetzen.\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x0A\x08リュール\nVerstanden.\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x02\x08\x06ベレト\nIch kann in Euren Augen kein Zögern erkennen.\nGut. Wappnet Euch!\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x0A\x08リュール\nIch bin bereit. Und ich halte mich nicht zurück!\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06ベレト\x02b\n\x0E\x05\x01\x16\x06ベレト\x0CNormal\n\x0E\x03\x02\x08\x06ベレト\nUm den Kampf zu gewinnen, braucht Ihr ein\nscharfes Auge. Wisst stets, wo sich Eure Feinde\nbefinden.\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nWas sind das für Dinger überall auf dem\nSchlachtfeld?\x0E\x04\x00\x00
