MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04不明\x021\n\x0E\x03\x02\x06\x04不明\nWünscht ihr, unschuldig zu bleiben, euch fest\nan die Lehren, denen ihr folgt, zu halten?\x0E\x04\x02\x00
MID_OP1_#002	Oder werdet ihr den Sieg ergreifen, eure Hände\nmit dem Blut alter Freunde besudeln?\x0E\x04\x02\x00
MID_OP1_#003	Der unerträglichste Schmerz ist nun eine\nzärtliche Erinnerung, ein verzweifelter Traum.\x0E\x04\x02\x00
MID_OP1_#004	Aber ich kenne die Wahrheit.\x0E\x04\x02\x00
MID_OP1_#005	In dieser Welt gibt es keine Ewigkeit.\nNun ist es an der Zeit, zu erwachen.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE006_エル\x021\n\x0E\x03\x00\x18\x12E005_Boss\x022\n\x0E\x03\x00\x0E\x08リュール\x023\n\x0E\x03\x00\x1C\x16E006_セレスティア\x024\n\x0E\x03\x02\x14\x12E005_Boss\nIch erinnere mich daran, wie wir noch Kinder\nwaren.\x0E\x04\x02\x00
MID_OP2_#002	Du hast immer viel tiefer und länger geschlafen\nals ich. Ich habe stets ängstlich darauf gewartet,\ndass du aufwachst.\x0E\x04\x02\x00
MID_OP2_#003	Die Welt war voller Feinde. Ich war unfähig,\netwas allein zu tun.\x0E\x04\x02\x00
MID_OP2_#004	Ich konnte mich nicht verwandeln, egal, wie\nsehr ich mir das auch wünschte. Ich war ein\nhilfloser Welpe. Ein Fehlschlag.\x0E\x04\x02\x00
MID_OP2_#005	Ich war überzeugt davon, dass ich nicht lange\nüberleben würde.\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x10\x0EE006_エル\nDu hattest... so wenig Hoffnung.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x14\x12E005_Boss\nDu bist wach. Ich rate dir, denk nicht mal daran,\ndich zu verwandeln und zu fliehen.\x0E\x04\x02\x00
MID_OP2_#008	Du würdest jeden Körperteil verlieren, der sich\nvom Fleck bewegt.\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x10\x0EE006_エル\nBitte, hör auf damit, Nil.\x0E\x04\x02\x00
MID_OP2_#010	Es gibt keinen Grund für dich, hier nach Macht\nzu streben. Du kannst nicht über eine leere\nWelt herrschen.\x0E\x04\x02\x00
MID_OP2_#011	Du und ich sind die Einzigen, die noch übrig\nsind.\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x14\x12E005_Boss\nMacht ist der Zweck.\x0E\x04\x02\x00
MID_OP2_#013	Diese Welt bedeutet mir nichts. Wenn sie\nzerstört werden muss, damit ich meine Ziele\nerreiche, dann soll es so sein.\x0E\x04\x02\x00
MID_OP2_#014	Aber das wirst du nicht verstehen. Du weißt\nnichts über Schwäche. Über Demütigung.\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02\x10\x0EE006_エル\nDas alles ist nun Vergangenheit. Deine Freunde\nlieben dich.\x0E\x04\x02\x00
MID_OP2_#016	Denk doch nur an die Zeit auf Schloss Lythos.\nWir waren alle zusammen, als eine Familie.\x0E\x04\x00\x00
MID_OP2_#017	\x0E\x03\x02\x14\x12E005_Boss\nAn diese Zeit der Lügen zu denken, erfüllt mich\nmit nichts als Verbitterung.\x0E\x04\x00\x00
MID_OP2_#018	\x0E\x03\x02\x10\x0EE006_エル\nDas meinst du nicht so.\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x02\x14\x12E005_Boss\nWie belustigend es ist, wenn du sagst, wir seien\neine Familie gewesen. Die Ironie ist so köstlich,\ndass ich es dir einfach sagen muss.\x0E\x04\x02\x00
MID_OP2_#020	Ich bin nicht dein Zwillingsbruder.\x0E\x04\x00\x00
MID_OP2_#021	\x0E\x03\x02\x10\x0EE006_エル\n...\x0E\x04\x00\x00
MID_OP2_#022	\x0E\x03\x02\x14\x12E005_Boss\nIch nahm den Platz von Klein-Nil ein, als er und\nich noch Kinder waren.\x0E\x04\x02\x00
