MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0A\x08リュール\nHallo, Nel. Wie geht es dir? Kannst du dich\ngut wieder einleben?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04エル\nIch hatte keine Schwierigkeiten. Und ich fühle\nmich genau wie vor meinem Schlaf.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nDas ist gut zu hören. Trotzdem hoffe ich, dass\ndu zu mir kommst, sobald du irgendetwas\nbrauchst.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04エル\nVor unserer Ankunft hat Rafal mich über die\nUmstände informiert, die zu meinem Erwachen\ngeführt haben.\x0E\x04\x02\x00
MID_RELIANCE_C_#005	Ihr hattet einen Plan, wie ich geweckt werden\nkönnte, doch wart Ihr Euch des Erfolgs nicht\nsicher.\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Und dennoch fragtet Ihr Euch, ob ich kommen\nwürde, als ob Ihr diesen Erfolg voraussetzen\nwürdet. Warum?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nDu hast recht. Sicher konnte ich mir nicht sein.\nIch habe wohl einfach daran geglaubt.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04エル\nErklärt Euch.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nIch habe entschieden, den Glauben an unser\nWiedersehen zu behalten, Nel. Egal, wie lange\nes dauern möge.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04エル\nIch verstehe.\x0E\x04\x02\x00
MID_RELIANCE_C_#011	Ihr seid in der Tat sehr tugendhaft, \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin.\x0E\x04\x02\x00
MID_RELIANCE_C_#012	Ich hoffe nur, dass Euch diese Einstellung\nnicht dazu verleitet, anderen unverdientes\nVertrauen entgegenzubringen. Auf bald.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nHm, ich sollte inzwischen an diese Predigten\ngewöhnt sein.\x0E\x04\x02\x00
MID_RELIANCE_C_#014	Auf jeden Fall ist es gut, sie so munter zu sehen.\x0E\x04\x02\x00
MID_RELIANCE_C_#015	Bleib, wie du bist, Nel.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x06\x04エル\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin! Auf ein Wort, bevor Ihr Euch\nzurückzieht.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nOje. Was habe ich jetzt wieder falsch gemacht?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04エル\nSo typisch für Euch, dass Ihr nicht mal das\nwisst.\x0E\x04\x02\x00
MID_RELIANCE_B_#004	In der letzten Schlacht habt Ihr versucht, mich\nvor Schaden zu bewahren. Ich weiß den\nVersuch zu schätzen.\x0E\x04\x02\x00
MID_RELIANCE_B_#005	Dabei habt Ihr Euch jedoch eine Verletzung\nzugezogen.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nDu hast es also gemerkt. Ich habe einen Treffer\nabbekommen, aber er war nicht schwer.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04エル\nAuch eine nur oberflächliche Wunde kann\nschmerzen. Lasst sie mich versorgen.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\nOh, danke.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04エル\n\x0E\x0A\x00FEine gewisse andere Wyrmgöttin, dieDEin gewisser anderer Wyrmgott, den ich kannte,\nging auch so sorglos mit Verletzungen um.\x0E\x04\x02\x00
MID_RELIANCE_B_#010	Und voller Mitgefühl war \x0E\x0A\x00\x0E\x06sie\x04er auch noch. Stets\nmehr auf das Wohlbefinden anderer bedacht\nals auf das eigene.\x0E\x04\x02\x00
MID_RELIANCE_B_#011	Als unersetzliche zentrale Figur unserer Armee\nmüsst Ihr mehr auf Euren eigenen Zustand\nachten.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nSchon verstanden. Tut mir leid. Ich werde\nvorsichtiger sein.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x06\x04エル\nDie Worte eines solchen Schwurs sind leicht\ndahingesagt. Ihn mittels Handlungen zu erfüllen\nist der schwere Teil.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nTs, ts, ts. Du lässt aber auch nie locker, oder?\x0E\x04\x02\x00
MID_RELIANCE_B_#015	Das wollte ich dich übrigens die ganze Zeit\nschon fragen, Nel.\x0E\x04\x02\x00
MID_RELIANCE_B_#016	Wie ähnlich bin ich \x0E\x0A\x008\x1Cder Wyrmgöttin\x18dem Wyrmgott deiner Welt\neigentlich?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04エル\nWoher das plötzliche Interesse?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nIch frage mich das schon eine ganze Weile.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Als du mir in deiner Welt das Leben gerettet\nhast, sagtest du, du könntest es nicht ertragen,\nmich zu verlieren.\x0E\x04\x02\x00
MID_RELIANCE_B_#020	Heißt das... ich bin für dich...\x0E\x04\x02\x00
MID_RELIANCE_B_#021	Wenn du mich anblickst, siehst du dann\n\x0E\x0A\x00L&die Wyrmgöttin, die"den Wyrmgott, den du früher kanntest?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x06\x04エル\nDie Wunde ist sauber. Und sie verheilt gut.\x0E\x04\x02\x00
MID_RELIANCE_B_#023	Ruht Euch jetzt den Rest des Tages aus.\nAuf bald.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08リュール\nDanke, Nel, das werde ich. Gute Nacht.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x06\x04エル\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin. Ich bin froh, zu sehen, dass Ihr\ndie Gelegenheit zum Ausruhen nutzt.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nIch hatte etwas Zeit übrig und habe\nbeschlossen, deinem Rat zu folgen\nund mich zu entspannen.\x0E\x04\x02\x00
MID_RELIANCE_A_#003	Ich wünschte nur, dass ich diesen Luxus die\nganze Zeit haben könnte.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04エル\nSich so entspannen zu können, dass man jeden\nMoment einschlafen könnte... Das ist\nGlückseligkeit.\x0E\x04\x02\x00
MID_RELIANCE_A_#005	Viele wissen sie nicht zu schätzen, solange sie\nsie verspüren. Und Ihr arbeitet unermüdlich\ndaran, sie anderen zu ermöglichen.\x0E\x04\x02\x00
MID_RELIANCE_A_#006	Damit verdient Ihr Euch meinen Respekt.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nRespekt? Also gut: Wo ist Nel, und was hast\ndu ihr angetan?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04エル\nSchaut nicht so schockiert. Es ist wahr und\nsollte Euch nicht überraschen.\x0E\x04\x02\x00
MID_RELIANCE_A_#009	Vielleicht habe ich es besser verborgen als\ngedacht.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nVielleicht ein kleines bisschen.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x06\x04エル\nIch denke, ich habe eine Antwort auf Eure\nneulich gestellte Frage.\x0E\x04\x02\x00
MID_RELIANCE_A_#012	Tatsächlich kenne ich die Antwort schon länger.\nIch war nur nicht in der Lage, sie in Worte zu\nkleiden.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nKeine Sorge. Ich verstehe.\x0E\x04\x02\x00
MID_RELIANCE_A_#014	Aber wenn du eine Antwort hast, würde ich sie\ngerne hören.\x0E\x04\x02\x00
MID_RELIANCE_A_#015	Betrachtest du mich als \x0E\x0A\x00L&die Wyrmgöttin, die"den Wyrmgott, den du\nfrüher kanntest?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x06\x04エル\nNein. Ihr tragt den gleichen Namen und habt\nähnliche Augen. Aber dennoch seid Ihr anders\nund einzigartig.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Wenn ich neben Euch stehe, ob im Kampf oder\nnicht, sehe ich hier und jetzt nur \x0E\x0A\x00\x1A\x0Cdiesen\ndiese\n\x0E\x06\x03\x00.\x0E\x04\x02\x00
MID_RELIANCE_A_#018	Euch will ich beschützen. Und Eure Feinde will\nich besiegen.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nIch bin erleichtert, das zu hören. Vielen Dank.\x0E\x04\x02\x00
MID_RELIANCE_A_#020	Diese Hingabe basiert auf Gegenseitigkeit,\nweißt du? Ich will dich auch beschützen.\x0E\x04\x02\x00
MID_RELIANCE_A_#021	Ich will dich nicht noch einmal verlieren.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04エル\nDiese Worte zu hören ist... kompliziert für mich,\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin.\x0E\x04\x02\x00
MID_RELIANCE_A_#023	Dennoch dürft Ihr diese Worte als in mein Herz\ngraviert betrachten.\x0E\x04\x02\x00
MID_RELIANCE_A_#024	Kämpfen wir gemeinsam, um zu bewahren,\nwas uns beiden lieb und teuer geworden ist.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x06\x04エル\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin. Bevor Ihr in den Kampf zieht, lasst\nmich bitte bei Euren Vorbereitungen helfen.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nDas weiß ich zu schätzen, Nel.\x0E\x04\x02\x00
MID_RELIANCE_S_#003	Ich bin schon fertig, aber es wäre gut, wenn du\nnach den anderen sehen könntest.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x06\x04エル\nIch verstehe.\x0E\x04\x02\x00
MID_RELIANCE_S_#005	...\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nWas ist los?\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x06\x04エル\nIch bitte um Verzeihung. Mein Angebot der Hilfe\nwar nur eine Ausrede, um in Eurer Nähe sein\nzu können.\x0E\x04\x02\x00
MID_RELIANCE_S_#008	Ich bin besorgt.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nRede mit mir. Vielleicht kann ich helfen.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x06\x04エル\nNicht nur habt Ihr Schlacht um Schlacht\nüberstehen müssen, sondern nun auch noch\nden Tod selbst.\x0E\x04\x02\x00
MID_RELIANCE_S_#011	Dieser Krieg fordert sicherlich seinen Preis von\nKörper und Geist. Sagt mir, wie fühlt Ihr Euch?\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nAlles in Ordnung. Wirklich.\x0E\x04\x02\x00
MID_RELIANCE_S_#013	Ich bin müde, wie zu erwarten, aber das hält\nmich nicht übermäßig auf.\x0E\x04\x02\x00
MID_RELIANCE_S_#014	Wenn überhaupt, fühle ich mich stärker als je\nzuvor.\x0E\x04\x02\x00
MID_RELIANCE_S_#015	Nicht nur, weil ich das dreizehnte Emblem bin.\nNein, das habe ich meinen Freunden zu\nverdanken – besonders dir.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x06\x04エル\nWüsste ich es nicht besser, würde ich Eure\nerstaunliche Stärke Eurem Wyrmgottblut\nzuschreiben.\x0E\x04\x02\x00
MID_RELIANCE_S_#017	Stellt Euch meine Überraschung vor, als ich\nerfuhr, dass Ihr tatsächlich ein Kind des\nDämonendrachen seid.\x0E\x04\x02\x00
MID_RELIANCE_S_#018	Auch wenn wir nicht verwandt sein mögen,\nteilen wir doch ein gewisses Erbe.\nUnd darüber bin ich froh.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nDas von dir zu hören schmeichelt mir.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x06\x04エル\nMeine Absicht ist es, so lange wie möglich an\nEurer Seite zu bleiben. Auch, nachdem die\nKämpfe ihr Ende gefunden haben.\x0E\x04\x02\x00
MID_RELIANCE_S_#021	Ich wünsche, Eure Gefährtin zu bleiben und\nZeugin der Welt des Friedens zu werden,\nwelche Ihr erschafft.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nEs gibt niemanden, den ich dafür lieber an\nmeiner Seite hätte. Ich kann mir mein Leben\nohne dich nicht vorstellen, Nel.\x0E\x04\x02\x00
MID_RELIANCE_S_#023	Deswegen möchte ich dir dies geben.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x06\x04エル\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin, ist das etwa...\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nDer Paktring. Ein Symbol unserer gemeinsamen\nZukunft. Nimmst du ihn an?\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x06\x04エル\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nHättest du mir gesagt, dass du mich noch\nimmer als die Person ansiehst, die du einst\nkanntest, würde ich nicht so empfinden.\x0E\x04\x02\x00
MID_RELIANCE_S_#028	Doch stattdessen sagtest du mir, dass du nur\nmich siehst, die Version im Hier und Jetzt.\x0E\x04\x02\x00
MID_RELIANCE_S_#029	Ich werde \x0E\x0A\x00L&die Wyrmgöttin, die"den Wyrmgott, den du kanntest,\nniemals ersetzen können.\x0E\x04\x02\x00
MID_RELIANCE_S_#030	Doch als ich selbst kann ich dich ebenso sehr\nlieben. Und ich hoffe, du fühlst das Gleiche.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x06\x04エル\nDas tue ich, \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin. Und Eure Worte\nbewegen mich in meinem Innersten.\x0E\x04\x02\x00
MID_RELIANCE_S_#032	Vergebt mir – Tränen sind wirklich nicht\nangebracht. Doch wie Ihr sehen könnt,\nverbirgt sich darunter ein Lächeln.\x0E\x04\x02\x00
MID_RELIANCE_S_#033	Und ich nehme diesen Ring mit Freuden an.\x0E\x04\x00\x00
MID_RELIANCE_S_#034	\x0E\x03\x02\x0A\x08リュール\nIch kann gar nicht sagen, wie glücklich mich\ndas macht.\x0E\x04\x00\x00
MID_RELIANCE_S_#035	\x0E\x03\x02\x06\x04エル\nDa nun der Pakt besiegelt ist, gestattet mir,\nmeine Gefühle für Euch ohne Zurückhaltung\ndarzulegen.\x0E\x04\x00\x00
MID_RELIANCE_S_#036	\x0E\x03\x02\x06\x04エル\nMeine Zuneigung zu Euch wächst von Tag zu\nTag mehr. Ich liebe Euch, \x0E\x06\x03\x00.\x0E\x04\x00\x00
