MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nHallo, Rosado. Ich würde dich gerne etwas\nfragen, falls du einen Moment erübrigen kannst.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ロサード\nLass mich raten. Du willst hinter mein\nGeheimnis kommen. Was macht mich bloß so\nniedlich?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ロサード\nTut mir leid, aber ich habe selbst keine Antwort\ndarauf. Ich war immer schon so. Ich denke, es\nist einfach mein Schicksal.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ジェーデ\nNein. Das ist nicht die Art Frage, die ich dir\nstellen wollte.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ロサード\nOch.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ジェーデ\nDu scheinst über geradezu grenzenlose Energie\nzu verfügen. Es heißt, selbst wenn du nachts\nwach bleibst, bist du am nächsten Tag munter.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ロサード\nOh, das stimmt. Es macht mir tatsächlich nichts\naus, wenn ich mal die ganze Nacht aufbleibe.\nEinen Tag später bin ich in Form wie eh und je!\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ジェーデ\nAch, ich beneide dich dafür. Ich wünschte, das\nwürde mir ebenso leichtfallen.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ジェーデ\nWenn ich die ganze Nacht durcharbeiten könnte,\nwäre ich in der Lage, so viel mehr zu Papier zu\nbringen.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ジェーデ\nKannst du mir vielleicht irgendwelche\nRatschläge diesbezüglich geben?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ロサード\nWeißt du... Eigentlich habe ich nie groß darüber\nnachgedacht, wie ich das anstelle.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ロサード\nBestimmt gibt mir meine Niedlichkeit die nötige\nKraft zum Durchmachen! Ich wette, du könntest\ndas auch.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ジェーデ\nDu meinst, deine ganze Energie entspringt aus\ndeiner niedlichen Art?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ジェーデ\nWie merkwürdig... Aber ich schätze, dann sollte\nich es auch mal damit versuchen.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ジェーデ\nIch habe nur noch nie zuvor probiert, niedlich\nzu sein. Vielleicht kannst du mich als Experte\nauf dem Gebiet in die richtige Richtung weisen?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ロサード\nJade... da bist du bei mir an der richtigen\nAdresse. Entfachen wir das Feuer deiner\nverborgenen Niedlichkeit!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08ロサード\nBist du bereit, Jade? Heute befreien wir deine\nbeste Seite.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ジェーデ\nBefreien? Ich glaube nicht, dass ich irgendeinen\nTeil von mir selbst aktiv zurückhalte. Ich weiß\nbloß nicht, was ich genau tun soll.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ロサード\nTu, was für dich natürlich ist. Wirf dich in Pose,\nsag was Bestimmtes... Es gibt keine falschen\nAntworten. Sei einfach du selbst!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ジェーデ\nHm. Na gut.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ジェーデ\nTihihi.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ロサード\nPerfekt! Genau so! Das ist wunderschön!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ジェーデ\nWirklich? Das hat genügt?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ロサード\nWirklich! Als Nächstes stell dich einfach vor.\nSag mir, wer du bist.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ジェーデ\nTralalaaa. Ich biiin's, Jaaade, tihi.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ロサード\nJade! Du bist ein Naturtalent. Niedlich bis zum\nGehtnichtmehr! Und das sag ich nicht zu jedem,\ndas kannst du mir glauben.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ジェーデ\nHahaha.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ロサード\nAlles in Ordnung? Stimmt etwas nicht?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ジェーデ\nMir geht es gut. Ich habe bloß gelacht.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ジェーデ\nDiese Strategie wird mir nie im Leben auch nur\nansatzweise dabei behilflich sein, die Nacht\ndurchzuarbeiten. Das Ganze ist völlig lächerlich.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ロサード\nHahaha! Nun, das ist schade. Das heißt, hier\nendet der Weg zur Niedlichkeit für dich?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ジェーデ\nIch denke nicht. Ich amüsiere mich durchaus.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ジェーデ\nIch will sehen, wie weit ich damit gehen kann.\nEs ist zumindest eine gute Inspiration für neue\nkomische Ideen.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ロサード\nJa! Ich werde dich Schritt für Schritt begleiten!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nHey, rosiger Rosado. Wie läuft's denn heute,\ntihihi?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ロサード\nJade, du bist unglaublich! Jede neue deiner\nBegrüßungen ist niedlicher als die letzte!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nIch muss gestehen, das macht ein wenig\nsüchtig. Es ist lustig, sich ohne Vorwarnung so\nanders zu verhalten.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ロサード\nWas für ein wunderbares Monster ich auf die\nWelt losgelassen habe... Nun, das freut mich für\ndich, dass es dir Spaß macht!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ジェーデ\nDanke. Es ist irgendwie befreiend, sich mal zu\nentspannen und so albern zu benehmen, auch\nwenn es überhaupt nicht zu mir passt.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ロサード\nDas ist wohl wahr. Dein Gesicht ähnelt ja eher\neiner Marmorskulptur. Es ist nobel, majestätisch\nund auf wunderschöne Weise mysteriös.\x0E\x04\x00\x00
