MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x08\x06メリン\nAlles klar. Zeit für unsere tägliche\nGesangsprobe.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06メリン\nHeute beginnen wir mit der Übung der neuesten\nKomposition der Prinzessin: „Drei Frau hoch“.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06メリン\nBis zu unserer nächsten Probe mit ihr muss das\nStück absolut aufführungsreif sein.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パネトネ\nAufführungsreif, sagst du...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06メリン\nÄhm, ja. Stimmt was nicht? Du wirkst bedrückt.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08パネトネ\nBin ich auch. Ich habe etwas mit angehört, das\nmich sehr stört.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06メリン\nOh-oh. Was war es denn?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パネトネ\nJemand hat uns die Solmer Lärmtröten genannt.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06メリン\nOh.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06メリン\nDer „Lärm“ bezieht sich auf unsere\nGesangsstimmen, vermute ich mal?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08パネトネ\nJa, so hatte ich es auch verstanden.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06メリン\nAutsch.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06メリン\nNun, in meiner Jugend hat man mir mehr als ein\nMal vorgehalten, ich sei eine schreckliche\nSängerin.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06メリン\nDoch die Prinzessin meinte, meine Stimme sei\neinzigartig, daher... dachte ich, ich hätte mich\nverbessert.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パネトネ\nSo war es auch bei mir – absolut identisch.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06メリン\nArgh. Es sieht plötzlich so aus, als läge unsere\nArbeit ganz klar vor uns.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08パネトネ\nSollten wir eventuell unseren Gesang ein\nwenig... dämpfen?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06メリン\nDas klingt nach einer guten Idee.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08パネトネ\nBeginnen wir umgehend. Und eins, und zwei,\nund eins, zwei, drei, vier...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x08\x06メリン\nHey. Was sagt die Gerüchteküche?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08パネトネ\nDie was?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06メリン\nDu weißt schon. Unsere Gesangsprobe neulich.\nGab es darüber irgendwelche Beschwerden?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08パネトネ\nAh, keine Sorge. Kein despektierliches Wort\ndarüber drang an meine Ohren.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06メリン\nUff. Ich hatte mir schon Sorgen gemacht.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06メリン\nWarte.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06メリン\nNein. Das ist ganz falsch!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08パネトネ\nWas magst du nur meinen?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06メリン\nLeiser singen, nur damit man uns keine\nSchimpfnamen gibt? Das können wir doch\nsicher besser!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06メリン\nEs führt kein Weg daran vorbei. Wir müssen\neinfach besser singen.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08パネトネ\nJa... Das ist korrekt.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08パネトネ\nUnsere Stimmen in Scham zu dämpfen...\nWelch Fleck auf dem guten Namen Timerra!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08パネトネ\nWüsste die Chefin davon, stiegen ihr gewiss\nTränen der Peinlichkeit in die Augen.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06メリン\nNein, nein. Ich könnte nicht damit leben, wenn\nich die Prinzessin zum Weinen brächte.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08パネトネ\nIch ebenso wenig!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08パネトネ\nBleibt die Frage, wie genau wir uns verbessern\nsollen. Hm...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06メリン\nVielleicht sollten wir die Prinzessin um Rat\nfragen.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08パネトネ\nDenkst du wirklich?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06メリン\nDoch dieses Mal bitten wir um ehrliche\nRückmeldung. Nicht wieder diesen\n„Einzigartig!“-Wolfsmist.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08パネトネ\nWelch vortreffliche Idee. Lass uns sogleich\nnach der unverblümten, schonungslosen\nWahrheit streben.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x08\x06メリン\nDie Ratschläge der Prinzessin hinsichtlich\nunseres Gesangs erwiesen sich als, nun ja,\nherausfordernd.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08パネトネ\nIn der Tat.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06メリン\n„Merrin, sammle all dein Wumms und\nhalte es unter deinem Bauchnabel.“\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08パネトネ\nRätselhaft. Was ist „Wumms“, und wie soll man\nes „halten“?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06メリン\nDas Lustige ist, dass ich es schon irgendwie\nverstehe.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06メリン\nWenn ich mich auf die Stelle unterhalb meines\nNabels konzentriere, wird meine Gesangsstimme\ntatsächlich fester.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08パネトネ\nObwohl Miladys Rat gar nebelhaft erschien,\nbist du ihm doch gut gefolgt. Beglückwün-\nschenswert.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06メリン\nHahaha, danke, Panette. Und sag mir, was hat\ndie Prinzessin dir geraten?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08パネトネ\nSie sagte „Du bist bei WA-WA-WA. Ich brauche\ndich aber bei dii-dii-dii“.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08パネトネ\nMir war ganz schwindlig vor Verwirrung.\nSchwindlig, sage ich!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08パネトネ\nDoch als ich ihren Rat in die Tat umsetzen\nwollte, geschah etwas Erstaunliches.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08パネトネ\nEs hat funktioniert!\x0E\x04\x00\x00
