MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x06\x04エル\nWie nostalgisch, wieder mit dir sprechen zu\nkönnen. Es ist lange her.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x08\x06クロム\nJa, es ist viel Zeit vergangen seit Schloss\nLythos, nicht wahr? Ich bin froh, wieder bei\nEuch zu sein.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nIch erinnere mich, wie ruhig und sicher ich mich\nfühlte, als Ihr mich in Schlaf versetzt habt.\nVerfügt Ihr immer noch über diese Kraft?\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nIn dieser Welt leider nicht. Aber ich kann dir ein\nSchlaflied singen, wenn du magst.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ルフレ\x022\n\x0E\x03\x00\x0C\x06クロム\x023\n\x0E\x03\x02\x06\x04エル\nDu kommst selten auf mich zu, Daraen.\nÜblicherweise bist du zu sehr in deine\nStudien vertieft.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x08\x06ルフレ\nIch hatte gehofft, Ihr könntet mir ein Schlaflied\nsingen. Chrom meinte, das hättet Ihr auch für\nihn getan.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x08\x06クロム\nDas war der beste Schlaf, den ich je hatte.\nMit Eurer Hilfe werden wir für den nächsten\nKampf mehr als frisch und munter sein.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nHihihi. Nun gut. Aber nicht verschlafen. Wenn\nich euch rufe, will ich nicht, dass ihr übermüdet\nseid.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nラファール\nAlso bist auch du in diese Welt gekommen. Ich\nschulde dir eine Entschuldigung für die Kämpfe,\ndie ich dich zu führen zwang.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x08\x06クロム\nDas ist nicht notwendig. Wir fangen noch mal\nganz von vorne an. Ich freue mich auf unsere\nZusammenarbeit.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nIhr klingt... anders. Vielleicht sollte ich auch\neinen etwas autoritäreren Ton anschlagen.\x0E\x04\x00\x00
