MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nAmber. Ich möchte mit dir... sprechen.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アンバー\nDu? Der Getreue der Kronprinzessin? Von\nElusia? Du möchtest mit MIR sprechen?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08アンバー\nIch kann dir schon jetzt sagen, dass ich nicht\nder Richtige bin, wenn du an Informationen\nüber Brodia gelangen willst.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nNein, nein. Es handelt sich nicht um eine...\npolitische... Sache.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nEs ist viel... persönlicher... als das.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アンバー\nOh nein. Was hast du mit mir vor? Willst du\nkämpfen? Ich habe dir doch nichts getan!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nIch benötige die... Wolle... eines Alpakas.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アンバー\nBitte?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nGenauer gesagt benötige ich die Wolle, die es\nin einem ganz... bestimmten... Alpaka-Weiler\ngibt.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nIch bin zu der Annahme gekommen, dass du\nmit diesem Ort... vertraut... seist.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nDu dürftest daher wissen, dass die... Wolle...\nvon dort feiner ist als jede andere.\x0E\x04\x00\x00
