MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nDu bist durch die ganze Welt gereist – für\nFremde? Du bist seltsam.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04エル\nIhr seid scharfzüngig wie immer, Emblem Soren.\nIch bin wegen \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin hier.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x06\x04エル\nIch war anscheinend schon wieder gemein\n\x0E\x0A\x00\x10\x06zum\x06zur \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin, obwohl ich mich so bemüht\nhabe, dass mir das nicht mehr passiert.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nWie schaffst du es, stets denselben Fehler zu\nmachen?\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nWenn du \x0E\x0A\x00\x10\x06dem\x06der \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin jemals nahestehen\nwillst, sei vorsichtiger in deiner Wortwahl.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04エル\nIch weiß, dass ich das sein muss. Und trotzdem\nversage ich jedes Mal dabei.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x06\x04エル\nIch vermute, Ihr versteht nicht, wie es ist,\nwenn die Worte, die man ausspricht, nicht mit\ndem übereinstimmen, was man beabsichtigt.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nNein, tue ich nicht. Aber wenn du meine\nMeinung hören willst, solltest du ehrlich und\ndirekt deine Gefühle mitteilen.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nラファール\nIch dachte, Nel und ich hätten all dies längst\nhinter uns gelassen. Doch nun sind wir hier.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nIn der Tat. Ich bin sicher, eure Anwesenheit\nwird auch weiterhin zu besseren Ergebnissen\ndieser Armee führen.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nラファール\nDu bist immer allein. Ich vermute, das liegt\nan deinem brüsken Auftreten.\x0E\x04\x00\x00
