MID_Hub_ThisTime	Akt. Zeit
MID_Hub_Time_Morning	\x0E\x08\x02\x10\x0EMorningMorgen
MID_Hub_Time_Noon	\x0E\x08\x02\x08\x06DayNachmittag
MID_Hub_Time_Evening	\x0E\x08\x02\x10\x0EEveningAbend
MID_Hub_Time_Night	\x0E\x08\x02\x0C\nNightNacht
MID_Hub_Move	Reisen
MID_Hub_Enter	Betreten
MID_Hub_Talk	Reden
MID_Hub_Check	Ansehen
MID_Hub_Ring_Cleaning_Brush	Polieren
MID_Hub_Ring_Cleaning_BrushStrong	Stark polieren
MID_Hub_Ring_Cleaning_Stop	Beenden
MID_Hub_Unknown	???
MID_Hub_WeaponShop	Arsenal
MID_Hub_ItemShop	Laden
MID_Hub_Blacksmith	Schmiede
MID_Hub_AccessoryShop	Boutique
MID_Hub_Mascot	Mysteriöser Altar
MID_Hub_Mascot_After	Altar von \x0E\x06\x05\x00
MID_Hub_FortuneStore	Wahrsager
MID_Hub_FreeMarket	Flohmarkt
MID_Hub_Photoshop	Ruhmeshalle
MID_Hub_amiibo	amiibo-Pavillon
MID_H_Hub_amiibo	Wähle eine Aktion.
MID_Hub_amiibo_Read	Einlesen
MID_Hub_amiibo_Accessory_Trade	Kostüme
MID_Hub_amiibo_Music_Trade	Musik
MID_Hub_Animal	Stall
MID_Hub_Here_Unit	Personen
MID_Hub_Area_List	Orte
MID_Hub_Area_News	Benachrichtigungen
MID_Hub_Area_News_Nothing	Keine Benachrichtigungen.
MID_Hub_Area_Open	NEU
MID_Hub_Area_NewItem	Neue Ware
MID_Hub_Area_NewSystem	Neue Funktion
MID_Hub_Area_NewLevel	Neue Schwierigkeit
MID_Hub_Area_Count	Noch \x0E\x01\x00\x00
MID_Hub_Area_NewStage	Neue Karte
MID_Hub_Next	Aufbrechen
MID_Hub_Next_Move	Reisen
MID_Hub_Next_Confirm	Diese Gegend verlassen?
MID_Hub_Next_Confirm_Where	Wohin?
MID_Hub_Next_Confirm_Solanel	Somniel
MID_Hub_Next_Confirm_Gmap	Weltkarte
MID_Hub_Next_Go	Nächstes Kapitel
MID_Hub_Confirm_Cancel	Hierbleiben
MID_Hub_Gmap	Weltkarte
MID_Hub_Gmap_Confirm	Zur Weltkarte?
MID_Hub_M026	Z. letzt. Kampf
MID_Hub_Solanel	Somniel
MID_Hub_OtherWorld_Confirm	Durch das Portal in eine andere Welt gehen?
MID_Hub_OtherWorld_Go	Los
MID_Hub_MyRoom	Mein Zimmer
MID_H_Hub_MyRoom	Opulentes Schlafgemach \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin. Hier kannst du in Erinnerungen\nschwelgen oder eine kurze Pause machen.
MID_Hub_GodRoom	Ringkammer
MID_H_Hub_GodRoom	Ruheplatz der gesammelten Emblem-Ringe. Hier kannst du Fähigkeiten\nvon Emblemen erben oder Ringe des Bandes erstellen.
MID_Hub_Cafe	Café
MID_H_Hub_Cafe	Ein entspannender Gemeinschaftsort inklusive Kantine.\nBestelle beim Koch des Tages und speise mit Freunden.
MID_Hub_Arena	Arena
MID_H_Hub_Arena	Ein außerdimensionaler Trainingsort. Fordere Verbündete\nund Embleme zum Trainingskampf heraus und gewinne Erfahrung.
MID_Hub_Arena_Closed	Noch nicht freigeschaltet.
MID_Hub_Tower	Turm der Prüfungen
MID_H_Hub_Tower	Ein kleines Bauwerk auf dem Kap. Darin kannst du dich\nan Prüfungen jenseits von Zeit und Raum versuchen.
MID_Hub_CentralStores	Zentraler Platz
MID_H_Hub_CentralStores	Der zentrale Platz beim Eingang ins Somniel beherbergt\nallerlei Geschäfte.
MID_Hub_Poolside	Schwimmbad
MID_H_Hub_Poolside	Ein elegantes Schwimmbecken, ideal für die\ngemeinsame Entspannung zwischen den Schlachten.
MID_Hub_Orchard	Obstgarten
MID_H_Hub_Orchard	Ein gut gepflegter Bestand an Obstbäumen.\nPflücke Zutaten für die Speisen im Café.
MID_Hub_Pond	Teich
MID_H_Hub_Pond	Ein kleiner Teich, in dem Fische\nund andere Kreaturen leben.
MID_Hub_TrainingSpot	Trainingsplatz
MID_H_Hub_TrainingSpot	Ein abgelegener Garten, in dem Verbündete\nihrem Training oder ihren Hobbys nachgehen.
MID_Hub_Farm	Gehöft
MID_H_Hub_Farm	Hier finden sich eine Weide sowie\nStallungen für Tiere aus ganz Elyos.
MID_Hub_GoodViewSpot	Aussichtspunkt
MID_H_Hub_GoodViewSpot	Eine Anhöhe mit fantastischem Ausblick.\nDer perfekte Ort für einen Moment der Besinnung.
MID_Hub_Cave	Grotte
MID_H_Hub_Cave	Eine uralte Kalksteingrotte im kalten Untergrund des\nSomniel. Darin befindet sich eine Art Altar.
MID_Hub_MyRoom_Chest	Kommode
MID_Hub_H_MyRoom_Chest_Nothing	Das sieht aus wie ein Ort für etwas Besonderes.
MID_Hub_H_MyRoom_Chest_Ring_PickUp	Der Paktring ist darin. Herausnehmen?
MID_Hub_MyRoom_Chest_Ring_PickUp	(Nach dem Ausruhen im Bett siehst du\nvielleicht andere Verbündete im Somniel.\nProbiere es aus, falls du den Verbündeten,\ndem du den Ring geben möchtest,\nnicht findest.)
MID_Hub_H_MyRoom_Chest_Ring_PickUp_Yes	Ring nehmen
MID_Hub_H_MyRoom_Chest_Ring_Return	Den Ring zurücklegen?
MID_Hub_H_MyRoom_Chest_Ring_Return_Yes	Zurücklegen
MID_Hub_MyRoom_Bed	Bett
MID_Hub_MyRoom_Bed_TitleHelp	Wähle eine Aktion.
MID_Hub_MyRoom_MovieChoice	Wähle eine Filmszene, die du ansehen möchtest.
MID_Hub_MyRoom_SoundChoice	Wähle Musik zum Anhören aus.
MID_Hub_MyRoom_SoundChoice_Stopping	Wird abgespielt: –
MID_Hub_MyRoom_SoundChoice_Playing	Wird abgespielt: \x0E\x01\x00\x00
MID_Hub_Bed_Sleep	Ausruhen
MID_Hub_Bed_Sleep_CameHere	Klingt, als käme jemand herein...
MID_Hub_Bed_Sleep_Guide	Etwas ausruhen?\n(Im Somniel wird Zeit vergehen.)
MID_Hub_Bed_Sleep_Yes	Ausruhen
MID_Hub_Bed_Recall	Erinnerungen
MID_Hub_Bed_Recall_Wakeup	Weckdienst
MID_Hub_Bed_Recall_Wakeup_List	Liste
MID_Hub_Bed_Recall_Movie	Filmszenen
MID_Hub_Bed_Recall_MovieList	Filmliste
MID_Hub_Bed_Recall_Music	Musik
MID_Hub_Bed_Difficulty_Change	Schwierigkeit
MID_Hub_Bed_Difficulty_Change_Confirm	Du kannst die Schwierigkeit des Spiels\nnur verringern – du kannst sie nicht\nerhöhen oder die Änderung rückgängig\nmachen. Bist du sicher, dass du die\nSchwierigkeit ändern willst?
MID_Hub_Bed_Difficulty_Change_Before	Aktuelle Schwierigkeit
MID_Hub_Bed_Difficulty_Change_After	Neue Schwierigkeit
MID_Hub_Bed_Difficulty_Change_Yes	Ändern
MID_Hub_Bed_Difficulty_Change_Dialog	Schwierigkeit zu „\x0E\x01\x00\x00“ geändert.
MID_Hub_Bed_Difficulty_Change_NG	Schwierigkeit kann von „Normal“ nicht geändert werden.
MID_Hub_MyRoom_Piano	Klavier
MID_Hub_MyRoom_Piano_Release	Du kannst jetzt das Klavier in deinem Zimmer\nim Somniel verwenden.
MID_Hub_MyRoom_Piano_Confirmation	Du kannst dir die Credits ansehen.
MID_Hub_MyRoom_Piano_Confirmation_Yes	Ansehen
MID_Hub_Talk_Gift	Geschenk
MID_Hub_Talk_PromisedRing	Paktring
MID_Hub_Talk_Fishing	Angeln
MID_Hub_Talk_DragonRide	Wyvernreiten
MID_Hub_Talk_MuscleExercises	Krafttraining
MID_Hub_Talk_Gift_PickUp	Wähle ein Geschenk, das du anbieten möchtest.
MID_Hub_Talk_Gift_Confirmation	\x0E\x01\x00\x00 überreichen?
MID_Hub_Talk_Gift_Yes	Überreichen
MID_Hub_Mascot_Where	Dies scheint eine Art Altar zu sein.
MID_Hub_Mascot_Spot	\x0E\x06\x05\x00
MID_Hub_H_Mascot_Spot	Wähle, wie du dich darum kümmerst.
MID_Hub_Mascot_Name	Wähle einen Namen für das Schutzwesen\ndes Somniel.
MID_Hub_Mascot_Feeding	Füttern
MID_Hub_Mascot_FoodChoice	Wähle etwas zu essen aus.
MID_Hub_Mascot_FoodChoice_Nothing	Nichts vorhanden
MID_Hub_Mascot_Gift_Confirmation	\x0E\x01\x00\x00 überreichen?
MID_Hub_Mascot_Stroking	Streicheln
MID_Hub_Mascot_Accessories	Anziehen
