MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08パンドロ\nStört es, wenn ich mit dir bete?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06モーヴ\nIch kämpfe auf eurer Seite. Doch das heißt\nnicht, dass mein Glaube an die Heiligkeit des\nDämonendrachen ausgelöscht sei.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06モーヴ\nDu bist ein Geistlicher des Wyrmgottglaubens.\nEs wäre für uns unangemessen, gemeinsam zu\nbeten.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08パンドロ\nWir mögen unterschiedlich glauben, doch wir\nsind beide Gläubige. Warum sich über Details\nden Kopf zerbrechen?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06モーヴ\nDiese „Details“ sind genau das, was uns an\nunseren Glauben bindet.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06モーヴ\nEs ist unverantwortlich, dass Ihr Eure Schwüre\nals unwichtige „Details“ abtut.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パンドロ\nVerrat mir was. Wofür hast du eben gerade\ngebetet?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06モーヴ\nWir leben in einer kranken Welt. Es braucht\nGebete für den Frieden.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08パンドロ\nNa, so eine Überraschung. Ich wollte gerade für\ngenau dasselbe beten.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08パンドロ\nDer Inhalt unserer Gebete ist gleich – auch wenn\ndie Götter, an die sie gerichtet sind, es nicht\nsein mögen.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06モーヴ\nHm...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06モーヴ\nIch habe noch nie einen Priester getroffen, der\nso denkt wie du.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パンドロ\nHahaha! Ich auch nicht.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06モーヴ\nNun gut. Du darfst neben mir beten.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08パンドロ\nGut. Komm schon. Wenn wir beide zusammen\nfür den Weltfrieden beten, dann müssen sie uns\neinfach erhören!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nHey, Mauvier. Lange nicht gesehen. Wollen wir\nirgendwo ein Häppchen essen?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06モーヴ\nNein danke.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08パンドロ\nOh, hm, na gut. Hast du andere Pläne?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06モーヴ\nNein.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08パンドロ\nDann komm schon. Du musst doch was essen,\noder? Wir können uns dabei unterhalten.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06モーヴ\nIch habe Wichtigeres mit meiner Zeit zu tun, als\nunsere religiösen Ansichten zu diskutieren.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08パンドロ\nUnd wenn wir stattdessen über unsere Hobbys\nsprechen, oder Kindheitsgeschichten? Eben\nSachen, über die ganz normale Leute reden.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
