MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08リュール\nHallo, Rosado.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ロサード\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche! Habt Ihr schon meine neueste\nZeichnung gesehen?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nDas habe ich. Ein alter Brunnen, tief im Wald...\nEin einzelner Sonnenstrahl erleuchtet eine\neinsam blühende Blume.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nDu hast das perfekte Gleichgewicht von Wärme\nund kalter Einsamkeit, Licht und Dunkelheit\nabgebildet. Einfach atemberaubend.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ロサード\nGanz genau! Ihr habt das gleich erkannt, nicht\nwahr?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ロサード\nIhr würdet kaum glauben, wie lange ich in den\nWäldern herumgelaufen bin, bis ich dieses\nMotiv gefunden hatte!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ロサード\nAber von Euch zu hören, wie Ihr das Bild\nerlebt, macht die ganze Mühe wert.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nSchönes finden, und es dann mit den Freunden\nzu teilen, die es sonst nicht sehen würden...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nDu hast eine wunderbare Freizeitbeschäftigung\ngefunden, Rosado. Ich kann dein nächstes Werk\nkaum erwarten!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ロサード\nOh! Das ist so lieb von Euch!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ロサード\nAber wenn Ihr so hohe Erwartungen an mich\nstellt, dann muss ich einen Gang höher schalten.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ロサード\nHey, vielleicht könntet Ihr mir ja helfen? Es gibt\nda einen Ort, zu dem ich gerne möchte, aber\ner ist schwer zu erreichen.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ロサード\nEs würde wirklich helfen, wenn ich \x0E\x0A\x00\x16\neinen\x08eine\n\x0E\x0A\x00 \x0CFreund\x10Freundin an meiner Seite hätte.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nIch komme liebend gern mit!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ロサード\nKlasse! Vielen Dank!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ロサード\nMöchtet Ihr etwas Wasser?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nDanke...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nPuuuh.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\nWir haben schon eine ordentliche Strecke\nhinter uns. Sind wir bald da?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ロサード\nWenn das Gerücht, das ich im Dorf gehört habe,\nstimmt, dann ja.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nGerücht? Wir sind so lange unterwegs wegen\neines Gerüchts?\x0E\x04\x00\x00
