MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08リュール\nHallo, Claude. Ich habe gehört, dass man dich\nauch den „Meister des Reißbretts“ nannte.\nHast du ein paar Taktikratschläge für mich?\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08クロード\nOha, Ihr fackelt nicht lange, was? Aber gut, legt\nEuer Schwert beiseite. Lasst uns ein wenig\nspazieren gehen und dabei reden.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0A\x08リュール\nEs fällt mir schwer, mich zu entscheiden,\nwelche Waffe wirklich zu mir passt. Wie hast du\ndeine gewählt?\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0C\nディミトリ\nNun, das Heroenrelikt, das in meiner Familie\nvererbt wurde, war eine Lanze. Ich schätze, mir\nwurde die Entscheidung also abgenommen.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x10\x0Eエーデルガルト\nWas gedenkt Ihr zu tun, wenn all das hier\nvorbei ist?\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nHmm... Ich glaube, ich würde gerne in Ruhe die\nganze Welt bereisen... und viel lesen und\nschlafen!\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nEs wäre auch schön, wenn du dabei an meiner\nSeite wärst. Aber zuerst müssten wir der Welt\nZeit geben zu heilen.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x10\x0Eエーデルガルト\nIch will über diese freundliche Einladung nach-\ndenken, während wir uns beeilen, Euch Eure\nwohlverdiente Ruhe zu verschaffen.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nMilady Edelgard, ich wollte erneut meinen\ntiefsten Dank dafür aussprechen, dass Ihr \x0E\x0A\x00\x10\x06dem\x06der\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin Eure Stärke zur Verfügung stellt.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nBitte, es gibt keinen Grund, dermaßen förmlich\nzu sein. Wir sind doch Verbündete, nicht wahr?\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x10\x0Eエーデルガルト\nSir Vander, die Kinder verehren Euch sehr. Ich\nwürde Eure Fähigkeiten nur zu gerne unter\nmeinem Banner wissen.\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nEin äußerst großzügiges Angebot, doch ich\ndiene allein \x0E\x0A\x008\x18dem Wyrmgott\x1Cder Wyrmgöttin, und werde dies\nauch bis an mein Lebensende fortführen.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nMir fiel auf, dass Ihr mich beim Stricken\nbeobachtet habt, Milady Edelgard. Wie fandet\nIhr das Taschentuch?\x0E\x04\x00\x00
