MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nAh, die Brise, der Duft... Es fühlt sich an wie zu\nHause.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08リュール\nZu Hause? Meinst du die Welt, aus der du\nstammst?\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x06\x04リン\nJa. Dieser Ort erinnert mich an die Ebenen von\nSacae. Dort wurde ich geboren.\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x06\x04リン\nAh, ich erinnere mich an ihre Schönheit. Als ich\nnoch klein war, kam es mir vor, als erstreckten\nsich die Ebenen ins Unendliche.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0A\x08リュール\nEs ist wirklich eine wunderschöne Landschaft,\nund der Wind ist so angenehm.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x06\x04リン\nEs freut mich, dass du das sagst, selbst wenn\ndies hier nicht meine wirkliche Heimat ist.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x06\x04リン\nWir wachten bei Sonnenaufgang auf, kümmer-\nten uns um das Vieh, jagten Wild, und schliefen\nbei Sonnenuntergang wieder ein.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x06\x04リン\nSo verlief jeder Tag meines Lebens, während\nich auf den Ebenen aufwuchs. Doch diese Zeit\nwährte nicht ewig.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x0A\x08リュール\nKannst du mir erzählen, was passiert ist?\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x06\x04リン\nMein Volk, der Stamm der Lorca, wurde von\ngrausamen Banditen angegriffen... Sie haben so\nviele von uns getötet.\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x06\x04リン\nDie Banditen waren feige. Sie haben unser\nTrinkwasser vergiftet und dann das Chaos für\nihren Angriff genutzt.\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x0A\x08リュール\nDas ist ja furchtbar.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x06\x04リン\nJa, aber die Ebenen von Sacae sind unser\nMutterland, und sie haben uns stets mit ihrer\nVielfalt gesegnet.\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x06\x04リン\nIch liebe diesen Ort sehr, auch wenn er\nschmerzhafte Erinnerungen wecken mag.\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x06\x04リン\nGenug getrauert. Das Gefühl dieses Ortes ist\naufregend!\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x02\x06\x04リン\nZieh dein Schwert! Ich zeige dir das wahre\nKönnen einer Kriegerin des Stammes der Lorca!\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x0A\x08リュール\nIch kann es kaum erwarten. Aber leicht werde\nich es dir nicht machen.\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x02\x0A\x08リュール\nIch habe schon so viele Widrigkeiten in meinem\nLeben gemeistert. Und weitere stehen mir\nsicherlich noch bevor.\x0E\x04\x00\x00
MID_OP1_#019	\x0E\x03\x02\x06\x04リン\nDoch mit diesem Kampf werden unsere Bande\nnoch fester werden, und meine Kraft wird\nwachsen.\x0E\x04\x00\x00
MID_OP1_#020	\x0E\x03\x02\x06\x04リン\nWas auch immer du also tust, halte dich bloß\nnicht zurück!\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04リン\x02b\n\x0E\x05\x01\x12\x04リン\nRelax\n\x0E\x03\x02\x06\x04リン\nBist du bereit? Dann stürz dich auf mich.\nGib mir alles, was du hast!\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nIch höre die Stimmen feindlicher Truppen aus\ndiesen Zelten. Wir sollten sie angreifen, und zwar\nschnell.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04リン\x02b\n\x0E\x05\x01\x12\x04リン\nRelax\n\x0E\x03\x02\x06\x04リン\nIch werde hier nicht nur herumstehen.\nIch werde ebenfalls angreifen!\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04リン\x02b\n\x0E\x05\x01\x0E\x04リン\x06Die\n\x0E\x03\x02\x06\x04リン\nDiese Ebenen, die grünen Lande, der Wind, sie\nalle haben mich als starke Frau aufwachsen\nlassen. Und was ist mit dir?\x0E\x04\x00\x00
MID_BT1_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x12\x04リン\nRelax\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nIch verbessere mich stetig, und auf unserer\nReise habe ich an Kraft gewonnen.\x0E\x04\x00\x00
MID_BT1_#003	\x0E\x03\x02\x06\x04リン\nSchön zu hören, dass du dich stärker fühlst,\naber ich werde mich trotzdem nicht zurück-\nhalten!\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08アイビー\x02t\n\x0E\x05\x01\x14\x08アイビー\x08Pain\n\x0E\x03\x02\x0A\x08アイビー\nEs fühlt sich seltsam an, gegen Euch zu\nkämpfen. Es erinnert mich an meinen Vater,\nund an alles, was geschehen ist.\x0E\x04\x00\x00
MID_BT2_#002	\x0E\x03\x00\x0A\x04リン\x02b\n\x0E\x05\x01\x12\x04リン\nRelax\n\x0E\x03\x02\x06\x04リン\nSo? Ich freue mich über diesen Kampf. Gegen\neine fähige Person wie Euch anzutreten, ist \nein Vergnügen.\x0E\x04\x00\x00
MID_BT2_#003	\x0E\x05\x01\x12\x08アイビー\x06Sad\n\x0E\x03\x02\x0A\x08アイビー\nWenn nur mein Vater jemals so aufmunternde\nWorte gesprochen hätte. Also gut, beginnen wir.\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x02t\n\x0E\x05\x01\x1A\x0Cオルテンシア\nAngry\n\x0E\x03\x02\x0E\x0Cオルテンシア\nEuch zu sehen lässt mich fast hoffen, meinem\nVater wieder zu begegnen. Zu schade, dass die\nWelt so nicht funktioniert.\x0E\x04\x00\x00
MID_BT3_#002	\x0E\x03\x00\x0A\x04リン\x02b\n\x0E\x05\x01\x14\x04リン\x0CStatus\n\x0E\x03\x02\x06\x04リン\nLeider tauge ich als Ersatz weder für Euren\nVater noch für Eure Erinnerung an ihn.\x0E\x04\x00\x00
MID_BT3_#003	\x0E\x05\x01\x12\x04リン\nSmile\n\x0E\x03\x02\x06\x04リン\nIhr seid jedoch recht stark geworden, wie ich\nsehe. Zeigt mir, wie sehr Ihr gewachsen seid!\x0E\x04\x00\x00
MID_BT3_#004	\x0E\x05\x01\x1E\x0Cオルテンシア\x0EStandBy\n\x0E\x03\x02\x0E\x0Cオルテンシア\nIch bin überragend in Stärke und Charme.\nWäre mein Vater hier, so wäre er beeindruckt\nvon mir!\x0E\x04\x00\x00
