MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x0A\x08リュール\nJean? Bekommst du im Café etwa nicht\ngenug Gemüse?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ジャン\nNö, ich pflück nur grad 'n paar Heilkräuter.\nSeht Ihr?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nHui, du hast ja schon jede Menge gepflückt.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ジャン\nDas hier kann Schmerzen lindern und das\nhier tut man in verschiedene Salben.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06ジャン\nFrüher is' so was überall auf meiner\nHeimatinsel gewachsen, aber in letzter\nZeit findet man dort kaum noch Kräuter.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ジャン\nAlso pflück ich hier welche und schick sie\nheim zu meinem Vater.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nFür die Klinik auf deiner Insel, stimmt's?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nDas sind doch viel zu viele Kräuter, um sie alle\nallein zu ernten. Lass mich dir helfen.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ジャン\nNein, nein, nein, schon in Ordnung! Ihr habt\nbestimmt noch 'ne Menge wichtigere Dinge\nzu tun, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nNicht so viele, dass ich dir nicht helfen könnte.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nAußerdem bist du wegen des Krieges und\ndeinen Studien sicher so sehr beschäftigt,\ndass du kaum mehr Zeit zum Schlafen findest.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ジャン\nHm-hm, war klar, dass ich \x0E\x0A\x00<\x1Cdem Göttlichen\x1Cder Göttlichen\nnix vormachen kann.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nSo sieht's aus. Mir entgeht nichts.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ジャン\nAlso, wenn's Euch wirklich nix ausmacht,\nwürdet Ihr mir damit echt 'nen großen\nGefallen tun. Danke schon mal!\x0E\x04\x00\x00
