MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nHey, du bist Lapis, stimmt's? Ich habe schon\nüberall nach dir gesucht!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06アンナ\nIch habe gehört, dass du aus Dingen, die\nherumliegen, neue hübsche Sachen zaubern\nsollst.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06ラピス\nÄhm, ja. Stimmt.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06アンナ\nJa! Ich rieche den Profit, der auf uns wartet.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06アンナ\nIch bin Lady Anna. Ich bin eine Händlerin,\ndie genauso gut im Holzhauen wie im\nHeraushauen von Profit ist!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ラピス\nOh. Äh, ja. Freut mich, dich kennenzulernen,\nAnna.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06アンナ\nOch, so formell musst du aber gar nicht sein!\nLady Anna reicht.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06アンナ\nEntscheidend ist, Lapis, dass wir zusammen\nein Geschäft aufziehen sollten.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ラピス\nHehe. Ich... bin mir nicht sicher, ob ich dir\nfolgen kann.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06アンナ\nDa ist nichts dabei! Du sorgst für niedliche\nSachen und ich sorge für die Nachfrage.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06アンナ\nBumm! Das wird ein Bombengeschäft. Du\nbist glücklich, ich bin glücklich, die Kunden sind\nglücklich. Gewinn – Gewinn – Gewinn.\x0E\x04\x00\x00
