MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08アンバー\x022
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アンバー\nHnn... Hnn Hnn...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nHm?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08アンバー\nOh, hey, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\nGuten Abend, Amber. Hast du auch gerade\ndiese merkwürdigen Töne gehört? Warst du\ndas?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アンバー\nUnd ob. Ich habe meine alten Alpaka-Freunde\nin meiner Heimat gerufen.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nBitte?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アンバー\nMein Heimatort ist ein kleiner Alpaka-Weiler.\nIch wuchs zusammen mit ihnen auf!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08アンバー\nManchmal packt mich das Heimweh und ich\nvermisse meine fluffigen Freunde auf der Farm.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08アンバー\nIn meinen einsamsten Nächten komme ich\nhierher, blicke in den Sternenhimmel und rufe\nsie.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nOooh, das war also dieser Laut.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アンバー\nDas war der Ruf eines Alpakas! Ich rufe sie\nin ihrer eigenen Sprache.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nIhrer Sprache?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アンバー\nIch weiß, ich weiß. Es klingt verrückt. Von hier\naus werden sie mich wohl kaum hören können.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アンバー\nAber so vertreibe ich die Traurigkeit! Wenn\nich sie rufe, fühlt es sich an, als seien sie direkt\nneben mir.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nIch finde das nicht verrückt. Ich bin mir sicher,\ndass sie deine Gefühle auf irgendeine Weise\nsogar mitbekommen, Amber.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08アンバー\nOh! Danke, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Ihr seid so nett!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08アンバー\x022
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アンバー\nHnn... H-Hnn...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nHallo, Amber. Hast du dich wieder mit den\nAlpakas in deiner Heimat unterhalten?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アンバー\nHey, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche! Aber sicher.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\nDarf ich wohl fragen, was du ihnen gerade\ngesagt hast?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08アンバー\nOh, das war: „Wie geht es euch, Kumpels?“\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nSo wird das gesagt? Ähem, in der Sprache der\nAlpakas?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08アンバー\nAbsolut. Wenn ich sie das auf der Farm gefragt\nhabe, haben sie mir immer sofort geantwortet.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nWirklich?! Das ist ja drollig!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アンバー\nJa! Ist es! Es ist supersüß!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08アンバー\nIch hätte nie gedacht, dass ich eines Tages\naus so weiter Ferne mit ihnen sprechen würde.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アンバー\nUm ehrlich zu sein, mir gefiel mein Heimatort\nnicht so sehr. Mitten im Nirgendwo, meilenweit\nnichts, was einen aus den Socken haut...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アンバー\nIch konnte nur noch daran denken, wie ich dort\nwegkomme. „Eines Tages werde ich diesen Ort\nverlassen und ein Held werden!“\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08アンバー\nNun, da ich ein Getreuer geworden bin, fange\nich an, meine Heimat immer mehr zu vermissen.\nIch fühle mich irgendwie einsam...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08アンバー\nAch, menno. Tut mir leid. Ich wollte nicht\njammern.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nEs ist in Ordnung. Ich bin hier, um dir\nzuzuhören. Wenn du dich einsam fühlst, kann\nich eine Weile bei dir bleiben.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nIch hoffe nur, dass ich genauso unterhaltsam\nbin wie deine Alpaka-Freunde daheim.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08アンバー\nMacht Ihr Witze? Ich würde mich freuen,\nwenn wir uns weiter unterhalten!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アンバー\nIch könnte Euch sogar noch mehr von der\nAlpaka-Sprache zeigen und beibringen, wenn\nIhr das möchtet.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リュール\nKlingt lustig.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08アンバー\x022
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08アンバー\nHnn... H-H-Hnn H-Hnn...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nNicht verraten... Das hieß: „Ich bin traurig\nund würde euch alle gerne wiedersehen.“\nRichtig?\x0E\x04\x00\x00
