MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x1A\x14S002_蛮族_お頭\x021\n\x0E\x03\x00"\x1CS002_蛮族_モンク_中央\x022\n\x0E\x03\x00*$S002_蛮族_アクスアーマー_中央\x023\n\x0E\x03\x02\x16\x14S002_蛮族_お頭\nHmpf. Habt ihr sie immer noch nicht gefunden?\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x1E\x1CS002_蛮族_モンク_中央\nTut mir leid, Boss. Die Diebin war zu schnell für\nuns. Wir haben ihre Spur verloren!\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x16\x14S002_蛮族_お頭\nWIR sind hier die Diebe, ihr Flachpfeifen!\nWir stehlen! Aber wir werden NICHT bestohlen!\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x16\x14S002_蛮族_お頭\nSie kann noch nicht aus der Festung\nentkommen sein. Schnappt sie! Und keine\nAusreden!\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x1E\x1CS002_蛮族_モンク_中央\nJa, Boss!\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02&$S002_蛮族_アクスアーマー_中央\nBoss! Schlechte Nachrichten!\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x16\x14S002_蛮族_お頭\nKommt da etwa wieder eine Ausrede?\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02&$S002_蛮族_アクスアーマー_中央\nDa marschiert ein fies aussehender Trupp direkt\nauf uns zu. Und die sind auch noch bewaffnet!\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x16\x14S002_蛮族_お頭\nDas war wieder SO klar. Kann der Tag\nüberhaupt noch schlimmer werden?\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x16\x14S002_蛮族_お頭\nEgal! Uns hält keiner auf!\nKampftrupps! In Formation und abmarschbereit!\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x16\x14S002_蛮族_お頭\nIch will unsere Diebe in der Schatzkammer\nsehen, und zwar sofort! Sobald wir den Schatz\ngesichert haben, verziehen wir uns.\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x1E\x1CS002_蛮族_モンク_中央\nGeht klar, Boss!\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06アンナ\x02t\n\x0E\x05\x01\x14\x06アンナ\nSmile\n\x0E\x03\x02\x08\x06アンナ\nOooh! Ein ganzer Raum voller Schätze!\nEs wird sicher niemanden stören, wenn ich\nmich hier mal bediene.\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x05\x01\x14\x06アンナ\nAngry\n\x0E\x03\x02\x08\x06アンナ\nHe, sind das Stimmen? Die klingen ja ganz\nschön panisch, wer immer das sein mag.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x00 \x1AS002_蛮族_アーチャー\x02b\n\x0E\x05\x01*\x1AS002_蛮族_アーチャー\x0CStrike\n\x0E\x03\x02\x1C\x1AS002_蛮族_アーチャー\nBewegt eure Hintern und nehmt die Position\nein!\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x08\x06アンナ\nGibt es gleich etwa einen Kampf? Ich sollte\nmich besser irgendwo verstecken!\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06アンナ\x02t\n\x0E\x05\x01\x12\x06アンナ\x08Pain\n\x0E\x03\x02\x08\x06アンナ\nDas hier ist wohl meine beste Option...\x0E\x04\x00\x00
MID_OP4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00*$S002_蛮族_アクスアーマー_中央\x02b\n\x0E\x03\x02&$S002_蛮族_アクスアーマー_中央\nBoah! Ist es zu fassen, wie viel Glück wir heute\nhaben?\x0E\x04\x00\x00
MID_OP4_#002	\x0E\x03\x00"\x1CS002_蛮族_モンク_中央\x02t\n\x0E\x05\x01*\x1CS002_蛮族_モンク_中央\nAngry\n\x0E\x03\x02\x1E\x1CS002_蛮族_モンク_中央\nWeniger schnacken, mehr packen! Schau lieber,\ndass deine Ausrüstung sitzt, bevor es losgeht!\x0E\x04\x00\x00
MID_OP5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06アンナ\x02t\n\x0E\x05\x01\x12\x06アンナ\x08Pain\n\x0E\x03\x02\x08\x06アンナ\nOh-oh. Das sind viel zu viele Banditen für einen\nklammheimlichen Abgang.\x0E\x04\x00\x00
MID_OP6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nHmmm. Die Dorfbewohner haben uns doch was\nüber ein Banditennest erzählt. Ich glaube, wir\nhaben es gefunden.\x0E\x04\x00\x00
MID_OP6_#002	\x0E\x03\x02\x0A\x08リュール\nDie armen Dorfbewohner tun mir leid.\nAll ihre Wertsachen wurden geraubt.\x0E\x04\x00\x00
MID_OP6_#003	\x0E\x03\x02\x0A\x08リュール\nLieb gewonnene Erinnerungen, Familienerb-\nstücke... Sehen wir mal, ob wir sie wieder ihren\neigentlichen Besitzern zuführen können.\x0E\x04\x00\x00
MID_OP6_#004	\x0E\x03\x02\x0A\x08リュール\nWobei es so aussieht, als stünde uns zunächst\nnoch ein Kampf bevor.\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1C\x16S002_蛮族_シーフ\x02b\n\x0E\x05\x01$\x16S002_蛮族_シーフ\nAngry\n\x0E\x03\x02\x18\x16S002_蛮族_シーフ\nHm? Hat sich die Schatztruhe gerade... bewegt?\nDort also hat sich die Diebin versteckt!\x0E\x04\x00\x00
MID_EV1_#002	\x0E\x03\x00\x0C\x06アンナ\x02t\n\x0E\x05\x01\x1A\x06アンナ\x10Surprise\n\x0E\x03\x02\x08\x06アンナ\nAh. Sie haben mich entdeckt!\x0E\x04\x00\x00
MID_EV1_#003	\x0E\x03\x02\x18\x16S002_蛮族_シーフ\nSie lässt sich nicht öffnen. Hey, Diebin.\nLass den Deckel los! Ich will mich nicht so\nanstrengen!\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06アンナ\x02t\n\x0E\x05\x01\x12\x06アンナ\x08Pain\n\x0E\x03\x02\x08\x06アンナ\nMist. Ihr habt mich gefunden.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x03\x03\x0C\x06アンナ\x02b\n\x0E\x05\x01\x14\x06アンナ\nAngry\n\x0E\x03\x02\x08\x06アンナ\nWenn ich es hieraus schaffen will, gibt es\njetzt nur eines! Zeit, meine Fähigkeiten zu\ndemonstrieren!\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nEin Kind war darin eingesperrt? Wir müssen uns\nbeeilen und es vor diesen Banditen retten!\x0E\x04\x00\x00
MID_EV5_#001	\x0E\x03\x01\x08\x06アンナ\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nWas macht denn ein kleines Mädchen hier?\nDas ist eine Banditenfestung. Kinder haben\nhier nichts zu suchen!\x0E\x04\x00\x00
MID_EV5_#002	\x0E\x03\x00\x0C\x06アンナ\x02b\n\x0E\x05\x01\x14\x06アンナ\nSmile\n\x0E\x03\x02\x08\x06アンナ\nAber du bist \x0E\x0A\x006\x16kein Bandit\x1Ckeine Banditin, richtig? Also,\nwarum bringst du mich dann nicht einfach in\nSicherheit, hm?\x0E\x04\x00\x00
MID_EV5_#003	\x0E\x03\x02\x0A\x08リュール\nNun... Ich meine... Ich könnte schon, aber...\x0E\x04\x00\x00
