MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nマデリーン\nPuuuh. Genug trainiert, das sollte für heute\nreichen. Ich bin ganz schön ins Schwitzen\ngeraten.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nDas war eine ordentliche Trainingseinheit. Du\nwirst doch bestimmt müde sein. Diese Welt\nhat dich kein bisschen verändert.\x0E\x04\x02\x00
MID_RELIANCE_C_#003	Wie gefällt es dir hier eigentlich?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nマデリーン\nNun, da ich zu allen ein gutes Verhältnis aufge-\nbaut habe, fühlt dieser Ort sich langsam wie\nein Zuhause an.\x0E\x04\x02\x00
MID_RELIANCE_C_#005	Wie gefällt es dir hier?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nグレゴリー\nMir? Es ist nicht schlecht hier. Aber es war\nschon ein wenig erschreckend, auf einmal all\ndiese neuen Freunde zu haben.\x0E\x04\x02\x00
MID_RELIANCE_C_#007	Ich habe nie viel Zeit mit anderen verbracht,\nwenn man von uns Vier Winden mal absieht.\nAber ich werde mich schon daran gewöhnen.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nマデリーン\nHier herrscht wirklich Trubel. Erinnert mich ein\nbisschen an meine Heimatstadt.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nグレゴリー\nHeimat... Wir reden nie wirklich darüber. Wie\nwar deine Familie so?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nマデリーン\nNun, meine Kindheit war schön. Meine Eltern\nwaren Ritter und immer meine Vorbilder.\x0E\x04\x02\x00
MID_RELIANCE_C_#011	Ich weiß, dass sie mich sehr geliebt haben...\nDeshalb bin ich Ritterin geworden. Um sie stolz\nzu machen.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nグレゴリー\nLiebe, hm... Ich bin fast ein wenig neidisch.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nマデリーン\nWie meinst du das?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nグレゴリー\nNun, mit Eltern aufzuwachsen, die einen lieben,\nklingt wie ein Segen.\x0E\x04\x02\x00
MID_RELIANCE_C_#015	Nicht jeder wächst in Liebe auf. Aber dann\nwiederum ist nicht jeder fähig, zu lieben.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nマデリーン\nHm... Ich habe das Gefühl, dass wir gar nicht\nmehr über mich reden.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nグレゴリー\nOh... tut mir leid... Ich wollte nicht... Äh...\nBeachte mich gar nicht.\x0E\x04\x02\x00
