MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nHYAAA!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nザフィーア\nAlso gut, das war der Zehnte von euch.\nWer ist der Nächste?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x02\x0E\x0Cディアマンド\nSehr beeindruckend, Saphir.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nザフィーア\nPrinz Diamant! Ich habe gar nicht bemerkt,\ndass Ihr zuseht.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nNach unseren Soldaten zu sehen, gehört zu\nmeinen Aufgaben.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nザフィーア\nMacht Euch um mich keine Sorgen. Ich bin in\nausgezeichneter Form, wie gemacht für die\nSchlacht. Jederzeit bereit.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nIch habe genug gesehen, um zu wissen, dass\ndas kein Gerede ist. Ich bin sicher, du wirst\neinfach mit allem fertig.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nWie beispielweise mit einem... unerwarteten\nÜbungskampf. Hast du Zeit für eine schnelle\nRunde?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nザフィーア\nSir, das... könnte ich nicht.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nOh, natürlich kannst du. Erzähl mir nicht,\ndass du das nicht möchtest...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nザフィーア\nIch habe noch einen langen Weg vor mir, bevor\nich daran denken kann, mich mit Euch zu\nmessen.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nザフィーア\nErst wenn ich wahrhaft zufriedengestellt bin...\nwäre es mir eine Ehre, gegen Euch anzutreten.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nHm. Und wann glaubst du, wird das sein?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nザフィーア\nWenn ich meinen Hass endlich überwunden\nhabe.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nWas meinst du damit?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nザフィーア\nDer Krieg mit Elusia war viel zu blutig.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nザフィーア\nIch konnte diesen Fleck in meinen Erinnerungen\nnoch nicht reinwaschen.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nザフィーア\nIch möchte ihn hinter mir lassen, aber... dazu\nmuss ich stärker werden, als ich es momentan\nbin.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nVerstehe. Es tut mir leid, Saphir. Es lag mir fern,\nauf diese Weise schmerzvolle Erinnerungen zu\nwecken.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nザフィーア\nDas muss es nicht. Eure Einladung ist mir eine\ngroße Ehre und ich bedaure es, sie\nablehnen zu müssen.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nSaphir! Hab ich eine Chance, dich zu dem\nÜbungskampf zu überreden, dem du neulich\nausgewichen bist?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nザフィーア\nMeine Einstellung hat sich noch nicht geändert,\nPrinz Diamant. Ich bin noch nicht bereit dafür.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nSelbst wenn du meinst, du seist noch nicht\nbereit, würde ich zu gerne sehen, wo du mit\ndeinen Fähigkeiten stehst.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nザフィーア\nWenn Ihr darauf besteht... Es wäre unhöflich,\nEuch abzuweisen.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nザフィーア\nAber wenn ich gewinne, würdet Ihr mir zuhören,\nda ich Euch etwas sagen möchte?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nWenn du lieber reden möchtest, müssen wir\nnicht kämpfen.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nザフィーア\nIch möchte erst darüber reden, wenn ich\ngewonnen habe. Sonst wäre es in meinen Augen\nnicht richtig.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nInteressant. Also abgemacht.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x04\x03\x04
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nDu hast mich in der Tat geschlagen...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nIch wusste, dass du stark bist, aber ich habe\ndich eindeutig unterschätzt.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nザフィーア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nAlso dann. Abgemacht ist abgemacht. Worüber\nmöchtest du mit mir reden?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nザフィーア\nAch ja... In Ordnung.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nザフィーア\nAls ich ein Kind war... griff Elusia mein\nHeimatdorf an und zerstörte es.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cディアマンド\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nザフィーア\nEs war wirklich pures Glück, dass ich überlebt\nhabe. Meine Eltern, meine Freunde... sie alle\nwurden getötet.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nザフィーア\nIch konnte nichts dagegen tun. Ich war\nmachtlos.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nザフィーア\nDieses Gefühl holt mich bis heute ein. Ich\nmöchte dann am liebsten schreien und mir das\nHerz herausreißen.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nIch habe einen ähnlichen Schmerz durchlebt.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nザフィーア\nDieser Schmerz ist der Grund, warum ich auf\ndie Art trainiere, wie ich es tue. Nur Stärke kann\nmich davon befreien.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nEs sind die Königlichen wie ich, die Kriege\nerklären... Aber es sind die Bürger und Soldaten,\ndie darunter leiden.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nDein Training wird eines Tages vielleicht dafür\nsorgen, dass unschuldigen Brodianern nichts\npassiert. Darin liegt die größere Bedeutung.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nザフィーア\nIch danke Euch, Prinz Diamant. Es tut gut,\nmir das von der Seele geredet zu haben.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0C\nザフィーア\nIch werde diese Schwäche überwinden, egal,\nwie schwer das wird.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nPrinz Diamant. Kann ich Euch irgendwie helfen?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nMir ist aufgefallen, dass du in den letzten paar\nTrainingseinheiten ab und an zögerlich warst.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nザフィーア\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nザフィーア\nIch weiß, dass ich stärker werden muss, aber\ngleichzeitig... macht mir das langsam Angst.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nザフィーア\nIch habe Sorge, dass ich zu jemandem werde,\nder nur existiert, um andere zu verletzen.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cディアマンド\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nKriege hinterlassen Narben, die niemals ver-\nblassen. Sie schmerzen jeden, auf allen Seiten\neines jeden Krieges.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nIch fühle mich auch oft verloren, so wie du.\nAber ich besinne mich dann stets auf zwei\nDinge. Erstens: Ich kann nicht weglaufen.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nZweitens: Ich kämpfe nicht, um zu gewinnen.\nIch kämpfe, um das Kämpfen zu beenden. Das\nist alles, was wir als Soldaten tun können.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nザフィーア\nIch weiß nicht, ob ich das in mir habe.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nEs tut mir leid... aber das müssen wir in uns\nhaben. Dies ist der einzige Weg, eine Welt,\ndie von Konflikten beherrscht wird, zu ändern.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nザフィーア\nIch werde mein Bestes geben.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nザフィーア\nMit Eurer Hilfe, Prinz Diamant, werde ich\nvielleicht fähig sein, einen Weg zu finden, so\nwie Ihr es verlangt.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nGenau deswegen trainieren wir zusammen –\num unsere Körper und unsere Bande zu stärken.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nNach all dem Gerede über das Kämpfen... Wie\nwäre es mit einem weiteren Übungskampf?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nザフィーア\nDas ist alles, was wir tun können, richtig?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nDas ist absolut richtig.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nザフィーア\nIn Ordnung. Aber dieses Mal haltet Ihr Euch\nnicht zurück.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nDu meinst, ich hätte mich zurückgehalten?\nIch halte mich niemals zurück!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nザフィーア\nWas immer Ihr sagt. In dem Fall strengt Euch\nbesser an.\x0E\x04\x00\x00
