MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nGibt es etwas zu vermelden?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ジェーデ\nOh. Prinz Diamant.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ジェーデ\nEs gibt nichts Neues. Die Nacht ist ruhig.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nAha.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ジェーデ\nHier so Wache zu stehen erinnert mich an den\nTag vor einiger Zeit.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nWelchen Tag?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ジェーデ\nDer Tag, an dem es den Schneesturm gab. Ich\nbewachte die Grenze Elusias im Sturm.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nStimmt. Der Sturm war fürchterlich.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ジェーデ\nEs schneite so heftig... Ich hatte Sorge, dass ich\nnicht in der Lage sein würde, Euch zu finden.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nSo erging es mir auch.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ジェーデ\nWie?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nIch befürchtete, dass ich eine vertraute Getreue\nan die Kälte verlieren würde. Ich war fast krank\nvor Sorge.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nAls ich endlich eintraf und sah, dass du noch\nstandhaft auf deinem Posten warst, tat ich\neinen großen Seufzer der Erleichterung.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ジェーデ\nOh. Nun. Lasst uns nicht übertreiben... Aber ich\ndanke Euch für Eure Sorge, Prinz Diamant.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nDer Morgen bricht bald an. Ich löse dich ein\nbisschen eher ab. Geh und schlaf dich aus.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ジェーデ\nVerstanden.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nDas war gute Arbeit heute Nacht. Oh – und ich\nbin schon sehr gespannt auf neue Kapitel von\ndir. Werden sie bald fertig sein?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08ジェーデ\nJa. Unverzüglich.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nHahaha!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nHahaha. Ich kann ni-- Ich kann nicht aufhören...\nHahaha! Aaah, mein Bauch!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ジェーデ\nPrinz Diamant? Geht es Euch gut?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nOb es mir gut geht? Du hast mich fast umge-\nbracht! Deine Geschichten gefährden meine\nGesundheit, Jade.\x0E\x04\x00\x00
