MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nIch sehe noch keine elusianischen Soldaten.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nSie werden auf dem Weg zum Schloss sein.\nWir sollten direkt nach Floramühlstadt gehen.\x0E\x04\x02\x00
MID_OP1_#003	Es liegt nahe Schloss Firene. Ihr erinnert Euch\nvielleicht an Euren ersten Besuch dort.\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x0A\x08リュール\nJa. Bei meinem ersten Besuch war ich ganz\nangetan von den wunderschönen Hügeln...\x0E\x04\x02\x00
MID_OP1_#005	Oh nein.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nWas ist los?\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x0A\x08リュール\nRauch. Im Nordosten.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nDort liegt Floramühlstadt. Das heißt, sie\nhaben... Nein, nein, nein!\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x0A\x08リュール\nBeeilen wir uns.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nFlora...\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nWarum tun sie das? Hier sind doch keine\nSoldaten. Das sind Bauern, die hier wohnen.\nFamilien!\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x0A\x08リュール\nVerzweifelt nicht, Alfred. Um Eures Königreichs\nwillen müssen wir stark bleiben.\x0E\x04\x02\x00
MID_OP2_#004	Da sind noch mehr elusianische Kriegsschiffe\nvor der Küste. Wenn noch mehr anlanden, wird\nFirene fallen.\x0E\x04\x02\x00
MID_OP2_#005	Wir müssen die eintreffenden Schiffe abwehren\nund gleichzeitig so viele Dorfbewohner wie\nmöglich retten.\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x01\x0E\x0Cアルフレッド\n\x0E\x03\x00\x0C\x06セピア\x023\n\x0E\x03\x02\x08\x06セピア\nOje, was für ein Chaos. Und der Gestank des\nRauchs erst. Geradezu fürchterlich.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x0A\x08リュール\nZephia.\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x02\x0A\x08ヴェイル\n\x0E\x06\x03\x00!\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x0A\x08リュール\nUnd du auch, Veyle? Ich gehe davon aus, dass\ndas dein Verdienst ist.\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x0A\x08ヴェイル\nNein, überhaupt nicht. Wir sind gerade erst\nangekommen.\x0E\x04\x02\x00
MID_OP2_#011	Ich habe gehört, dass du nach Firene kommen\nwürdest, und ich wollte mit dir sprechen.\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x0A\x08リュール\nWas denkst du denn, warum wir hier sind?\nWeil wir gesehen haben, dass die elusianische\nArmee einrückt.\x0E\x04\x02\x00
MID_OP2_#013	Deine Armee! Die, die gerade Floramühlstadt\nniederbrennt.\x0E\x04\x02\x00
MID_OP2_#014	Du bist Sombrons Tochter. Wie kannst du da\nnicht wissen, was seine Truppen anrichten?\x0E\x04\x00\x00
