MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nVon all den Ringen, die aus Lythos gestohlen\nwurden, bin ich das letzte Emblem, das sich\neuch anschließt. Entschuldige die Verspätung.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nEs ist ja nicht deine Schuld. Ich bin nur froh,\ndass du zurück bist. Und ich verspreche, dich\nnicht noch einmal zu verlieren, Eirika.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0A\x08リュール\nIch kann zwei Präsenzen in deinem Ring spüren,\nEirika. Wohnt dem Ring mehr als ein Emblem\ninne?\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0C\nエイリーク\nMein Zwillingsbruder Ephraim und ich sind ein\nEmblem. Doch nur auf dem Höhepunkt unserer\nKräfte können wir zeitgleich existieren.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0A\x08リュール\nEs ist schön, an deiner Seite kämpfen zu\nkönnen, Eirika. Gibt es eine Möglichkeit, wie ich\nauch Ephraim danken kann?\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0C\nエイリーク\nIn friedlichen Zeiten wird er nicht erscheinen.\nOb es am Ring oder seiner Persönlichkeit liegt,\nweiß ich nicht. Ich werde es ihm aber mitteilen.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nDanke. Deine Unterstützung bedeutet mir sehr\nviel – und nicht nur deine allein, das gilt für\neuch beide.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0C\nエイリーク\nAuch ich bin sehr erfreut über die Erfahrungen,\ndie wir zwei bisher sammeln konnten. Ich hoffe,\nwir arbeiten noch ewig zusammen.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nIch hörte, dass du gut stricken könntest, aber\nich habe es noch nicht selbst gesehen.\nEine wunderbare Sache.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nIch werde selten so überschwänglich gelobt.\nMeist sind die Leute eher überrascht.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nWenn du kämpfst, Vander, was treibt dich an?\nWofür riskierst du in der Schlacht dein Leben?\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nDas ist leicht. Um jene zu schützen, die ich\nliebe. Mein ganzes Leben steht im Dienste\ndieses Ideals.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nIch möchte andere beschützen. Genau wie du.\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nMir mag Eure noble Herkunft fehlen, doch wir\nteilen die gleichen Überzeugungen.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nDass eine Prinzessin und ein alter Ritter für ihre\nÜberzeugung alles riskieren... Welch eine\nÜberraschung.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0C\nエイリーク\nÜberhaupt nicht. Wir gleichen uns darin, dass\nwir jene schützen wollen, die sich nicht selbst\nschützen können.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x08\x06クラン\nHey, Ihr seid auch ein Zwilling, Milady Eirika?\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x0C\nエイリーク\nJa. Genau wie ihr sind wir großer Bruder und\nkleine Schwester. Wir sollten unsere\nErfahrungen austauschen.\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nMein Zwillingsbruder hat mich immer wie ein\nKind behandelt, obwohl ich nur kurz nach ihm\nzur Welt kam.\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06クラン\nAch ja? Hey, ich bin der Ältere, und ich mache\nmir auch immer um meine Schwester Sorgen.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x08\x06クラン\nZwillinge sind schon seltsam, hm? Wir kommen\ngleichzeitig zur Welt, aber einer ist immer älter.\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x0C\nエイリーク\nMein Bruder benutzt sein Alter immer als\nAusrede, damit er Sachen für mich machen\nkann.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x0C\nエイリーク\nEr sagt, jünger zu sein, heißt, sich verwöhnen\nzu lassen, selbst wenn ich zur gleichen Zeit\ngeboren wurde.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06クラン\nWenn er wie ich ist, dann liebt er seine kleine\nSchwester. Gerade wenn sie zur gleichen Zeit\ngeboren wurde.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x08\x06フラン\nDas gibt's ja nicht! Ihr seid ein Zwilling wie ich?\nUnd auch die jüngere Schwester? Wir werden\nuns so was von gut verstehen!\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x0C\nエイリーク\nHahaha, ganz bestimmt. Wir können Tipps dazu\naustauschen, wie man am besten mit einem\ngroßen Bruder umgeht!\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x08\x06フラン\nLady Eirika, versteht Ihr Euch gut mit Eurem\nBruder? Ich finde, manchmal haben Zwillinge es\nnicht leicht.\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x0C\nエイリーク\nWir verstehen uns gut, aber ich kann nicht mit\nSicherheit sagen, ob das an unserem Charakter\noder der Natur unserer Macht liegt.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x08\x06フラン\nNervt Euer Bruder Euch manchmal, Lady Eirika?\nOder liebt Ihr ihn einfach ganz von Herzen? Mir\nkönnt Ihr es sagen.\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x0C\nエイリーク\nIch liebe ihn natürlich. Er ist Familie.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x0C\nエイリーク\nAber mehr als das noch ist er die Person, die\nich am allermeisten respektiere. Und das wird\nsich niemals ändern.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06フラン\nDas ist lieb. Mir geht's genauso. Wahrscheinlich\nsollte ich das meinem Bruder auch mal sagen,\naber es fühlt sich so gefühlsduselig an.\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nIhr seid immer so munter am Morgen. Der bloße\nAnblick genügt, um auch mich mit Energie zu\nfüllen.\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nJa, den Effekt habe ich auf manche! Wollt Ihr\nmal irgendwann mit mir Laufen gehen?\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nFällt es Euch nicht schwer, noch vor dem\nMorgengrauen aufzustehen und die morgend-\nliche Routine ganz schläfrig durchzuführen?\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nFrüher vielleicht, aber jetzt nicht mehr. Außer-\ndem ist ein Morgen viel besser, wenn man sich\nschon gründlich für den Tag frisch gemacht hat!\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nEmbleme sind schon seltsam. Ihr steht direkt\nvor mir und habt doch keinen Körper.\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nEuer Wille ist so stark, dass Ihr keinen benötigt.\nSchätze, das ist es, was ein echtes Emblem\nausmacht.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x0C\nエイリーク\nIch bin mir da nicht so sicher. Ich halte mich\nselbst noch für eine Anfängerin und für nicht\nso viel stärker, als Ihr es seid.\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x0C\nエイリーク\nWenn ich sehe, wie streng Ihr im Training mit\nEuch seid, spornt es mich an, selbst alles zu\ngeben, um mithalten zu können.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nIch bewundere deinen Körperbau, Boucheron.\nIch wünschte, ich hätte so Muskeln wie du.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x0C\nブシュロン\nWas?! Na, ich weiß nicht, Eirika... Ich habe Euch\nkämpfen sehen, und Ihr schlagt Euch ganz\nwunderbar, so wie Ihr seid.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nブシュロン\nLest Ihr viel, Eirika? Ich mag das Lesen, weil\nman sich dabei in die Lage einer anderen\nPerson versetzen kann.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0C\nエイリーク\nWenn alle so viel lesen würden wie du, wäre die\nWelt ohne Zweifel ein friedlicherer Ort.\x0E\x04\x00\x00
