MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08リュール\nMauvier, ich bin neugierig. Was für Sachen\nmagst du besonders gern?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06モーヴ\nPardon? Warum wünscht Ihr das zu wissen?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nIch habe mich entschieden, dir ein Geschenk als\nZeichen meiner Dankbarkeit zu machen.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06モーヴ\nEin Geschenk \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06モーヴ\nAus welchem Grund? Vielleicht verwechselt Ihr\nmich mit jemandem.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リュール\nDu bist Veyles Ritter, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nDass Veyle heute noch lebt, verdankt sie deinem\nEinsatz.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nSie ist mein einziges Geschwister, und ich kann\ndir nicht genug dafür danken, dass du sie\nbeschützt hast.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nVerstehst du jetzt, warum ich dich für diesen\nDienst belohnen will?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06モーヴ\nDas verstehe ich. Es ist nur so...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06モーヴ\nZu wissen, dass ich Eure Dankbarkeit habe, ist\nmir bereits Belohnung genug.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nNur meine Dankbarkeit?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06モーヴ\nEs freut mich, dass Ihr meine Unterstützung für\nMilady Veyle zu schätzen wisst.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06モーヴ\nIch bin keine gute Person. Als Euer ehemaliger\nFeind bin ich Eures Lobes nicht würdig.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06モーヴ\nBitte entschuldigt mich. Ich werde andernorts\ngebraucht.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nMauvier, du...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08リュール\nIch habe darüber nachgedacht, dass du sagtest,\ndu seist keine gute Person. Da möchte ich\nentschieden widersprechen.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nIch habe zum Beispiel gesehen, wie du große\nMühen auf dich genommen hast, um den\nLeuten in der Stadt zu helfen.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06モーヴ\nMeine Taten der Vergangenheit sind Beweis\ngenug, dass ich das nicht bin. Heute strebe ich\nallein nach Buße.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06モーヴ\nIch wollte nur ein einfaches Leben führen.\nIch tat für den Dämonendrachen, was ich\nmusste, wie es mich gelehrt wurde...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06モーヴ\nDieser Pfad führte dazu, dass ich der Feind von\nvielen wurde. Ganz besonders von Euch.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nAber diese Tage sind doch vorbei...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06モーヴ\nAlles, was ich sage, wäre nur eine billige\nAusrede für mein Mitwirken an meinem eigenen\nSturz.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06モーヴ\nIch habe darin versagt, Milady Veyle oder das\nWüten der Vier Bluthunde zu stoppen.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06モーヴ\nSolange ich diese Sünden trage, bin ich der\nErlösung oder der Vergebung unwürdig.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06モーヴ\nMeine Taten der Güte gegenüber den\nBewohnern dieses Ortes sind nichts weiter als\nein egoistischer Versuch einer Buße.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06モーヴ\nJegliche Worte des Lobes, von wem auch\nimmer, und besonders von Euch, bereiten mir\nkeine Freude. Nur Schmerz!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nWie lange glaubst du, dass deine Buße noch\nandauern wird?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06モーヴ\nDas weiß ich nicht.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06モーヴ\nIch denke nicht, dass meine Arbeit jemals\nvollendet sein wird, nicht einmal im Tode.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06モーヴ\nIch bin zu vieler Sünden schuldig, um auf etwas\nBesseres hoffen zu dürfen.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08リュール\nDarf ich dich heute begleiten, wenn du den\nLeuten vor Ort hilfst?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06モーヴ\nWie bitte?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06モーヴ\nEs ist \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin nicht würdig, bei solch\nniederen Aufgaben zu assistieren.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nDa bin ich anderer Meinung.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06モーヴ\nIhr seid seltsam.\x0E\x04\x00\x00
