MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nIhr seid Boucheron aus Firene, ist es nicht so?\nIhr scheint ein formidabler Kämpfer zu sein.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06カゲツ\nWeswegen ich, Kagetsu von Elusia, Euch zu\neinem Duell unserer Fähigkeiten herausfordere!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nブシュロン\nIhr habt ein Auge für Talent, wie ich sehe.\nHerausforderung angenommen.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06カゲツ\nExzellent! Überlassen wir nunmehr die\nKonversation unseren Waffen!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06カゲツ\nHa! Hyah!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nブシュロン\nHahaha, nicht schlecht! Aber es braucht mehr\nWumms dahinter!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06カゲツ\nUff! Ein großartiges Duell. Doch lasst es uns für\nheute beenden.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06カゲツ\nIch muss sagen, das war aufregend. Ihr habt\nmich nicht enttäuscht.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06カゲツ\nEure Statur verleiht Euch Stärke, und doch\nbleibt Ihr in der Defensive flink auf den Beinen.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nブシュロン\nIhr wart auch nicht schlecht. Angriffe wie die\nEuren sah ich noch nie zuvor. Sie waren kaum\nzu blocken.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06カゲツ\nNie zuvor? Dies kommt wohl daher, dass ich sie\nin meiner Heimat lernte.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nブシュロン\nIhr stammt nicht aus Elusia?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06カゲツ\nNicht ursprünglich. Mein Heimatort mit seiner\neinzigartigen Kultur ist fern von hier.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nブシュロン\nErzählt. Das klingt ja interessant.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06カゲツ\nWünscht Ihr mehr zu wissen, so kämpft erneut\ngegen mich. Meine Geheimnisse werden teuer\nerkauft.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nブシュロン\nSo soll es sein. Zählt auf mich.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06カゲツ\nGut. So werden wir denn bald wieder kämpfen.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nブシュロン\nBis dahin werde ich trainieren.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nVerzeiht, dass ich Euch warten ließ! Es sollte\nkeine Respektlosigkeit gegenüber den\nengen Banden unserer Freundschaft sein.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nブシュロン\n„Enge Bande“? Weil wir gerade mal einen\nkleinen Übungskampf hatten?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06カゲツ\nKeine festeren Bande könnten gewoben werden\nals die gemeinsame Erfahrung des Kampfes.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nブシュロン\nIst das so Sitte in Eurer Heimat?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06カゲツ\nAber ja. Das ist doch ganz natürlich. Ist es in\nEurer Heimat etwa anders?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nブシュロン\nDas kann man schon sagen.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06カゲツ\nIch verstehe. Wie drückt man bei Euch Bande\nder Freundschaft aus? Gibt man sich ein Quiz?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nブシュロン\nEin Quiz? Zu welchem Thema denn?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06カゲツ\nNein, nein. Quizzen. Wenn zwei Leute ihre\nMünder aufeinanderpressen.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06カゲツ\nKommt. Gebt mir ein Quiz!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nブシュロン\nEin „Quiz“, bei dem zwei Leute ihre Münder\naufeinanderpressen...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nブシュロン\nOh. Meint Ihr einen Kuss?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06カゲツ\nJa, ja. Genau das. Los, kommt und tut es\nmit mir.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nブシュロン\nLieber nicht. Einen Kuss teilen Liebende,\nnicht Freunde.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06カゲツ\nTatsächlich? Die Kulturen anderer Nationen\nsind mir so fremd.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06カゲツ\nNun, genug gescherzt. Beginnen wir unseren\nheutigen Trainingskampf!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nブシュロン\nDas war... ein Scherz?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06カゲツ\nNatürlich. Jeder weiß doch, dass Freunde sich\nnicht quizzen.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nブシュロン\nMacht Euch nicht über mich lustig.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06カゲツ\nHahaha, wenn Ihr wütend seid, dann zeigt es\nmir, während wir kämpfen!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nブシュロン\nAlso schön. Wenn Ihr den wilden Boucheron\nwollt, dann sollt Ihr ihn bekommen.\x0E\x04\x00\x00
