MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche! \x0E\x0A\x00*\x14Göttlicher\x12Göttliche!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06カゲツ\nIhr seht so menschlich aus, dass ich ganz\nneugierig fragen muss... Wie unterscheidet man\neigentlich einen Drachen von einem Menschen?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nMal überlegen... Wir leben länger als Menschen...\nUnd wir sind typischerweise stärker und agiler.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nAber du hast recht, wir sehen nicht viel anders\naus als Menschen.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06カゲツ\nInteressant! Und stimmt es, dass Ihr 1000 Jahre\nim Somniel geschlafen habt?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06カゲツ\nUnd was hat Euch geweckt? Wart Ihr einfach\ndes Schlafens müde?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nIch bin nicht sicher, um ehrlich zu sein.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06カゲツ\nHmm. Und was habt Ihr getan, bevor Ihr\nSchlafen gegangen seid?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nEs tut mir leid. Ich erinnere mich nur an wenig\naus der Zeit vorher.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06カゲツ\nHm. Zu schade.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nDu stellst viele Fragen, Kagetsu. Warum bist du\nso neugierig auf mich?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06カゲツ\nWieso sollte ich nicht neugierig sein? Wir sind\ndoch schließlich Freunde!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nFreunde? Wir haben doch noch nie richtig\nmiteinander gesprochen.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06カゲツ\nFür mich sind wir seit unserem ersten Gespräch\nFreunde. Und ich weiß eben gern Bescheid\nüber meine Freunde!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06カゲツ\nSeht Ihr das anders? Möchtet Ihr nicht mit mir\nbefreundet sein?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nNein, natürlich möchte ich das!\x0E\x04\x00\x00
