MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\nMilady Veyle, ich habe Euch gefunden.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ヴェイル\nOh. Ich wusste nicht, dass du mich gesucht\nhast.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06モーヴ\nDas habe ich in der Tat.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06モーヴ\nEs ist gefährlich für Euch, allein im Ort\nherumzulaufen.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ヴェイル\nGefährlich?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ヴェイル\nWie kommst du darauf? In diesem Ort wohnen\ngute Leute.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06モーヴ\nWenn wir bedenken, was wir getan haben,\nkönnten einige dieser guten Leute zu Recht\nauf Rache sinnen.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ヴェイル\nWenn das geschieht, muss ich mich ent-\nschuldigen. Wir haben... wahrlich furchtbare\nDinge getan.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06モーヴ\nEine Entschuldigung mag hier nicht ausreichen.\nWenn Euch etwas zustoßen würde...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ヴェイル\nIch bin kein Kind. Ich kann selbst auf mich\naufpassen. Hör endlich auf, mich zu verfolgen.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06モーヴ\nWartet. Bitte!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ヴェイル\nNein. Ich muss etwas erledigen... allein.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x01\x0A\x08ヴェイル\n\x0E\x03\x02\x08\x06モーヴ\nDa geht sie hin.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06モーヴ\nSie hat keine Ahnung, welchem Risiko sie\nsich aussetzt.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x01\x0A\x08ヴェイル\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\nMilady Veyle scheint nicht in Gefahr zu sein.\nZumindest für diesen Moment.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06モーヴ\nSie darf nicht bemerken, dass ich ihr folge. Ich\nbleibe etwas zurück und beobachte, ohne selbst\ngesehen zu werden.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06モーヴ\nIch will mir gar nicht vorstellen, wie es wäre,\nwenn ich Marni erklären müsste, wie ich zuließ,\ndass Milady Veyle etwas zugestoßen ist.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x01\x08\x06モーヴ\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x02\x0A\x08ヴェイル\nMauvier! Ich sehe, dass du mir folgst.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06モーヴ\nMilady Veyle?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ヴェイル\nDu denkst also, dass ich nicht in der Lage sei,\nselbst auf mich aufzupassen? Ist es das?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06モーヴ\nNein. Oder eigentlich ja. Ich meine, ich weiß ja,\ndass Ihr dazu imstande seid. Aber ich mache mir\neben auch Sorgen.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06モーヴ\nEs ist meine Pflicht als Ritter, Eure Sicherheit\nzu gewährleisten.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ヴェイル\nDu bist nicht einfach nur ein Ritter, du bist mein\nFreund. Also solltest du mir vertrauen, anstatt\ndir um mich Sorgen zu machen.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06モーヴ\nEin Freund? Das wusste ich nicht.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06モーヴ\nWenn das so ist, dann sagt mir bitte, warum Ihr\nallein durch den Ort geht.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06モーヴ\nAls Euer Freund bin ich um Eure Sicherheit\nbesorgt. Ich möchte verstehen, warum Ihr das\nauf Euch nehmt.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ヴェイル\nIch möchte meine Vergehen wiedergutmachen.\x0E\x04\x00\x00
