MID_TUT_CATEGORY_TITLE_Battle	Kämpfe
MID_TUT_CATEGORY_TITLE_God	Embleme
MID_TUT_CATEGORY_TITLE_Hub	Das Somniel
MID_TUT_CATEGORY_TITLE_Kizuna	Erkunden
MID_TUT_CATEGORY_TITLE_Challenge	Prüfungen
MID_TUT_CATEGORY_TITLE_Local	Aktueller Kampf
MID_TUT_BMAP_MOVE_TITLE	Einheiten bewegen
MID_TUT_BMAP_MOVE_0	Wähle deine Einheit mit \x0E\x08\x02\x04\x02A aus. Bestimme dann\nmit \x0E\x08\x02\x0E\x0CStickL, wohin sie sich bewegen soll.
MID_TUT_BMAP_MOVE_1	Die blauen Felder zeigen die Bewegungs-\nreichweite deiner Einheit an.
MID_TUT_BMAP_MOVE_2	Durch erneutes Drücken von \x0E\x08\x02\x04\x02A zieht die\nEinheit auf das ausgewählte Feld.
MID_TUT_BMAP_COMMAND_TITLE	Einheiten befehligen
MID_TUT_BMAP_COMMAND_0	Im Anschluss an die Bewegung erscheint eine\nListe mit allen Befehlen, die diese Einheit\nausführen kann.
MID_TUT_BMAP_COMMAND_1	Wähle „Warten“, wenn die Einheit keine Aktion\nausführen soll.
MID_TUT_BMAP_CHANGE_TITLE	Phasen im Kampf
MID_TUT_BMAP_CHANGE_0	Wenn alle Einheiten ihren Zug beendet haben,\ngilt die Spielerphase als abgeschlossen und die\nGegnerphase beginnt.
MID_TUT_BMAP_CHANGE_1	Sind beide Phasen beendet, beginnt der nächste\nZug mit einer neuen Spielerphase.
MID_TUT_BMAP_ATTACK_TITLE	Angreifen
MID_TUT_BMAP_ATTACK_0	Bewege eine Einheit in die Nähe eines Gegners\nund wähle „Angreifen“ aus der Befehlsliste.
MID_TUT_BMAP_ATTACK_1	Alternativ dazu kannst du den Cursor auf\neinen Gegner bewegen und mit \x0E\x08\x02\x04\x02A zum Angriff\nübergehen, sobald \x0E\x08\x02\x04\x02A Angreifen angezeigt wird.
MID_TUT_BMAP_ENGAGE_TITLE	Bündnisse
MID_TUT_BMAP_ENGAGE_0	Bei gefüllter Bündnisleiste wird der Befehl\n„Bündnis“ in der Liste anwählbar.
MID_TUT_BMAP_ENGAGE_1	Das Bündnis verschmilzt eine Einheit mit einem\nEmblem und gewährt Zugriff auf spezielle\nBündniswaffen.
MID_TUT_BMAP_ENGAGE_2	Zusätzlich werden Bündnis-Fähigkeiten\naktiviert.
MID_TUT_BMAP_ENGAGE_3	Bündnisse bleiben drei Runden lang bestehen.
MID_TUT_BMAP_ENGAGE_ATTACK_TITLE	Bündnis-Angriffe
