MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0C\nミスティラ\nAh, das war genau, was ich brauchte. Es ist\nschon viel zu lange her, dass wir gemeinsam\nausgeritten sind.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08パネトネ\nJa, Chefin. Nichts geht über einen erquickenden\nRitt auf einem Wolf.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nミスティラ\nWir beide sind früher fast jede Nacht\nlosgezogen. Was ist aus diesen Tagen\ngeworden?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パネトネ\nDer Krieg ist geworden. Leider hat sich die Welt\ngeändert.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nミスティラ\nJa, so ist es. Und weißt du, du bist seit\ndamals auch viel sanfter geworden.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08パネトネ\nWas meint Ihr damit?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nミスティラ\nAch komm. Weißt du noch, wie wir uns\nbegegnet sind?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nミスティラ\nDu hattest Banditen an die Bäume gefesselt und\nwolltest sie an die Wölfe verfüttern!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08パネトネ\nEs sollte sie nur verschrecken. Ich hatte nicht\nwirklich vor--\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nミスティラ\nUnd nicht zu vergessen deine Ausdrucksweise.\nFrüher hast du Sachen gesagt wie...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nミスティラ\n„Habt ihr Hunger, ihr Mistkerle? Dann gibt's\njetzt eine Portion Faust, frisch in die Visage!“\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08パネトネ\nOh bitte, seht von solch einer Wiederholung\nmeiner Rohheit ab!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nミスティラ\nHahaha!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nミスティラ\nKeine Sorge, Panette. Ich habe das alte Du\ngeliebt, und ich liebe das neue Du ganz\ngenauso.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パネトネ\nDas beruht auf Gegenseitigkeit, Chefin. Auch\nwenn Ihr mich gnadenlos neckt.\x0E\x04\x00\x00
