MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nFantastisches Wetter heute, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nエーティエ\nOh ja. Perfekt für eine Tasse Tee.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nBesonders für deinen Tee, Etie. Ihn genieße ich\nam liebsten.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nエーティエ\nDas... ist freundlich von Euch. Darf es noch eine\nTasse sein?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nN-nein, lieber nicht...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nエーティエ\nWenn... Wenn Ihr meint... Ngh...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nAaaargh! Ich... halte es nicht mehr aus...\nIch gebe auf!\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nエーティエ\nEure Tasse ist als erste unten. Ich habe\ngewonnen.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nJa. Offen und ehrlich, Etie. Ich habe keine\nAusrede.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nObwohl ich schwören könnte, dass unsere\nspeziellen Trainings-Teetassen heute schwerer\nwaren als sonst.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nエーティエ\nScharf beobachtet. Ich habe tatsächlich\nzusätzliches Gewicht hinzugefügt.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nKein Wunder, dass es mir so schwerfiel, sie\nauch nur anzuheben.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nエーティエ\nJammert nicht. Die Straße zu den Muskeln ist\nlang und steinig, und Ihr habt erst begonnen,\nsie zu beschreiten.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nエーティエ\nDie Teestunde wird von nun an immer schwerer\nsein.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nNichts anderes erwarte ich. Erheben wir\nunsere Teetassen auf die Stärke!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nエーティエ\nAuf die Stärke!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nHmm. Bist du da sicher?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nエーティエ\nAbsolut.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nエーティエ\nIhr geht hier nicht weg, bis Ihr den letzten\nTropfen von meinem neuen, verbesserten\nMuskelstimulans getrunken habt.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nAlso dann. Alles für die Stärke!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nエーティエ\nSo muss das sein.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nエーティエ\nIch habe viel Forschung darin investiert.\nIch garantiere sichtbare Resultate.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nDas klingt wunderbar. Danke, dass du so hart\ndaran gearbeitet hast.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nNur... Hättest du dabei nicht noch etwas am\nGeruch feilen können?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nエーティエ\nTut mir leid. Haltet Euch einfach die Nase zu.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nエーティエ\nBei den ganzen Zutaten, die da drin sind, war\ndas nun mal unvermeidlich.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cアルフレッド\nWie zum Beispiel welche?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nエーティエ\nFür dieses Getränk habe ich Gespräche mit\nvielen Muskelprotzen geführt.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nエーティエ\nIch habe alle ihre Lieblingsessen\nherausgefunden und zu einem einzigen,\nmächtigen Eintopf vermengt.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cアルフレッド\nAlle? Auf einmal?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nエーティエ\nNun, alle plus ein paar andere Zutaten, von\ndenen ich dachte, dass sie helfen.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nWie hat es am Ende geschmeckt?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nエーティエ\nKeine Ahnung. Ich habe es ja nicht gekostet.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\nUnglaublich.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cアルフレッド\nDu hast dich zurückgehalten, um mir die Ehre\nzu erweisen, es als Erster schmecken zu dürfen.\nIch bin gerührt, Etie.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nエーティエ\nDas gehört zu meinen Aufgaben.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch bin beschämt, mich zuvor über Kleinigkeiten\nwie Geschmack und Geruch mokiert zu haben.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cアルフレッド\nDu sollst wissen, dass ich dir sehr dankbar bin,\nEtie.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cアルフレッド\nRunter damit. Auf die Stärke!\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nエーティエ\nAuf die Stärke!\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0E\x0Cアルフレッド\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0E\x0Cアルフレッド\nAaah.\x0E\x04\x00\x00
