MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08アイビー\nPrinz Alcryst. Kann ich Euch irgendwie\nbehilflich sein?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nスタルーク\nHm.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アイビー\nVerstehe. Ihr gebt vor, mich zu ignorieren.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nスタルーク\nIch weigere mich, Euch zu vergeben. Ihr\nwisst, aus welchem Grund.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nスタルーク\nWie sonst sollte ich mich in der Anwesenheit\nvon jemandem verhalten, der dabei behilflich\nwar, meinen Vater zu ermorden?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08アイビー\nIch möchte mich für den Anteil, den ich\nam Tod Eures Vaters habe, entschuldigen.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nスタルーク\nW-wirklich?!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08アイビー\nIch weiß, dass eine Entschuldigung Eure\nWunden nicht heilen oder überhaupt\nirgendetwas erreichen kann.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アイビー\nAber wir sind nun Verbündete.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08アイビー\nIch erachte es für wichtig, dass wir eine\ngemeinsame Ebene finden können, auf der wir\nuns auf halbem Weg entgegenkommen.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nスタルーク\nÄh...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アイビー\nDaher mache ich diesen ersten Schritt.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アイビー\nIch bereue wirklich sehr, was mit Eurem Vater\ngeschah.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nスタルーク\nPrinzessin Ivy, ich...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nスタルーク\nIch fürchtete Eure Familie stets, und auch Euer\nLand. Ich hätte mir nie vorstellen können, dass\nwir einmal auf derselben Seite stehen.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nスタルーク\nDas Leben ist so unvorhersehbar.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nスタルーク\nEs treibt uns vorwärts, ob man bereit ist oder\nnicht. Halten wir an der Vergangenheit fest,\nwerden wir ins Stolpern geraten.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0C\nスタルーク\nVon nun an, das verspreche ich, werde ich mein\nBestes geben, um diese gemeinsame Ebene\nzu finden, die Ihr erwähntet.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0A\x08アイビー\nIch danke Euch. Aber Ihr solltet wissen, dass es\nunhöflich ist, jemandem ins Gesicht zu starren.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0C\nスタルーク\nAaah! Ihr habt recht! Verzeiht! mir meine\nUnachtsamkeit. Es wird nie wieder vorkommen.\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x01\x0C\nスタルーク\n\x0E\x03\x02\x0A\x08アイビー\nWenigstens sehen wir beide einander an.\nVielleicht erwarten uns nun bessere Zeiten.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nスタルーク\nPrinzessin Ivy? Starrt Ihr mich... an?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アイビー\nNein, Prinz Alcryst, zumindest nicht absichtlich.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08アイビー\nAber ich kann meine Augen nicht von Eurer\nRüstung abwenden.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08アイビー\nIn Elusia haben wir von klein auf gelernt,\nauf Rüstungen aus Brodia zu achten.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nスタルーク\nOooh. Ich denke, ich verstehe...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nスタルーク\nBrodia ist so oft in Elusia eingefallen, dass ich\nes nicht mehr zählen kann. Mein Land hat\nsich für viel zu verantworten.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nスタルーク\nAuch wenn es vielleicht nicht hilft... Es tut mir\nleid.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アイビー\nOh? Und was genau meint Ihr damit?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nスタルーク\nMh? Ich, äh, wa--\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アイビー\nIst dies eine formelle Entschuldigung des\nKönigreichs Brodia für das wiederholte\nEindringen in unser Land?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アイビー\nGebt Ihr Euren Fehler im Namen Eures Volkes\nzu und schwört Ihr, in Zukunft eine friedvolle\nAuslandspolitik auszuüben?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08アイビー\nDie Aussöhnung zwischen Nationen ist eine\nernsthafte Angelegenheit, die man nicht leicht\nnehmen sollte.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nスタルーク\nD-das wollte ich ni--\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nスタルーク\nWas ich sagen wollte, war, äh, dass Brodia sich,\nwenn es wirklich im Unrecht ist, entschuldigen\nsollte.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nスタルーク\nAber diese Entschuldigung kann ich nicht\ngeben! Der König und der Adel müssen\nzusammenkommen und dem zustimmen.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nスタルーク\nAls ich also sagte, es täte mir leid, so sagte\nich das als Individuum, nicht als Repräsentant\nvon... äh...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アイビー\nHahaha, ich weiß. Tut mir leid, aber es ist\neinfach zu leicht, mit Euch zu spielen.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nスタルーク\nOooh, Prinzessin Ivy... Oh, ich wurde so\nnervös...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08アイビー\nMeine Gefühle der Abneigung für Brodia liegen\nin der Vergangenheit. Ich konnte nicht wider-\nstehen, Euch ein wenig zu necken.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08アイビー\nAber seht mal die positive Seite – wir fühlen\nuns miteinander wohl genug, um zu scherzen.\nHabe ich recht?\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nスタルーク\nJ-ja, selbstverständlich! Ich dachte, mein Herz\nwürde versagen, aber ich vermute, es war...\nlustig...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0C\nスタルーク\nVerzeiht, Prinzessin Ivy.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nスタルーク\nIn unserem letzten Gespräch habt Ihr mir\nverdeutlicht, dass Ihr gegen Brodia immer\nnoch einen Groll hegt.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アイビー\nJa, das tat ich.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nスタルーク\nNun, auch wenn ich riskiere, damit meine\nGrenzen zu überschreiten, hoffe ich, dass Ihr\nmir erlaubt, eines zu sagen...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nスタルーク\nDie Beziehungen zwischen Brodia und Elusia\nkonnten niemals als harmonisch bezeichnet\nwerden – zumindest nicht zu meinen Lebzeiten.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nスタルーク\nAber wie Ihr bereits sagtet, sind wir nun\nVerbündete. Wir arbeiten zusammen.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アイビー\nDas ist wahr.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nスタルーク\nDiese Allianz war ebenso unvorhersehbar wie\ngroßartig.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nスタルーク\nIch werde hart daran arbeiten, um sicherzu-\nstellen, dass unsere Länder Verbündete\nbleiben, wenn dieser Konflikt vorüber ist.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nスタルーク\nIch werde vielleicht nicht so viel tun können\nwie mein Bruder, der Kronprinz, aber...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nスタルーク\nNun, ich dachte, ich sei Euch zumindest eine\nklare Aussage über meine Intentionen schuldig.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アイビー\nZunächst sah ich in Euch jemanden, der\nwillensschwach und ohne Charisma war.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08アイビー\nNun sehe ich das ganz anders.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nスタルーク\nTut Ihr das?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アイビー\nWenn es von Bedeutung ist, teilt Ihr mit, was\nEuch bewegt. Und das was Ihr sagt, ist warm-\nherzig und aufmerksam.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08アイビー\nDies sind die Eigenschaften, die ich als prinzlich\nansehe.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nスタルーク\nOh, nein, bitte, zollt mir nicht zu viel\nHochachtung. Ihr seid viel königlicher und\nfähiger als--\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08アイビー\nWollt Ihr damit unterstellen, dass ich, die\nKronprinzessin meines Königreiches, nicht in der\nLage bin, einen Charakter einzuschätzen?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nスタルーク\nN-nein, überhaupt nicht! Ich würde niemals--\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nスタルーク\nAh. Noch ein Scherz?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08アイビー\nJa, sehr gut. Ich bin froh, dass Ihr das bemerkt\nhabt.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nスタルーク\nHahaha. Ich nehme das als Zeichen, dass sich\nunsere Beziehung verbessert.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08アイビー\nDem stimme ich zu. Ich hoffe, unsere Freund-\nschaft wird weiter wachsen.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08アイビー\nZu Ehren unserer Väter... und für die Zukunft\nunserer Königreiche.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nスタルーク\nJa. Auf eine bessere Zukunft!\x0E\x04\x00\x00
