MAID_LueurWearM	Göttlicher Anzug
MAID_H_LueurWearM	Alltagskleidung für den Sohn der Wyrmgöttin.\nSie ist perfekt auf den Göttlichen zugeschnitten.
MAID_LueurWearF	Göttliches Kleid
MAID_H_LueurWearF	Alltagskleidung für die Tochter der Wyrmgöttin.\nSie ist perfekt auf die Göttliche zugeschnitten.
MAID_VandrWear	Prunkanzug
MAID_H_VandrWear	Alltagskleidung von Vander, dem 32. Drachenbehüter.\nEs wird gemunkelt, er besäße mehrere identische Exemplare.
MAID_FramWear	Roter Mantel
MAID_H_FramWear	Alltagskleidung von Framme, der 33. Drachenbehüterin. Verfügt\nüber eine Spezialtasche, um einen Notfallimbiss darin zu verstecken.
MAID_ClanWear	Grüner Mantel
MAID_H_ClanWear	Alltagskleidung von Clanne, dem 33. Drachenbehüter. Verfügt\nüber eine Spezialtasche, um einen Notfallimbiss darin zu verstecken.
MAID_AlfredWear	Blumenanzug
MAID_H_AlfredWear	Alltagskleidung von Alfred, dem Kronprinzen von Firene. Bietet viel\nBewegungsfreiheit und ist mit einer Blume aus Firene dekoriert.
MAID_BoucheronWear	Robustes Hemd
MAID_H_BoucheronWear	Alltagskleidung von Boucheron, Prinz Alfreds Getreuem. Die Knöpfe\nscheinen etwas locker zu sitzen, aber noch erfüllen sie ihren Zweck.
MAID_EtieWear	Rüschenbluse
MAID_H_EtieWear	Alltagskleidung von Etie, Prinz Alfreds Getreuer. Ärmel und Rock sind mit\nRüschen verziert. Das Muster am Saum erinnert an ihre Kampfkleidung.
MAID_CelineWear	Teegewand
MAID_H_CelineWear	Alltagskleidung von Céline, der Prinzessin von Firene. Die Rüschen\nverleihen ihr eine gewisse Eleganz und der Edelstein ist honigfarben.
MAID_LouisWear	Kavaliersweste
MAID_H_LouisWear	Alltagskleidung von Louis, Prinzessin Célines Getreuem. Die Ärmel lassen\nsich praktischerweise hochkrempeln – somit ist er stets einsatzbereit.
MAID_ChloeWear	Pegasuskleid
MAID_H_ChloeWear	Alltagskleidung von Chloé, Prinzessin Célines Getreuer. Sie trägt sie\noft an Imbissbuden, achtet aber darauf, sie nicht zu bekleckern.
MAID_DiamandWear	Glutgewand
MAID_H_DiamandWear	Alltagskleidung von Diamant, dem Kronprinzen von Brodia. Sie ist aus\neinem Material, das im Notfall buchstäblich allen Einflüssen standhält.
MAID_UmberWear	Alpakajacke
MAID_H_UmberWear	Alltagskleidung von Amber, Prinz Diamants Getreuer. Die Stickereien auf\ndem Rücken und der Brust stellen die Alpakas seiner Heimatstadt dar.
MAID_JadeWear	Autorengewand
MAID_H_JadeWear	Alltagskleidung von Jade, Prinz Diamants Getreuer. Sie bietet viel\nBewegungsfreiheit und ein robustes Lederkorsett für eine gute Haltung.
MAID_StalukeWear	Aschegewand
MAID_H_StalukeWear	Alltagskleidung von Alcryst, dem Prinzen von Brodia. So gerne er auch die\nUnterschiede zu Diamants Gewand betont, sind sie doch recht ähnlich.
MAID_LapisWear	Blütenschürze
