MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ボネ\x021\n\x0E\x03\x02\x06\x04ボネ\nGut, gut, wie du so schön austreibst. Eines\nTages wirst du ganz köstlich schmecken.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ボネ\nBis dahin kriegst du von mir feines Wässerchen,\ndamit du groß und stark wirst.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\nOh, ist das dein Garten?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04ボネ\nMauvier. Was machst du denn hier?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06モーヴ\nWachdienst. Was für Gemüse züchtest du denn?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04ボネ\nZu dieser Jahreszeit pflanze ich ganz\nverschiedenes, aber das meiste wächst erst\ndeutlich später.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x06\x04ボネ\nNichts ist besser als Selbstgezogenes. Nur noch\nein bisschen kochen, und schon hat man ein\nMeisterwerk.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06モーヴ\nIch sehe hier auch Blumen. Sind die ebenfalls\nfür den Kochtopf gedacht?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04ボネ\nOh nein. Die Blumen sind nur zum Anschauen.\nUnd zum Riechen!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ボネ\nDer Duft frischer Blumen ist Balsam für die\nSeele. Hier, schnupper mal.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06モーヴ\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06モーヴ\nWelch liebliches Aroma.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06モーヴ\nDu hast recht. Es ist sehr beruhigend.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x06\x04ボネ\nDu arbeitest zu hart. Warum schaust du nicht\nvon Zeit zu Zeit mal hier vorbei und entspannst\ndich?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06モーヴ\nDas klingt schön...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06モーヴ\nJa. Ich denke, ich werde gelegentlich mal\nvorbeikommen.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ボネ\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\nWie heißt diese Blume? Sie riecht bezaubernd.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x06\x04ボネ\nAh, das ist Jasmin. Eine der duftstärksten\nBlumen, die ich hier anbaue.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06モーヴ\nDein Garten ist herrlich. Ich gebe zu, dass ich\nin letzter Zeit einige Ausreden erfunden habe,\num ihn zu besuchen.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ボネ\nEr bedeutet dir so viel?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x06\x04ボネ\nIch werde ein bisschen Gemüse ernten und dir\neine feine Ratatouille kochen. Der Geschmack\nwird dich zutiefst bewegen, versprochen.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06モーヴ\nDu musst dir meinetwegen keine solchen\nUmstände machen.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06モーヴ\nDass ich hier von Zeit zu Zeit rasten darf, ist\nbereits mehr als genug für mich.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04ボネ\nJeder braucht mal eine Pause. Und jeder kann\nauch ein gutes Essen vertragen.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06モーヴ\nIch war einer der Vier Bluthunde.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06モーヴ\nDeswegen beschütze ich jetzt die Schwachen,\nals Buße für meine früheren Sünden.\x0E\x04\x00\x00
