MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x02\x0A\x08リュール\nDas letzte Dämonendrachensiegel befindet sich\nalso hier? Im Tempel von Gradlon?\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08ヴェイル\nJa...\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08リュール\nWas ist los, Veyle? Du siehst nicht gut aus.\nHast du dich nicht genügend erholt?\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x0A\x08ヴェイル\nDas ist es nicht... Aber ich... Ich habe eine Bitte.\x0E\x04\x02\x00
MID_OP1_#005	Lass mich hineingehen. Allein. Ich werde das\nSiegel zerstören.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0A\x08リュール\nWas?! Das kann ich nicht zulassen. Das ist zu\ngefährlich.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x0A\x08ヴェイル\nVertrau mir. Es ist am besten, wenn du dem,\nwas dort wartet, nicht gegenübertrittst.\x0E\x04\x02\x00
MID_OP1_#008	Du solltest lieber hierbleiben – und deine\nFreunde auch. Bruder... lass mich dir das\nersparen.\x0E\x04\x00\x00
MID_OP1_#008_F	Du solltest lieber hierbleiben – und deine\nFreunde auch. Schwester... lass mich dir das\nersparen.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x0A\x08リュール\nWas ersparen? Ich verstehe nicht.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x01\x0A\x08ヴェイル\n\x0E\x03\x00\x18\x12M025_ルミエル\x021\n\x0E\x06\x00.\x12M025_ルミエル\x18MPID_Lumiere\n\x0E\x03\x02\x14\x12M025_ルミエル\nHahaha... Bist du das, \x0E\x06\x03\x00?\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x14\x12M025_ルミエル\nDu bist es, nicht wahr?\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x0A\x08リュール\nMutter?!\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x14\x12M025_ルミエル\nOh, mein geliebtes Kind. Wie sehr ich mich\ndanach gesehnt habe, dich wiederzusehen!\x0E\x04\x02\x00
MID_OP1_#015	Als ich deine Anwesenheit spürte, flog ich\nherbei, so schnell ich konnte!\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x02\x0A\x08リュール\nDas kann nicht sein. Wie...\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x14\x12M025_ルミエル\nIch habe dich so sehr vermisst!\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x00\x0E\x08ヴェイル\x024\n\x0E\x03\x02\x0A\x08ヴェイル\nKeinen Schritt näher, Wyrmgöttin – oder besser\ngesagt Verzerrte – Lumera.\x0E\x04\x00\x00
MID_OP1_#019	\x0E\x06\x008\x12M025_ルミエル"MPID_MorphLumiere\n\x0E\x03\x02\x14\x12M025_ルミエル\nAch... Gerade, als ich endlich einen Moment mit\nmeinem Kind hatte.\x0E\x04\x00\x00
MID_OP1_#020	\x0E\x03\x02\x0A\x08ヴェイル\nDas hatte ich nicht erwartet. Ich dachte, sie\nwürde mit dem Siegel im Inneren bleiben.\x0E\x04\x00\x00
MID_OP1_#021	\x0E\x03\x02\x0A\x08リュール\nVeyle? Ist das dein Werk?\x0E\x04\x00\x00
MID_OP1_#022	\x0E\x03\x02\x0A\x08ヴェイル\nNein. Das war Papa. Die Ringe gaben ihm die\nMacht, ausgefeiltere Verzerrte zu erschaffen.\x0E\x04\x02\x00
MID_OP1_#023	Er brachte sie aus Lythos her, als letzte\nVerteidigung für die Siegel.\x0E\x04\x00\x00
MID_OP1_#024	\x0E\x03\x02\x0A\x08リュール\nDu wusstest davon, nicht wahr? Du wusstest,\ndass dies mit Mutter passiert war.\x0E\x04\x00\x00
MID_OP1_#025	\x0E\x03\x02\x0A\x08ヴェイル\nJa. Und ich wusste auch, dass wir ihr nicht\nhelfen konnten.\x0E\x04\x02\x00
MID_OP1_#026	Die Emblem haben ihr Wunder gewirkt. Sie\nkonnten eine Person wiederbeleben, und sie\nhaben sich für dich entschieden.\x0E\x04\x02\x00
MID_OP1_#027	Es gibt keine andere Möglichkeit, jemanden zu\nretten, der zu einem Verzerrten wurde.\x0E\x04\x00\x00
MID_OP1_#028	\x0E\x03\x02\x0A\x08リュール\nAlso bleibt uns keine Wahl. Wir müssen ihr\ngegenübertreten.\x0E\x04\x00\x00
MID_OP1_#029	\x0E\x03\x02\x0A\x08ヴェイル\nDu musst das nicht tun, Bruder.\nÜberlass das mir.\x0E\x04\x00\x00
MID_OP1_#029_F	\x0E\x03\x02\x0A\x08ヴェイル\nDu musst das nicht tun, Schwester.\nÜberlass das mir.\x0E\x04\x00\x00
MID_OP1_#030	\x0E\x03\x02\x0A\x08リュール\nAber...\x0E\x04\x00\x00
MID_OP1_#031	\x0E\x03\x02\x14\x12M025_ルミエル\nEs ist kalt hier draußen. Komm herein. Du willst\ndas Siegel brechen, richtig?\x0E\x04\x02\x00
MID_OP1_#032	Keine Sorge, ich beiße nicht. Ich möchte nur ein\nschönes, langes Gespräch führen.\x0E\x04\x00\x00
MID_OP1_#033	\x0E\x03\x01\x14\x12M025_ルミエル\n\x0E\x03\x02\x0A\x08リュール\nMutter...\x0E\x04\x02\x00
MID_OP1_#034	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_OP1_#035	\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x02\x0C\nヴァンドレ\nIch kann es kaum glauben. Königin Lumera\nhöchstpersönlich. Was sollen wir tun?\x0E\x04\x00\x00
MID_OP1_#036	\x0E\x03\x02\x0A\x08リュール\nWir müssen sie bezwingen. Es gibt keine\nandere Möglichkeit.\x0E\x04\x02\x00
MID_OP1_#037	Aber... ich weiß nicht, wie ich die Kraft dafür\naufbringen soll.\x0E\x04\x00\x00
MID_OP1_#038	\x0E\x03\x01\x0C\nヴァンドレ\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x02\x0E\x0Cアルフレッド\nIch befinde mich in einem Konflikt. Sie war\nmeine Göttin. Und nun soll ich sie bekämpfen?\x0E\x04\x00\x00
MID_OP1_#039	\x0E\x03\x00\x10\nミスティラ\x023\n\x0E\x03\x02\x0C\nミスティラ\nJa... Die Leute in Solm sind nicht sehr religiös,\naber auch wir haben Königin Lumera geliebt.\x0E\x04\x02\x00
MID_OP1_#040	\x0E\x03\x02\x0A\x08リュール\nWir dürfen nicht scheitern, so einfach ist das.\nSonst ist die Welt dem Untergang geweiht.\nGehen wir hinein.\x0E\x04\x02\x00
MID_OP1_#041	...\x0E\x04\x02\x00
MID_OP1_#042	Die Tür... Sie lässt sich nicht öffnen.\x0E\x04\x00\x00
MID_OP1_#043	\x0E\x03\x00\x0E\x08アイビー\x024\n\x0E\x03\x02\x0A\x08アイビー\nLasst mich mal sehen. Hmmm... Die Tür wurde\nvon innen mit einem Zauber belegt.\x0E\x04\x02\x00
MID_OP1_#044	Seltsam. Dabei hat sie uns eingeladen...\x0E\x04\x00\x00
MID_OP1_#045	\x0E\x03\x01\x0E\x0Cアルフレッド\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x02\x0E\x0Cディアマンド\nMoment mal... Wo ist Milady Veyle? Sie ist doch\nwohl nicht hineingegangen?\x0E\x04\x00\x00
MID_OP1_#046	\x0E\x03\x02\x0A\x08リュール\nWas?! Nein!\x0E\x04\x02\x00
MID_OP1_#047	Sie darf dort nicht allein hineingehen... Veyle!\nÖffne die Tür!\x0E\x04\x00\x00
MID_OP2C_#001	\x0E\x02\x00\x10\x0EDefault\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nVergib mir.\x0E\x04\x00\x00
MID_OP2C_#002	\x0E\x03\x00\x18\x12M025_ルミエル\x021\n\x0E\x03\x02\x14\x12M025_ルミエル\nNa so was. Bist du ganz allein gekommen,\num mich zu treffen?\x0E\x04\x00\x00
MID_OP2C_#003	\x0E\x03\x02\x0A\x08ヴェイル\nEuer eigenes Kind soll Euch nicht\nniederstrecken müssen.\x0E\x04\x00\x00
MID_OP2C_#004	\x0E\x03\x02\x14\x12M025_ルミエル\nWie heldenhaft von dir. Es freut mich, dass wir\ndiese Gelegenheit zum Plaudern haben, Veyle.\x0E\x04\x02\x00
MID_OP2C_#005	Du bist also die kleine Schwester meines Kindes?\nWenn das so ist, bin ich quasi auch deine Mutter.\x0E\x04\x02\x00
MID_OP2C_#006	Du darfst mich gerne „Mutter“ nennen,\nwenn du möchtest.\x0E\x04\x00\x00
MID_OP2C_#007	\x0E\x03\x02\x0A\x08ヴェイル\nDanke für das nette Angebot. Aber ich brauche\nkeine zweite Mutter. Ich hatte bereits eine.\x0E\x04\x00\x00
MID_OP2C_#008	\x0E\x03\x02\x14\x12M025_ルミエル\nAh! Sie ist wohl schon gestorben?\nSag mir, wie war sie denn so?\x0E\x04\x00\x00
MID_OP2C_#009	\x0E\x03\x02\x0A\x08ヴェイル\nSie war gütig, zärtlich und liebevoll. Aber sie starb,\nbevor ich sie wirklich zu schätzen lernte.\x0E\x04\x02\x00
MID_OP2C_#010	Sie gab stets ihr Bestes, um mich zu beschützen.\nUnd sie sagte, wenn Papa je wieder frei sei...\x0E\x04\x02\x00
MID_OP2C_#011	Und wenn er dann furchtbare Dinge tue...\nDann solle ich, als seine Familie, ihn aufhalten.\x0E\x04\x00\x00
MID_OP2C_#012	\x0E\x03\x02\x14\x12M025_ルミエル\nDas bedeutet wohl, dass du beabsichtigst,\nmich erneut zu töten.\x0E\x04\x00\x00
MID_OP2C_#013	\x0E\x03\x02\x0A\x08ヴェイル\nJa.\x0E\x04\x00\x00
MID_OP2C_#014	\x0E\x03\x02\x14\x12M025_ルミエル\nDie Erinnerung an jenen Todesstoß, den Schmerz!\nUnd noch schlimmer – du brachst mir das Herz!\x0E\x04\x02\x00
MID_OP2C_#015	Ich wurde meinem geliebten Kind entrissen.\nKannst du das Ausmaß meiner Pein erahnen?\x0E\x04\x02\x00
MID_OP2C_#016	Wärst du nicht gewesen, hätten mein Kind\nund ich auf ewig zusammen sein können.\x0E\x04\x00\x00
MID_OP2C_#017	\x0E\x03\x02\x0A\x08ヴェイル\nIch weiß, dass es meine Schuld ist.\nDass Ihr gestorben seid... All das.\x0E\x04\x02\x00
MID_OP2C_#018	Auch wenn ich eine Marionette war, ich tötete Euch.\nIch stahl die Ringe. Meine Taten haben hierzu geführt.\x0E\x04\x02\x00
MID_OP2C_#019	Ihr könnt mich hassen, so viel Ihr wollt.\x0E\x04\x02\x00
MID_OP2C_#019_2	Aber wie dem auch sei... Hier endet es!\x0E\x04\x02\x00
MID_OP2C_#020	Ah!\x0E\x04\x00\x00
MID_OP2C_#021	\x0E\x03\x02\x14\x12M025_ルミエル\nOh, Veyle. Hätte das etwa wehtun sollen?\x0E\x04\x02\x00
MID_OP2C_#022	Wie du sicher bemerkt hast, bin ich dank\nLord Sombrons Großzügigkeit nun viel mächtiger.\x0E\x04\x02\x00
MID_OP2C_#023	Es ist wirklich eine Schande. Ich hatte ehrlich\ngehofft, wir beide würden uns vertragen.\x0E\x04\x02\x00
MID_OP2C_#024	Aber jemand, der sich zwischen mich und mein\nKind stellt, kann nicht am Leben bleiben.\x0E\x04\x02\x00
MID_OP2C_#025	Wie dumm von dir, mich erneut töten zu wollen.\nIch schulde dir noch einen Tod vom ersten Mal...\x0E\x04\x02\x00
MID_OP2C_#026	Stirb, du kleiner Fehlgriff!\x0E\x04\x00\x00
MID_OP2C_#027	\x0E\x03\x02\x0A\x08ヴェイル\n \x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x01\x0A\x08ヴェイル\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x18\x12M025_ルミエル\x021\n\x0E\x03\x02\x0A\x08リュール\nVeyle!\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x00\x0E\x08ヴェイル\x024\n\x0E\x03\x02\x0A\x08ヴェイル\nBruder?!\x0E\x04\x00\x00
MID_OP2_#002_F	\x0E\x03\x00\x0E\x08ヴェイル\x024\n\x0E\x03\x02\x0A\x08ヴェイル\nSchwester?!\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x04\x03\x04
MID_OP2_#004	\x0E\x03\x02\x0A\x08リュール\nWas für ein Glück, dass du wohlauf bist!\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x0A\x08ヴェイル\nDie Tür hätte versiegelt sein sollen. Wie...\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x0A\x08リュール\nNun, wir... haben sie mit Gewalt geöffnet.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x14\x12M025_ルミエル\nHahaha! Oh, mein Kind. Hast du deine Mutter\nso sehr vermisst?\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x0A\x08リュール\nDas habe ich. Es verging kein Tag, an dem ich\nnicht an dich gedacht hätte.\x0E\x04\x02\x00
MID_OP2_#009	Deshalb ärgert es mich, dich... so zu sehen.\nHat Sombron nicht genug Schaden angerichtet?\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x14\x12M025_ルミエル\nWarum redest du schlecht von Lord Sombron?\nDank ihm sind wir wieder zusammen.\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x02\x0A\x08リュール\n„Lord“ Sombron? Du scheinst wirklich verloren\nzu sein.\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x14\x12M025_ルミエル\nOh, das war ich. Während des Krieges vor\ntausend Jahren war ich ohne jede Hoffnung.\nEinsam. Ich hatte niemanden.\x0E\x04\x02\x00
MID_OP2_#013	Mutter, Vater, Freunde... Getötet. Doch ich\nmusste weiterkämpfen – allein.\x0E\x04\x02\x00
MID_OP2_#014	Wenn ich, die Wyrmgöttin, aufgegeben hätte\noder geflohen wäre, wäre die Welt verloren\ngewesen.\x0E\x04\x02\x00
MID_OP2_#015	Mitten in all diesem Leid fand ich dich.\x0E\x04\x02\x00
MID_OP2_#016	Unschuldig und rein. Keinerlei böse Absichten.\nUnd doch hattest du nie Liebe erfahren.\x0E\x04\x02\x00
MID_OP2_#017	Obwohl du \x0E\x0A\x002\x14mein Feind\x1Ameine Feindin warst, brachte ich es\nnicht fertig, dich zu töten. Stattdessen ging ich\neine Bindung mir dir ein.\x0E\x04\x02\x00
MID_OP2_#018	Als wir uns zum ersten Mal trafen, endete meine\nEinsamkeit.\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x02\x0A\x08リュール\nMutter...\x0E\x04\x00\x00
MID_OP2_#020	\x0E\x03\x02\x14\x12M025_ルミエル\nIch flehe dich an. Bitte lass mich nicht wieder\nallein! Bleib hier bei mir, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_OP2_#021	\x0E\x03\x02\x0A\x08リュール\nNein. Das kann ich nicht.\x0E\x04\x02\x00
MID_OP2_#022	Bei unserem letzten Gespräch hast du mir\ngesagt, dass ich mit Göttlichkeit kämpfen soll.\x0E\x04\x02\x00
MID_OP2_#023	Du hast mich gebeten, Frieden zu schaffen,\negal, welche Erinnerungen zurückkehren mögen.\x0E\x04\x02\x00
MID_OP2_#024	Weißt du noch, Mutter?\x0E\x04\x00\x00
