MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0C\nスタルーク\nVerzeiht, Prinzessin Hortensia?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nPrinz Alcryst? Was gibt's denn? Ihr seid ja\nnormalerweise nicht der Gesprächigste.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nスタルーク\nNun, ich wollte nur, ähm...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nスタルーク\nNein, schon gut. Es ist nicht wichtig.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nNee, nee! Ihr haut mir nicht ab, nachdem Ihr\neinmal angefangen habt!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nKommt schon, spuckt's aus!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nNö, hab Euch nicht gehört... Lauter.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nスタルーク\nIch, äh... Ich...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nスタルーク\nBitte bringt mir bei, wie ich mehr\nSelbstvertrauen gewinnen kann!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nAu! Zu laut!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nSprecht leiser und erklärt, was Ihr damit\nsagen wollt.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nスタルーク\nIhr habt immer so ein grenzenloses\nSelbstvertrauen, Prinzessin Hortensia.\nEs erstaunt mich.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nスタルーク\nIch habe kein zu hohes Bild von mir, daher\nhoffte ich, dass Ihr mir beibringen könntet,\nein wenig mehr wie Ihr zu sein.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nAch so. Das leuchtet mir ein.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nZu schade für Euch. Ich werde Euch gar nichts\nbeibringen!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch würde es in Erwägung ziehen, wenn Ihr kein\nPrinz von Brodia wäret. Aber so? Nee. Auf\nkeinen Fall.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nスタルーク\nNatürlich. Ich verstehe...\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nWartet mal. Wie bitte?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nスタルーク\nBrodia ist so oft in Elusia eingefallen, dass ich\nes nicht mehr zählen kann. Ihr habt jedes Recht,\nmein Ansinnen abzulehnen.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0C\nスタルーク\nAbgesehen davon solltet Ihr Eure wertvolle\nZeit nicht mit jemand so Nutzlosem wie mir\nvergeuden.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0C\nスタルーク\nEhrlich gesagt, bin ich selbst über meine eigene\nImpertinenz erschrocken. Wie beschämend...\nIch werde Euch nun in Ruhe lassen.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x01\x0C\nスタルーク\n\x0E\x03\x02\x0E\x0Cオルテンシア\nWartet mal eine Sekunde! Das habe ich doch\ngar nicht gesagt!\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x02\x0C\nスタルーク\nEs ist schon gut. Bitte, vergesst dass ich\nmich Euch auf diese Art genähert habe.\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x0C\nスタルーク\nIch werde Eure Ohren niemals wieder mit\nso erbärmlichem Gemurmel beschmutzen.\nIch gebe Euch mein Wort.\x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x01\x0C\nスタルーク\n\x0E\x03\x02\x0E\x0Cオルテンシア\nWartet! Prinz Alcryst!\x0E\x04\x00\x00
MID_RELIANCE_C_#027	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch war mir sicher, er würde wütend werden\nund sich wehren. Aber es scheint für ihn\nschlimmer zu sein, als ich dachte.\x0E\x04\x00\x00
MID_RELIANCE_C_#028	\x0E\x03\x02\x0E\x0Cオルテンシア\nNun, ich muss nur einen neuen Weg finden,\nwenn ich ihn das nächste Mal sehe.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nPrinz Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nHey! Ich weiß, dass Ihr mich hören könnt!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nスタルーク\nAh... Prinzessin Hortensia!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nスタルーク\nBitte, mit mir zu sprechen, wird Eure Laune nur\nverdunkeln.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nWas für ein sonniges Gemüt. Aber genau\ndeswegen möchte ich mit Euch reden.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nHört zu. Ich werde Euch helfen, damit Ihr etwas\nSelbstvertrauen gewinnt, so wie Ihr mich darum\ngebeten hattet.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nスタルーク\nWas? Wirklich?! Oh, vielen Dank!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nスタルーク\nWarum habt Ihr Eure Meinung geändert? Ihr\nschient neulich sehr dagegen zu sein.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nJa, das tut mir leid. Ich bin mit meinem\nScherz zu weit gegangen.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch mag Brodia vielleicht immer noch nicht,\naber Ihr seid ein Freund.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nUnd wenn ein Freund in Not ist, dann hilft man.\nIst doch ganz einfach.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nスタルーク\nPrinzessin Hortensia, ich... ich...\x0E\x04\x00\x00
