MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0A\x08リュール\nDiese Insel, irgendetwas ist mit ihr...\nEtwas wie eine magische Energie.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x08\x06セリカ\nDer Tempel am Meer befand sich an einem\nähnlichen Ort wie diesem.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08リュール\nWas für ein Ort war das?\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x08\x06セリカ\nEr befand sich in der Meerenge von Novis,\nabseits von Zofia. In einer Höhle dort befand\nsich ein Altar für die Göttin Mila.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0A\x08リュール\nIch frage mich, ob es dann hier auch einen Altar\ngibt.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x08\x06セリカ\nNun, da ich diesen Ort wiedersehe, erinnere ich\nmich daran, dass ich begann, das Leben zu er-\nfahren, als ich zum ersten Mal hier war.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x08\x06セリカ\nFür mich stand die Welt, wie sie meiner Mei-\nnung nach sein sollte, im Fokus, so versäumte\nich, dem Rat meiner Verbündeten zuzuhören.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x0A\x08リュール\nDas sieht Euch gar nicht ähnlich. Zumindest für\nmich nicht.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x08\x06セリカ\nDamals besuchte ich Milas Tempel in der\nHoffnung, einen Weg zu erfahren, wie mein\nHeimatland gerettet werden kann.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x08\x06セリカ\nDann fanden wir heraus, dass sich auf der Insel\nein Nekrodrache befand. Er hätte uns alle töten\nkönnen.\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x08\x06セリカ\nDabei hatten wir doch gerade erst eine Bande\nPiraten besiegt... Jetzt, wo ich das sage, er-\nkenne ich erst, wie unverantwortlich wir waren.\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x0A\x08リュール\nFür mich hört sich das so an, als hättet Ihr\nanderen auf Eurer Reise geholfen.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x08\x06セリカ\nSagt, \x0E\x06\x03\x00, hättet Ihr Euch ebenfalls\nso entschieden?\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x0A\x08リュール\nNatürlich. Ich könnte niemanden, der Hilfe\nbraucht, im Stich lassen. Ganz egal, wie\ngefährlich die Situation auch sein mag.\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x08\x06セリカ\nIch weiß, dass auch Ihr so handeln würdet. Ihr\nseid mutig und stark. Und deshalb sind wir hier.\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x02\x0A\x08リュール\nIch glaube, ich verstehe nicht ganz. Was meint\nIhr damit?\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x08\x06セリカ\nWeil dies der Ort Eurer Prüfung ist.\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x02\x08\x06セリカ\nBesiegt mich im Kampf und das Band, das uns\nverbindet, wird stärker.\x0E\x04\x00\x00
