MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ヴェイル\nIch dachte, ich würde sterben. Ehrlich gesagt\nbin ich sogar ziemlich sicher, gestorben zu sein.\nZwei Mal!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ヴェイル\nEinmal habe ich mich sogar total heiser\ngeschrien.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nミスティラ\nAlso, wie fandet Ihr Euren ersten wilden Ritt\nauf einem Wolf?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ヴェイル\nEs war... aufregend. Aber vor allem\nbeängstigend.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nミスティラ\nHahaha, Ihr seid ein Scherzkeks, Milady Veyle!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ヴェイル\nAber ich scherze nicht. Kein bisschen.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ヴェイル\nEs ist ein Wunder, dass ich noch lebe.\nTatsächlich kann ich gar nicht glauben, dass\nich noch lebe.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nミスティラ\nDa kriegt man richtig den Kopf frei, stimmt's?\nHabt Ihr nicht gespürt, wie Eure ganzen\nSorgen... hinweggeweht wurden?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ヴェイル\nHahaha, das könnte man so sagen.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nミスティラ\nGut. Ihr erschient mir vorhin etwas angespannt.\nIch hielt unseren Ausflug für eine gute\nMöglichkeit zur Auflockerung.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ヴェイル\nManchmal frage ich mich schon, ob es für mich\nwirklich in Ordnung ist, hier mit Euch allen zu\nsein?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nミスティラ\nSchon klar. Aber wenn Ihr Euch wieder mal so\nfühlt, gebt mir gleich Bescheid, ja?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nミスティラ\nWir reiten dann wie der Wind bis zum Horizont\nund wieder zurück!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ヴェイル\nGut, das werde ich. Und Timerra... danke.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nIch habe es ihr gesagt, dass ich es nicht kann!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ヴェイル\nIch habe es ihr gesagt, dass ich nicht bereit bin,\nallein auf einem Wolf zu reiten. Was hat sie sich\nnur dabei gedacht?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nミスティラ\nWar das klasse oder war das klasse?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ヴェイル\nIch dachte, ich sterbe!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nミスティラ\nDachte ich auch. Ihr wärt beinahe über die\nKlippe gebrettert.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ヴェイル\nIch wusste nicht, wie man lenkt. Und ich wusste\nnicht, dass ich es nicht wusste, bis ich schon\nmitten im Ritt war!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nミスティラ\nEgal, Ihr habt es geschafft. Alles, was Ihr\nbrauchtet, war ein bisschen Übung und eine\npositive Einstellung.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ヴェイル\nAlles, was ich brauchte, war ein Wunder.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nミスティラ\nAber hey, das hat Euren Kopf freigepustet,\nrichtig?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ヴェイル\nNun, ich hatte solche Panik, dass ich an gar\nnichts denken konnte. Also... ja?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nミスティラ\nGut! Ihr lernt schnell. Den besten Rausch im\nLeben kriegt man immer nur mit einer Prise\nFurcht.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ヴェイル\nHihihi.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ヴェイル\nIch bin sicher, dass Ihr recht habt, Timerra.\nEs ist gut für uns, mal Dinge zu tun, die uns\naus der Komfortzone bringen.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nミスティラ\nGenau! Und deshalb los jetzt! Runde zwei!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ヴェイル\nWas? Runde zwei? Muss das sein?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nMeine Güte, war das ein Spaß!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nミスティラ\nHahaha! Scheint, als hätte da jemand keine\nAngst mehr, auf Wölfen zu reiten.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ヴェイル\nDas stimmt. Ich habe meine Furcht\nüberwunden!\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ヴェイル\nVielen, vielen Dank, Timerra.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nミスティラ\nSchon gut. Ähm... Stimmt was nicht? In Euren\nAugen glänzt es so.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ヴェイル\nEs ist nur... Ihr behandelt mich immer wie eine\nganz normale Person.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nミスティラ\nAlles, was ich getan habe, war, Euch auf einen\nWolf zu setzen und „Los!“ zu rufen.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ヴェイル\nGenau das meine ich.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ヴェイル\nIhr behandelt mich wie... eine Freundin.\nDas macht mich glücklich.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nミスティラ\nHahaha! Wenn Ihr glücklich seid, bin ich es\nauch. Aber mir war nicht klar, dass das alles\nso was Besonderes sein soll.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ヴェイル\nIst es aber. Etwas sehr Besonderes.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ヴェイル\nIch kann Euch gar nicht genug danken.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nミスティラ\nOch, nichts zu danken, Milady Veyle. Wirklich.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ヴェイル\nHah...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ヴェイル\nIch vermute mal, Ihr werdet wieder nach Solm\nzurückkehren, wenn der Krieg vorbei ist, richtig?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ヴェイル\nIhr werdet sicher sehr beschäftigt sein...\nschließlich bereitet Ihr Euch darauf vor, die\nnächste Königin zu werden und all das.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nミスティラ\nJa. Gefühlt ist meine Aufgabenliste größer als\ndas Königinreich selbst.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ヴェイル\nIch schätze, dann werden wir nicht mehr\nmiteinander abhängen können wie normale\nFreundinnen.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nミスティラ\nWas? Denkt Ihr etwa, ich werde voll die\narrogante Zicke, sobald ich Königin bin?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nミスティラ\nDa solltet Ihr mich besser kennen.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nミスティラ\nWenn es notwendig ist, dann schleiche ich mich\nauch aus dem Palast raus, um mit Euch\nabzuhängen.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nミスティラ\nUnd wir werden zusammen abhängen. Und\nzwar oft. Egal, wie mein Titel lautet. Denn das\nmachen Freundinnen so.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ヴェイル\nDas... fände ich sehr schön, Timerra.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ヴェイル\nJawoll! Versprochen!\x0E\x04\x00\x00
