MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x02\x0E\x0Cゴルドマリー\n♪ Dum-di-dum di ♪ Was für ein schöner Tag\nfürs Wäschewaschen.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nWaschen, spülen, trocknen, stärken, falten...\nJeder Schritt voller Präzision und Anmut.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nSieh sich das einer an, du hast ja richtig Spaß\nan der Hausarbeit! Ist das überhaupt erlaubt?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDas will ich doch hoffen. Ich liebe es, die\nWäsche zu waschen.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nWillst du mitmachen?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ユナカ\nIch? Äh... muss nicht sein.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nBist du dir sicher?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDu könntest dabei entdecken, wie erfrischend\nund erholsam es ist, an einem sonnigen Tag\nWäsche zu waschen.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDarüber hinaus können Sauberkeit und Ordnung\nauch Wunder wirken, was die eigene Beliebtheit\nbetrifft.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06ユナカ\nMag sein, aber daraus mache ich mir nichts.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOder befindet sich vielleicht etwas Besonderes\nunter deiner Unterwäsche, das ich nicht sehen\nsoll?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ユナカ\nWas?! Igitt, nein!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNa gut, ich glaube dir das einfach mal.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ユナカ\nHör mal, es... ist besser, wenn ich ablehne.\nTut mir leid.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nUnd wieso das?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ユナカ\nEs ist einfach so.\nDa gehe ich lieber nicht ins Detail.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ユナカ\nIch sollte jetzt auch besser gehen.\nMan sieht sich.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x01\x08\x06ユナカ\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch frage mich, was das wohl sollte...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x02\x0E\x0Cゴルドマリー\n♪ Dum-di-dum di ♪ Was gibt es Schöneres, als\ndas Geschirr zum Glänzen zu bringen?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJeder glatt polierte Teller belohnt mich mit\neinem Blick auf mein eigenes funkelndes\nLächeln.\x0E\x04\x00\x00
