MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\nHm.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アンバー\nMauvier? Schiebst du immer noch Wache?\nEs ist schon so spät! Ich übernehme, dann\nkannst du dich etwas ausruhen.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06モーヴ\nDas ist nicht nötig. Die späte Stunde ist ganz\nohne Bedeutung.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08アンバー\nWirklich? Junge. Da zieh ich meinen Hut vor dir.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06モーヴ\nWarum das?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アンバー\nDu hältst hier schon wer weiß wie lange die\nStellung! Brauchst du nicht mal eine Pause?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06モーヴ\nWache zu stehen ist von höherer Wichtigkeit\nals sich auszuruhen.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アンバー\nWhoa! Das kannst du so aber nicht sagen!\nDu musst doch mal eine richtige Pause machen!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06モーヴ\nDas ist nicht nötig. Ausruhen ist reine\nZeitverschwendung.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08アンバー\nAlso jetzt machst du mir langsam Angst. Wie\nschüttelst du denn dann deine Müdigkeit ab?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06モーヴ\nMüdigkeit ist kein Problem.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アンバー\nWiiiie bitte? Was bist du, ein Verzerrter oder\nwie?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08アンバー\nGenug der Witze. Ich habe jetzt Wachdienst,\nalso übernehme ich von nun an. Wirklich.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06モーヴ\nNein, danke.\x0E\x04\x00\x00
