MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nPrinz Diamant! Ich muss sehen, wie talentiert\nIhr seid! Treten wir gegeneinander an!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nEin Zweikampf? Klingt nach einer Menge Spaß.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nIch glaube, wir beide haben uns bisher noch\nnicht im Kampf gemessen, oder?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06カゲツ\nAh, Ihr seid leicht zu überreden. Gut!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nDu magst es, hart zu trainieren, nicht wahr?\nAuch ich habe ein ziemlich strenges Trainings-\nprogramm.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nIch bin gerade auf drei der hiesigen Berge\ngerannt – und wieder hinunter. Ein Kampf klingt\nnach einer guten Möglichkeit, mich abzukühlen.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06カゲツ\nBerge? Drei Berge?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nAlso dann, Kagetsu. Gib mir alles, was du hast!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06カゲツ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06カゲツ\nIch kann nicht.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nWas? Wieso nicht?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06カゲツ\nSo sehr ich Euch herausfordern möchte, ich\nkann Euch in diesem Zustand nicht gegenüber-\ntreten.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06カゲツ\nEs wäre überhaupt nicht befriedigend, wenn\nich gewinnen würde, weil Ihr müde seid.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nDu wirst mich also erst dann herausfordern,\nwenn ich frisch aus dem Bett gesprungen bin?\nEin Sieg ist ein Sieg, also lass uns kämpfen!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06カゲツ\nNein. Das kann ich nicht zulassen.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06カゲツ\nMir wurde beigebracht, die Ehre über den Sieg\nzu stellen. So ist das in meinem Heimatland.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06カゲツ\nGewinnen oder verlieren – es ist wesentlich, die\nNormen von Würde und Anstand zu achten.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06カゲツ\nWir müssen wie die Kirschblüten sein, die nur\nerblühen, wenn die Zeit dafür gekommen ist.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nAh, verstehe. Das ist eine vortreffliche Weisheit.\nDann betrachten wir unseren Zweikampf als...\nverschoben.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06カゲツ\nDanke. Mir ist bewusst, dass ich es war, der die\nEinladung aussprach. Ich weiß Euer Verständnis\nzu schätzen.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nIch werde das nächste Mal darauf achten,\nausgeruht und bei voller Stärke zu sein. Und\nich werde mich nicht zurückhalten.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x08\x06カゲツ\nAusgezeichnet! Ich freue mich schon auf diesen\nfamosen Wettbewerb!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nWir passen gut zusammen, Prinz Diamant.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06カゲツ\nEure Stärke übertrifft meine Erwartungen!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nDu bist auch nicht schlecht, Kagetsu.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nDu musst in diesem Kampf weiterhin alles\ngeben, was du hast. Ich werde das ganz gewiss\ntun.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nAlso? Wollen wir weitermachen?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06カゲツ\nIch habe mit aller Stärke gekämpft. Ich bin zu-\nfrieden, wenn wir es dabei belassen – und nicht\nbis zur Erschöpfung weitermachen.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nDas bin ich auch. Du bist wirklich ein wahrer\nGegner!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06カゲツ\nMir ist aufgefallen, dass Ihr für diesen Kampf\nviel von Eurer kostbaren Zeit geopfert habt.\nIch danke Euch.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nMir hat das Spaß gemacht. Wir müssen das bald\nfortsetzen, einverstanden?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06カゲツ\nWürdet Ihr das gerne?\x0E\x04\x00\x00
