MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nHey, Jade! Hast du kurz Zeit?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nGewiss doch, Prinzessin Timerra. Was benötigt\nIhr von mir?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nミスティラ\nMan sagt, du kämst aus einer Bergbaustadt.\nDann kennst du dich doch bestimmt mit\nMineralen und so aus, oder?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ジェーデ\nDas ist richtig. Mein Vater war ein Gemmologe,\ndaher habe ich selbst eine Menge Fachkenntnis\ndiesbezüglich aufgeschnappt.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nミスティラ\nPerfekt! Da du so eine Expertin bist... wie wär's,\nwenn wir zusammen auf Juwelenjagd gehen?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ジェーデ\nIhr wollt auf... Juwelenjagd gehen?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nミスティラ\nJepp!\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nミスティラ\nIch suche nach einem Erz, aus dem ich ein\ngroßes, fabelhaftes Juwel anfertigen lassen\nkann.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nミスティラ\nIch weiß auch schon den perfekten Ort dafür,\naber ich bin mir nicht sicher, wie man bei einer\nsolchen Suche vorgeht.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ジェーデ\nAaah, deshalb seid Ihr an mich herangetreten.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ジェーデ\nNun, ich hätte nichts dagegen, Euch zu helfen,\nnur... Wenn Ihr Juwelen sucht, wieso geht Ihr\ndann nicht einfach zu einem Juwelier?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ジェーデ\nImmerhin gehört Ihr zur Königsfamilie. Ich bin\nmir sicher, man würde Euch so viele seltene\nSteine verkaufen, wie Ihr nur wünscht.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nミスティラ\nKlar, aber wo bleibt da der Spaß?\x0E\x04\x00\x00
