MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x06\x04エル\nWie sonderbar, dass Ihr, die Ihr einst einer\nWyrmgöttin gedient habt, nun an der Seite\neines Dämonendrachen kämpft.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x08\x06セリカ\nDas ist schon eine interessante Fügung des\nSchicksals, nicht wahr? Ich finde es großartig.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nEs ist nicht gut für dich, immer nur saure\nNahrung zu dir zu nehmen. Du solltest dich\netwas ausgewogener ernähren.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nIch schätze, wenn ich mich schon bemuttern\nlassen muss, warum dann nicht gleich von\neinem uralten, zeitlosen Emblem...\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x06\x04エル\nMir ist aufgefallen, dass Ihr mich behandelt wie\ndie anderen, obwohl ich ein Drache bin.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x08\x06セリカ\nIch versuche, die Leute so zu nehmen, wie sie\nsind, unabhängig von ihrer Abstammung. Ist\netwas falsch daran?\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x06\x04エル\nGanz im Gegenteil. Genau genommen finde ich\nEure Gesellschaft gerade deswegen sehr\nangenehm.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x08\x06セリカ\nDas freut mich. Ich hoffe, wir können noch\nviel Zeit darauf verwenden, einander besser\nkennenzulernen.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0C\nラファール\nEure Fähigkeit der Teleportation ist erstaunlich.\nKönntet Ihr Euch mit genug Anstrengung auch\nbis in ein anderes Reich teleportieren?\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x08\x06セリカ\nIch denke schon, aber sicher bin ich mir nicht.\nWenn du neugierig bist, könnten wir es ja\neinmal versuchen?\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nIch weiß, dass du tief im Inneren ein sanftes\nHerz besitzt. Wieso zeigst du es nicht?\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nWovon redet Ihr da? Ich bin doch stets von\nwahrhaft sonnigem Gemüte. Oder seid Ihr etwa\nanderer Meinung?\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0C\nラファール\nWieso versucht Ihr, unsere Feinde mit Worten\numzustimmen? Seht Ihr nicht, wie zwecklos\ndas ist?\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x08\x06セリカ\nDu kannst nicht wissen, ob es zwecklos ist,\nwenn du es nie probierst. Einen Versuch ist es\nwert, wenn sich so Kämpfe vermeiden lassen.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x0C\nラファール\nMag sein. Aber bedenkt bitte auch, dass ich es\nbin, der angegriffen wird, wenn derartige\nGesprächsversuche fehlschlagen.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x08\x06セリカ\nDu hast recht. Ich werde versuchen, dabei\nvorsichtig zu sein. Ich hoffe, unsere einmaligen\nFähigkeiten machen uns zu einem guten Team.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nCelica, ich bewundere, wie stark Ihr seid.\nInsbesondere Euer Umgang mit Feuermagie\nist beeindruckend.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x08\x06セリカ\nOh, vielen Dank, Zelestia. Es ist schon ein Weil-\nchen her, dass mich jemand so überschwänglich\ngelobt hat.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nIch hörte, Ihr wart eine Priesterin der Mutter\nMila. Könnt Ihr mir eine Geschichte aus dieser\nZeit erzählen?\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x08\x06セリカ\nIch habe so viele Erinnerungen an meine Zeit im\nKloster auf Novis... Es könnte eine sehr lange\nGeschichte werden.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nDanke, dass Ihr diese Geschichten mit mir\ngeteilt habt. Fühlt Ihr Euch nun einsam ohne\njene Person, die Ihr erwähnt habt?\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x08\x06セリカ\nIch würde lügen, wenn ich das Gegenteil\nbehauptete. Aber ich weiß, dass er irgendwo\nda draußen ist und tut, was immer er tun muss.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06セリカ\nAußerdem habe ich mit dir und den anderen\nhier nicht so oft Gelegenheit, mich zu lang-\nweilen oder einsam zu fühlen.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nOh, Celica! Was für eine tapfere Einstellung!\nMacht Euch keine Sorgen, wir werden immer für\nEuch da sein!\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nGregory, hast du diesen Stapel Kuscheltiere\ndort gesehen? Sie sind wundervoll! Ich frage\nmich, wem sie wohl gehören...\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nOh, ähm... Das sind meine. Ich, öh, sammle\ngerne Sachen, die weich und niedlich sind.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nIch habe gehört, dass es in der Stadt einen\nLaden mit allerlei niedlichen Kinkerlitzchen gibt.\nWollen wir gemeinsam dorthin gehen?\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nCelica... Ich bin überrascht, dass Ihr Euch daran\nerinnert, dass ein solcher Laden etwas für mich\nwäre. Ich gehe gerne mit Euch dorthin !\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nWas glaubt Ihr, weshalb sich Leute bekämpfen?\nEs wäre doch so viel schöner, wenn wir alle\nfriedlich zusammenleben könnten.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x08\x06セリカ\nIch schätze, da gibt es viele Gründe... aber\nvielleicht liegt es daran, dass wir alle etwas\nhaben, das wir beschützen wollen.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x08\x06セリカ\nUnd deshalb... beißen wir die Zähne zusammen\nund kämpfen, um es zu beschützen. Geht es dir\nnicht ähnlich?\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nIch... ich denke schon. Ich schätze, ich werde\nweiterkämpfen müssen und dabei versuchen, so\nwenig Schmerzen wie möglich zu verursachen.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nDiese Rüstung ist so niedlich. Sie steht dir\nwirklich gut.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\nOh, echt? Ich finde diese Farbe auch-- Ah...\nÄhem. Ich weiß Euer Kompliment zu schätzen.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0C\nマデリーン\nIch hörte, Ihr kämpft nicht gern. Wenn dem so\nist, will ich mich dafür entschuldigen, dass ich\nEure Kraft eingesetzt habe.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x08\x06セリカ\nVielen Dank. Aber das ist schon in Ordnung.\nWenn sich ein Kampf nicht vermeiden lässt,\nbin ich mehr als gewillt, ihn auszufechten.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0C\nマデリーン\nHmm... Wie kann ich lernen, stets so gefasst zu\nsein wie Ihr?\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x08\x06セリカ\nWirke ich so gelassen auf dich? Ich habe schon\noft zu hören bekommen, dass ich mehr nach-\ndenken sollte, bevor ich handle.\x0E\x04\x00\x00
