MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nEntschuldigt, Lindon. Dürfte ich Euch wohl eine\netwas seltsam anmutende Frage stellen?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リンデン\nNur zu, Saphir.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nザフィーア\nAlso...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nザフィーア\nEigentlich, äh... Schon gut. Vergesst, dass ich\netwas gesagt habe.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リンデン\nHmm. Es schien mir, es war dir recht ernst\ndamit, was immer es auch war.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リンデン\nIch habe auch Schmerz bemerkt. So, als ob dir\netwas schwer auf dem Herzen liegen würde.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リンデン\nIch bin der Meinung, du solltest es einfach\naussprechen.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nザフィーア\nAlso gut.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nザフィーア\nVor etwa 30 Jahren... habt Ihr Eure Laufbahn\nals Soldat von Elusia begonnen, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リンデン\nIn der Tat, das habe ich.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リンデン\nIch wurde ein königlicher Soldat, fast unmittel-\nbar, nachdem ich die Nationalakademie von\nElusia absolviert hatte.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nザフィーア\nDann müsst Ihr zu dieser Zeit an Feldzügen\ngegen Brodia beteiligt gewesen sein.\x0E\x04\x00\x00
