MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nMilady Nel, wünscht Ihr etwas zu trinken?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04エル\nDas ist nicht notwendig.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nVielleicht etwas zu essen? Ich habe Euch Brot\ngebracht.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04エル\nIch bin nicht hungrig.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cセレスティア\nDann esse ich es eben später. Vielleicht solltet\nIhr Euch jetzt etwas ausruhen.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04エル\nZelestia.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cセレスティア\nWas gibt es?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04エル\nDu scharwenzelst die ganze Zeit um mich\nherum. Warum?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cセレスティア\nNun, ich... Ich konnte Euch in der letzten\nSchlacht nicht angemessen beschützen.\x0E\x04\x02\x00
MID_RELIANCE_C_#010	Ich will nicht, dass das noch einmal passiert,\nalso habe ich beschlossen, Euch nicht mehr\nvon der Seite zu weichen.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04エル\nDen Gedanken weiß ich zu schätzen.\x0E\x04\x02\x00
MID_RELIANCE_C_#012	Doch unsere Beziehung ist nicht länger\nhierarchisch geprägt. Wir unterstützen\n\x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin nunmehr als Gleichgestellte.\x0E\x04\x02\x00
MID_RELIANCE_C_#013	Du hast mir in unserer Welt gut gedient.\nUnd ich betrachte deine Pflicht in dieser\nHinsicht als erfüllt.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cセレスティア\nWenn das Euer Wunsch ist, dann sollte ich wohl\nvon nun an tun und lassen, was mir beliebt.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04エル\nSehr gut. Dann auf bald.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cセレスティア\n♪ La di da... ♪\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x06\x04エル\nDu folgst mir.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cセレスティア\nIch hoffe, das stört Euch nicht. Genau das\nmöchte ich tun – an Eurer Seite bleiben.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x06\x04エル\nSeufz.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x06\x04エル\nZelestia. Hast du je darüber nachgedacht, neue\nFreundschaften zu schließen?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nNeue Freundschaften? Was meint Ihr damit?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04エル\nBande mit weiteren Leuten zu knüpfen,\num Euren Horizont zu erweitern.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nOh, wenn das Euer Wunsch ist, werde ich mein\nBestes geben, um Euren Befehl zu erfüllen.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x06\x04エル\nDas war kein Befehl.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cセレスティア\nFür Euch, Milady Nel, freunde ich mich gleich\nmit ganzen Hundertschaften an! Alles, um Euch\nglücklich zu machen!\x0E\x04\x02\x00
MID_RELIANCE_B_#007	Schluchz!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04エル\nDu weinst.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cセレスティア\nEs tut mir so leid. Ich habe versagt. Ich konnte\nkeine Freundschaften schließen.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x06\x04エル\nErzähl mir, was vorgefallen ist.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cセレスティア\nIch weiß es nicht. Ich habe mir Mühe gegeben\nund versucht, mit ganz unterschiedlichen\nLeuten zu sprechen...\x0E\x04\x02\x00
