MID_H_INFO_WLV_Bullet	Kanone
MID_MSG_LOST_ITEM	Verloren: \x0E\x01\x00\x00\x0E\x01\x01\x00.
MID_DLC_News_Patch2_Title	Ver. 1.3.0
MID_DLC_News_Patch2	Erweiterungspass\n\n・ Emblem Chrom (mit Daraen) und Emblem Veronica wurden\n  hinzugefügt. Sie schließen sich dir und deiner Gruppe an, wenn\n  du ihre jeweiligen Göttlichen Kapitel erfolgreich beendest.\n\nGratis-Inhalt\n\n・ Der alte Brunnen ist nun im Somniel zu finden. Nutze ihn,\n  um Items, die du nicht mehr brauchst, gegen neue Items zu\n  tauschen.\n\n・ Fähigkeiten können nun sowohl in der Arena als auch in\n  der Ringkammer vererbt werden.
MCID_G003_PREFIX	Göttliches Kapitel
MCID_G003	Die einsame Erbin
MCID_G003_PLACE	Helden-Heiligtum
MCID_G003_OUTLINE	Auf einer Insel, die im Himmel\nschwebt, wurde ein Armring\ngesichtet.
MCID_G006_PREFIX	Göttliches Kapitel
MCID_G006	Der erhabene Hirte
MCID_G006_PLACE	Altar des Schicksals
MCID_G006_OUTLINE	Tief im Inneren eines ehrwürdigen\nTempels wurde ein Armring\ngesichtet.
MID_RULE_G003_WIN	Emblem Veronica besiegen.
MID_RULE_G006_WIN	Embleme Chrom & Daraen besiegen.
MTID_StartupTile	Aktivierungsfeld
MTID_MagicWall	Barriere
MTID_Pond	Teich
MPID_PhantomWolf	Mimesis
MPID_H_PhantomWolf	Seelenlose Bestie, durch Geheim-\ntechniken erschaffen. Ohne eigenen\nWillen, folgt Befehlen ihres Meisters.
MPID_Veronica	Veronica
MPID_H_Veronica	Das Emblem der Helden. Eine\nPrinzessin mit der Macht, Helden\naus anderen Welten zu kontrollieren.
MPID_Chrom	Chrom
MPID_H_Chrom	Das Emblem der Bande. Ein\nerhabener Prinz, dem das Vertrauen\naller gehört. Will d. Schicksal ändern.
MPID_Reflet	Daraen
MPID_H_Reflet	Das Emblem der Bande. Taktiker,\nder sein Gedächtnis verloren hat,\naber nicht sein taktisches Geschick.
MGID_Veronica	Veronica
MGID_H_Veronica	Das Emblem der Helden. Besitzt\ngroße magische Macht und setzt im\nKampf Bücher und Stäbe ein.
MGID_H_EnemyVeronica	Das erwachte Emblem aus dem\nArmring der einsamen Erbin.
MGID_Chrom	Chrom
MGID_H_Chrom	Das Emblem der Bande. Besiegt\nFeinde mit der Kraft des Schwertes\nund den Banden zu Verbündeten.
MGID_H_EnemyChrom	Das erwachte Emblem aus dem\nArmring des erhabenen Hirten.
MGID_Reflet	Daraen
MGEID_Veronica	Helden
MGEID_Chrom	Bande
MJID_MageCannon	Magiekanonier
MJID_H_MageCannon	Gepanzerter Infanterist, der mit einer\nHandkanone ausgerüstet ist. Führt\nFernangriffe aus.
MJID_PhantomWolf	Phantomwolf
MJID_H_PhantomWolf	Wölfe, die sich schnell bewegen.\nVerwirren Gegner durch Angriffe mit\nverfluchten Reißzähnen.
MIID_Trahison	Représailles
MIID_H_Trahison	Streitlanze, von der etwas\nÜberirdisches ausgeht.
MIID_Levanche	Ahndung
MIID_H_Levanche	Streitaxt, von der etwas\nÜberirdisches ausgeht.
MIID_Chocolate	Bitterklinge
MIID_H_Chocolate	Süß duftendes Schwert. Wurde es\nals Item verwendet, verschwindet es.\nStellt KP des Anwenders wieder her.
MIID_SoftCream	Spirallanze
MIID_H_SoftCream	Süß duftende Lanze. Wurde sie als\nItem verwendet, verschwindet sie.\nStellt KP des Anwenders wieder her.
MIID_Lollipop	Lollischmackes
MIID_H_Lollipop	Süß duftende Axt. Wurde sie als\nItem verwendet, verschwindet sie.\nStellt KP des Anwenders wieder her.
MIID_Croissant	Knusprigbogen
MIID_H_Croissant	Süß duftender Bogen. Wurde er als\nItem verwendet, verschwindet er.\nStellt KP des Anwenders wieder her.
MIID_Tiramisu	Tiramisturm
MIID_H_Tiramisu	Süß duftendes Buch. Wurde es als\nItem verwendet, verschwindet es.\nStellt KP des Anwenders wieder her.
MIID_Dango	Leckermesser
MIID_H_Dango	Süß duftendes Messer. Wurde es als\nItem verwendet, verschwindet es.\nStellt KP des Anwenders wieder her.
MIID_Cupcake	Küchleinstab
MIID_H_Cupcake	Süß duftender Stab. Stellt KP eines\nVerbündeten wieder her.
MIID_Rollcake	Rührkuchen
MIID_H_Rollcake	Süß duftende Schrift. Wurde sie als\nItem verwendet, verschwindet sie.\nStellt KP des Anwenders wieder her.
MIID_Bullet_Power	Standardkanone
MIID_H_Bullet_Power	Standardprojektil. Kein Folgeangriff\nmöglich. Bei entfernt stehenden\nZielen: Trf. der Einheit sinkt.
MIID_Bullet_Magic	Magieprojektil
MIID_H_Bullet_Magic	Magisches Projektil. Kein Folgeangr.\nmöglich. Bei entfernt stehenden\nZielen: Trf. der Einheit sinkt.
MIID_Bullet_Freeze	Frostprojektil
MIID_H_Bullet_Freeze	Magisches Projektil. 50 % Chance,\nGeg. einzufrieren. Kein Folgeangriff.\nBei entfernt stehenden Zielen:\nTrf. der Einheit sinkt.
MIID_Bullet_Silence	Schweigeproj.
MIID_H_Bullet_Silence	Mag. Projektil. 50 % Chance, beim\nGeg. Schweigen auszulösen. Kein\nFolgeangriff. Bei entfernt stehenden\nZielen: Trf. der Einheit sinkt.
MIID_Bullet_Collapse	Bruchprojektil
MIID_H_Bullet_Collapse	Mag. Projektil. 50 % Chance, den\nGeg. zu brechen. Kein Folgeangriff.\nBei entfernt stehenden Zielen:\nTrf. der Einheit sinkt.
MIID_Bullet_Poison	Giftprojektil
MIID_H_Bullet_Poison	Mag. Projektil, das tödlich vergiftet,\nwenn es trifft. Kein Folgeangriff.\nBei entfernt stehenden Zielen:\nTrf. der Einheit sinkt.
MIID_Bullet_Slayer_Fly	Tornadoproje.
MIID_H_Bullet_Slayer_Fly	Windmagieprojektil. Kein\nFolgeangriff. Bei entfernt stehenden\nZielen: Trf. der Einheit sinkt.\nEffektiv gegen: Flieger.
MIID_Bullet_Slayer_Armor	Rüstprojektil
MIID_H_Bullet_Slayer_Armor	Projektil, das gegen Gepanzerte\ngerichtet ist. Kein Folgeangriff.\nBei entfernt stehenden Zielen: Trf.\nder Einheit sinkt. Eff.: Gepanzerte.
MIID_Bullet_Slayer_Horse	Reiterprojektil
MIID_H_Bullet_Slayer_Horse	Projektil, das gegen Berittene\ngerichtet ist. Kein Folgeangriff. Bei\nentfernt stehenden Zielen: Trf. der\nEinheit sinkt. Effektiv gg.: Berittene.
MIID_Bullet_Slayer_Dragon	Drachenproje.
MIID_H_Bullet_Slayer_Dragon	Projektil, das gegen Drachen\ngerichtet ist. Kein Folgeangriff. Bei\nentfernt stehenden Zielen: Trf. der\nEinheit sinkt. Eff. gegen: Drachen.
MIID_Bullet_Slayer_Morph	Hlg. Projektil
MIID_H_Bullet_Slayer_Morph	Projektil, das gegen Verzerrte\ngerichtet ist. Kein Folgeangriff. Bei\nentfernt stehenden Zielen: Trf. der\nEinheit sinkt. Eff. gegen: Verzerrte.
MIID_Bullet_Power+	Machtprojektil
MIID_H_Bullet_Power+	Ein Projektil von großer Kraft.\nKein Folgeangriff. Bei entfernt\nstehenden Zielen: Trf. der Einheit\nsinkt.
MIID_Bullet_Magic+	Verderbnispro.
MIID_H_Bullet_Magic+	Ein mit mächtiger Magie versehenes\nProjektil. Kein Folgeangriff.\nBei entfernt stehenden Zielen:\nTrf. der Einheit sinkt.
MIID_Bullet_Penetration	Negationproje.
MIID_H_Bullet_Penetration	Projektil, das Ver./Res. des Gegners\nignoriert. Kein Folgeangriff.\nBei entfernt stehenden Zielen:\nTrf. der Einheit sinkt.
MIID_Fang	Reißzähne
MIID_H_Fang	Verfluchte Reißzähne. Initiiert die\nEinh. d. Kampf u. trifft, erhält d. Ziel\nnach d. Kampf max. KP -5. (Max. -20)
