MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08リュール\nIch kämpfe, um die Welt zu retten, die meine\nMutter so liebte. Aber ich benötige Eure Hilfe,\nLeif.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x08\x06リーフ\nWenn es den Frieden bringen kann, den Ihr\nEuch ersehnt, dann gehört mein Schwertarm\nEuch!\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08リュール\nEs ist hart zu wissen, dass meine Mutter mich\nso sehr geliebt hat, und ich ihr ihre Güte niemals\nvergelten kann.\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x08\x06リーフ\nEs reicht, dass Ihr diese Gefühle aussprecht.\nIrgendwo wird Eure Mutter sein und Euch\nsicherlich zuhören.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08リュール\nTue ich Eurer Meinung nach genug, Leif? Ich\nhabe das Gefühl, jeder erwartet so viel von mir.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x08\x06リーフ\nSolch eine Bürde allein zu tragen, ist schwer.\nKonzentriert Euch nicht auf Eure Schwächen,\nsondern auf Eure Stärken.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nMeine Stärken?\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x08\x06リーフ\nDie Leute glauben an Euch. Sie folgen Euch.\nZeigt ihnen einen Weg zum Frieden, und sie\nwerden ihn gehen.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nSir Leif, bitte, würdet Ihr \x0E\x0A\x00\x10\x06dem\x06der \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin\nleitend zur Seite stehen? Dies erscheint mir\nangebracht.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x08\x06リーフ\nMit Freude. Wenn ich helfen kann, dann werde\nich das tun.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nDas Verhalten \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin kann manchmal\netwas waghalsig sein – und das schürt Angst in\nmir.\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x08\x06リーフ\nVerständlich, doch Gefahr gehört zum Leben\ndazu. Doch es ist unsere Pflicht, die Gefahr\nin Grenzen zu halten.\x0E\x04\x00\x00
