MID_OP1_#001	\x0E\x02\x00\x06\x04PP\n\x0E\x03\x00\x0E\x08セアダス\x023\n\x0E\x03\x02\x0A\x08セアダス\nMeine neuen Tanzschritte nehmen Gestalt an!\nNur noch ein bisschen, dann reicht es für heute.\x0E\x04\x02\x00
MID_OP1_#002	Und dieser Ort... Er ist perfekt für meine\nÜbungen. Es ist so schön still und leer hier.\x0E\x04\x02\x00
MID_OP1_#003	Hm?\x0E\x04\x00\x00
MID_OP1_#004	GRAAAR!\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0A\x08セアダス\nAh! W-was ist das denn?!\x0E\x04\x00\x00
MID_OP1_#006	GRAAAR!\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x0A\x08セアダス\nGar nicht gut. Ich bin hier gefangen.\nIst es etwa mein Schicksal, so zu sterben?\x0E\x04\x02\x00
MID_OP1_#008	So unvorbereitet erwischt zu werden... Ich hätte\nneben dem Tanz auch das Kämpfen üben sollen.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x00\x16\x10M015_カムイ\x024\n\x0E\x03\x02\x12\x10M015_カムイ\nSchnell! Du musst in Sicherheit!\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x0A\x08セアダス\nWer hat das gesagt?\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x12\x10M015_カムイ\nDen Himmeln sei Dank, du kannst mich hören!\nFolge meiner Stimme.\x0E\x04\x02\x00
MID_OP1_#011_2	\x0E\x03\x02\x12\x10M015_カムイ\nHier ist ein Versteck!\x0E\x04\x02\x00
MID_OP1_#012	Nimm die Tür zu deiner Rechten! Beeil dich!\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x0A\x08セアダス\nIch komme!\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nIst die Nördliche Festung so furchteinflößend?\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x0C\nミスティラ\nJepp. Meine Vorfahren haben sie so gestaltet.\nSie wollten verhindern, dass Neugierige ihre\nNasen darin spazieren führen.\x0E\x04\x02\x00
MID_OP2_#003	Die Einheimischen wagen sich nicht in die Nähe.\nSie sagen, in den Ruinen gäbe es Geister.\x0E\x04\x02\x00
