MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x02\x06\x04エル\nIn der einen Richtung – 1000 Jahre Trennung.\nIn der anderen Richtung – 100 Jahre Bedauern.\x0E\x04\x02\x00
MID_OP1_#002	Bitte, träume von meinem Kummer...\nBitte, verbanne die Dunkelheit aus dieser Welt.\x0E\x04\x02\x00
MID_OP1_#003	Das einzige Licht existiert nur in Erinnerungen,\nund die Hoffnung, die du wecktest, flackert.\x0E\x04\x02\x00
MID_OP1_#004	Und doch kenne ich die Wahrheit.\x0E\x04\x02\x00
MID_OP1_#005	In dieser Welt gibt es keine Erlösung.\nIn dieser Welt existierst du nicht.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\n青リュール\x022\n\x0E\x06\x00&\n青リュール\x18MPID_Unknown\n\x0E\x03\x02\x0A\x08リュール\nWo bin ich? Das ist nicht das Somniel...\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x0C\n青リュール\n\x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x0A\x08リュール\nWer bist du?\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x0C\n青リュール\nIch bin...\x0E\x04\x02\x00
MID_OP2_#005	Nein, das tut nichts zur Sache. Mein Name\nist schon seit langer Zeit nicht mehr von\nBedeutung.\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x0A\x08リュール\nAber ich habe so sein seltsames Gefühl... als\nob wir beide uns irgendwo schon einmal\nbegegnet seien.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x0C\n青リュール\nWir sind uns noch nie begegnet – nicht in der\nWeise, die leicht zu verstehen wäre.\x0E\x04\x02\x00
MID_OP2_#008	Ich spreche durch einen Spiegel zu dir. Ich sehe\ndich als Spiegelbild meiner selbst und als letzte\nHoffnung meines Landes.\x0E\x04\x02\x00
MID_OP2_#009	Ich bitte dich, ich benötige deinen Beistand.\nWirst du jene, die mir wichtig sind, retten?\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x0A\x08リュール\nSelbstverständlich. Ich helfe, so gut ich kann.\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x02\x0C\n青リュール\nWirklich? Du akzeptierst meine Bitte, ohne dir\nanzuhören, welche Folgen dies haben wird?\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x0A\x08リュール\nHa. Mein Gefühl sagt mir wohl, dass mir einige\nmeiner eigenen Ängste genommen werden,\nwenn ich dir helfe... nehme ich an.\x0E\x04\x02\x00
MID_OP2_#013	Fast so, als sei dies eine Chance, etwas wieder-\nzufinden... etwas, das ich vor langer Zeit\nverlor.\x0E\x04\x02\x00
MID_OP2_#014	Kurz gesagt: Ja, ich bin für dich da.\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02\x0C\n青リュール\nIch bin froh, dass du das sagst.\x0E\x04\x02\x00
MID_OP2_#016	Ich befürchtete deine Ablehnung, da es mir\nnicht möglich ist, dir alle Details zu erklären.\x0E\x04\x02\x00
MID_OP2_#017	Es reicht zu sagen, dass das Land, von dem ich\nsprach, von einem Gegner mit frevelhaftem\nHerzen bedroht wird.\x0E\x04\x02\x00
MID_OP2_#018	Die einzige Hoffnung, die meinem Volk bleibt,\nbist du – indem du die Sieben Armringe\nzusammenträgst.\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x02\x0A\x08リュール\nArmringe...\x0E\x04\x00\x00
